date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,NTPC.NSE,NTPC Limited,Power,Large Cap,-0.181,Negative,0.215,FII/DII Activity,12.0,16.0,8,3.4,-48.88,39.48,-2.29,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,91.45,,92.6,,94.7,,87.0,,NTPC.NSE
2020-05-04,91.05,93.65,90.5,91.45,69.6233,10305663.0,,,,91.45,91.45,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,NTPC.NSE,NTPC Limited,Power,Large Cap,-0.149,Negative,0.152,COVID-19 Impact,12.0,13.0,6,-0.85,-6.58,39.04,-0.7,covid_crash,,,0.032,,,0,5,2,2020,0,0,,-0.181,,,,,,,92.6,0.01257517769272809,94.7,0.03553854565336256,90.45,-0.010934937124111532,86.65,-0.05248769819573529,NTPC.NSE
2020-05-05,92.2,94.95,91.35,92.6,70.4988,10628539.0,,,,92.07291666666666,92.04711538461538,0.025801282051276075,0.014334045584042264,0.011467236467233811,,,,,,,0.01257517769272809,,,,,,,Tuesday,May,Q2,NTPC.NSE,NTPC Limited,Power,Large Cap,-0.31,Negative,0.545,Regulatory Changes,8.0,23.0,9,-0.66,-8.93,41.56,-1.9,covid_crash,,,-0.161,,,1,5,2,2020,0,0,91.45,-0.149,,-0.181,,,,,94.7,0.022678185745140578,90.45,-0.023218142548596,87.0,-0.06047516198704095,91.65,-0.010259179265658669,NTPC.NSE
2020-05-06,92.95,95.45,92.2,94.7,72.0976,10232281.0,,,,93.09826789838337,93.00027106949236,0.09799682889101291,0.048622071529522026,0.049374757361490884,,,,,,,0.022678185745140578,,,,,,,Wednesday,May,Q2,NTPC.NSE,NTPC Limited,Power,Large Cap,-0.37,Negative,0.37,Vaccine Rollout,15.0,20.0,10,-0.69,21.67,25.54,0.37,covid_crash,,,-0.06,,,2,5,2,2020,0,0,92.6,-0.31,91.45,-0.149,,-0.181,,,90.45,-0.04487856388595568,87.0,-0.08130939809926085,86.65,-0.08500527983104533,93.05,-0.01742344244984162,NTPC.NSE
2020-05-07,94.1,94.4,90.15,90.45,68.8619,8449705.0,,,,92.2623132183908,92.28732672423588,-0.025013505845080886,0.02367777025086251,-0.0486912760959434,,,,,,,-0.04487856388595568,,,,,,,Thursday,May,Q2,NTPC.NSE,NTPC Limited,Power,Large Cap,-0.374,Negative,0.332,Economic Stimulus,14.0,28.0,9,2.03,11.39,33.33,-0.15,covid_crash,,,-0.0040000000000000036,-0.2768,,3,5,2,2020,0,0,94.7,-0.37,92.6,-0.31,91.45,-0.149,,,87.0,-0.03814262023217252,86.65,-0.04201216141514641,91.65,0.013266998341625147,89.35,-0.012161415146489829,NTPC.NSE
2020-05-08,91.0,92.45,85.75,87.0,66.2354,28174665.0,91.24,,,90.83256152433862,91.06117384878348,-0.22861232444486745,-0.05137282907556834,-0.17723949536929912,,,,,,,-0.03814262023217252,,,,,,,Friday,May,Q2,NTPC.NSE,NTPC Limited,Power,Large Cap,-0.156,Negative,0.189,Sector Rotation,19.0,16.0,5,-0.91,36.53,43.01,0.88,covid_crash,,,0.218,-0.2718,,4,5,2,2020,0,0,90.45,-0.374,94.7,-0.37,92.6,-0.31,,-0.181,86.65,-0.004022988505747116,91.65,0.05344827586206913,93.05,0.06954022988505737,90.85,0.04425287356321839,NTPC.NSE
2020-05-11,88.2,89.45,85.85,86.65,65.9689,12243824.0,90.28,,,89.81597903018019,90.17765090913265,-0.361671878952464,-0.1354811238856385,-0.2261907550668255,,,,,,,-0.004022988505747116,-0.05248769819573529,,,,,,Monday,May,Q2,NTPC.NSE,NTPC Limited,Power,Large Cap,-0.403,Negative,0.322,Technical Factors,14.0,25.0,5,-3.63,-70.42,50.7,0.4,covid_crash,,,-0.24700000000000003,-0.3226,,0,5,2,2020,0,0,87.0,-0.156,90.45,-0.374,94.7,-0.37,91.45,-0.149,91.65,0.05770340450086553,93.05,0.07386035776110789,89.35,0.031159838430467213,88.9,0.025966532025389455,NTPC.NSE
2020-05-12,86.5,93.25,85.65,91.65,69.7755,18124894.0,90.09,,,90.22523439284573,90.43950056248805,-0.2142661696423147,-0.15541951717288788,-0.05884665246942683,,,,,,,0.05770340450086553,-0.010259179265658669,,,,,,Tuesday,May,Q2,NTPC.NSE,NTPC Limited,Power,Large Cap,-0.537,Negative,0.565,Merger & Acquisition,14.0,26.0,12,-1.14,15.39,37.98,-1.36,covid_crash,,,-0.134,-0.368,,1,5,2,2020,0,0,86.65,-0.403,87.0,-0.156,90.45,-0.374,92.6,-0.31,93.05,0.015275504637206616,89.35,-0.025095471903982647,90.85,-0.00872885979268967,91.05,-0.00654664484451728,NTPC.NSE
2020-05-13,94.95,98.5,92.65,93.05,70.8414,19037031.0,89.76,,,90.8147194366467,90.86011670567667,-0.04539726902997643,-0.12897910197531134,0.08358183294533492,,,,,,,0.015275504637206616,-0.01742344244984162,,,,,,Wednesday,May,Q2,NTPC.NSE,NTPC Limited,Power,Large Cap,-0.494,Negative,0.435,COVID-19 Impact,10.0,24.0,7,-0.56,-31.52,49.1,-2.21,covid_crash,,,0.04300000000000004,-0.3928,,2,5,2,2020,0,0,91.65,-0.537,86.65,-0.403,87.0,-0.156,94.7,-0.37,89.35,-0.03976356797420744,90.85,-0.02364320257925845,88.9,-0.04459967759269201,92.9,-0.001612036539494821,NTPC.NSE
2020-05-14,93.3,93.5,87.5,89.35,68.0245,39115884.0,89.54,,,90.52494579835701,90.63628425839843,-0.11133846004142356,-0.12490402617290736,0.013565566131483797,,,,,,,-0.03976356797420744,-0.012161415146489829,,,,,,Thursday,May,Q2,NTPC.NSE,NTPC Limited,Power,Large Cap,-0.161,Negative,0.1,Regulatory Changes,13.0,9.0,8,2.31,-14.39,42.6,0.0,covid_crash,,,0.33299999999999996,-0.35019999999999996,0.14532970178949045,3,5,2,2020,0,0,93.05,-0.494,91.65,-0.537,86.65,-0.403,90.45,-0.374,90.85,0.016787912702853847,88.9,-0.005036373810856087,91.05,0.019026301063234552,90.25,0.010072747621712397,NTPC.NSE
