date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,NYKAA.NSE,FSN E-Commerce Ventures Limited,Retail,Large Cap,-0.704,Negative,0.727,Management Commentary,14.0,32.0,6,1.72,12.71,33.38,0.09,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,,,,,,,,,NYKAA.NSE
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,NYKAA.NSE,FSN E-Commerce Ventures Limited,Retail,Large Cap,-0.862,Negative,0.828,COVID-19 Impact,18.0,29.0,7,-1.52,-22.59,30.74,-0.98,covid_crash,,,-0.15800000000000003,,,0,5,2,2020,0,0,,-0.704,,,,,,,,,,,,,,,NYKAA.NSE
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,NYKAA.NSE,FSN E-Commerce Ventures Limited,Retail,Large Cap,-0.702,Negative,0.55,Global Markets,7.0,27.0,8,-0.34,42.24,44.37,-1.52,covid_crash,,,0.16000000000000003,,,1,5,2,2020,0,0,,-0.862,,-0.704,,,,,,,,,,,,,NYKAA.NSE
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,NYKAA.NSE,FSN E-Commerce Ventures Limited,Retail,Large Cap,-0.61,Negative,0.556,FII/DII Activity,11.0,30.0,10,0.61,-10.31,57.38,-1.0,covid_crash,,,0.09199999999999997,,,2,5,2,2020,0,0,,-0.702,,-0.862,,-0.704,,,,,,,,,,,NYKAA.NSE
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,NYKAA.NSE,FSN E-Commerce Ventures Limited,Retail,Large Cap,-0.172,Negative,0.22,Regulatory Changes,14.0,13.0,9,0.51,-4.11,39.54,0.92,covid_crash,,,0.438,-0.61,,3,5,2,2020,0,0,,-0.61,,-0.702,,-0.862,,,,,,,,,,,NYKAA.NSE
2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,NYKAA.NSE,FSN E-Commerce Ventures Limited,Retail,Large Cap,-0.316,Negative,0.325,Inflation Concerns,11.0,21.0,7,-3.46,-43.6,40.93,-1.56,covid_crash,,,-0.14400000000000002,-0.5324,,4,5,2,2020,0,0,,-0.172,,-0.61,,-0.702,,-0.704,,,,,,,,,NYKAA.NSE
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,NYKAA.NSE,FSN E-Commerce Ventures Limited,Retail,Large Cap,-0.639,Negative,0.518,Management Commentary,9.0,31.0,8,-1.39,-76.4,57.63,-1.49,covid_crash,,,-0.323,-0.4878,,0,5,2,2020,0,0,,-0.316,,-0.172,,-0.61,,-0.862,,,,,,,,,NYKAA.NSE
2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,NYKAA.NSE,FSN E-Commerce Ventures Limited,Retail,Large Cap,-0.424,Negative,0.257,Merger & Acquisition,8.0,30.0,9,-1.9,30.88,42.86,-0.75,covid_crash,,,0.21500000000000002,-0.43220000000000003,,1,5,2,2020,0,0,,-0.639,,-0.316,,-0.172,,-0.702,,,,,,,,,NYKAA.NSE
2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,NYKAA.NSE,FSN E-Commerce Ventures Limited,Retail,Large Cap,-0.519,Negative,0.523,Global Markets,10.0,26.0,6,0.37,19.8,21.21,1.08,covid_crash,,,-0.09500000000000003,-0.41400000000000003,,2,5,2,2020,0,0,,-0.424,,-0.639,,-0.316,,-0.61,,,,,,,,,NYKAA.NSE
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,NYKAA.NSE,FSN E-Commerce Ventures Limited,Retail,Large Cap,-1.0,Negative,0.826,Merger & Acquisition,18.0,31.0,12,-1.84,15.0,49.53,-1.25,covid_crash,,,-0.481,-0.5796,0.24778835054672496,3,5,2,2020,0,0,,-0.519,,-0.424,,-0.639,,-0.172,,,,,,,,,NYKAA.NSE
