date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,OBEROIRLTY.NSE,Oberoi Realty Limited,Real Estate,Mid Cap,-0.239,Negative,0.307,Capacity Expansion,13.0,18.0,6,-1.3,42.8,53.42,-1.02,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,318.1,,315.3,,337.55,,324.25,,OBEROIRLTY.NSE
2020-05-04,327.0,333.9,315.45,318.1,312.5496,321418.0,,,,318.1,318.1,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,OBEROIRLTY.NSE,Oberoi Realty Limited,Real Estate,Mid Cap,-0.371,Negative,0.404,Capacity Expansion,11.0,24.0,4,0.02,36.6,29.71,1.06,covid_crash,,,-0.132,,,0,5,2,2020,0,0,,-0.239,,,,,,,315.3,-0.008802263439170122,337.55,0.06114429424709211,339.25,0.06648852562087382,328.45,0.0325369380697893,OBEROIRLTY.NSE
2020-05-05,325.8,325.8,310.05,315.3,309.7985,286349.0,,,,316.58333333333337,316.6461538461539,-0.06282051282050816,-0.03490028490028231,-0.027920227920225846,,,,,,,-0.008802263439170122,,,,,,,Tuesday,May,Q2,OBEROIRLTY.NSE,Oberoi Realty Limited,Real Estate,Mid Cap,-0.188,Negative,0.278,Earnings Report,10.0,19.0,6,4.2,-5.2,38.64,-0.11,covid_crash,,,0.183,,,1,5,2,2020,0,0,318.1,-0.371,,-0.239,,,,,337.55,0.07056771328893108,339.25,0.07595940374246735,324.25,0.028385664446558767,334.45,0.0607358071677766,OBEROIRLTY.NSE
2020-05-06,312.25,343.8,312.25,337.55,331.6602,740588.0,,,,324.7666281755197,324.1567028092657,0.6099253662540036,0.22937252294983485,0.3805528433041688,,,,,,,0.07056771328893108,,,,,,,Wednesday,May,Q2,OBEROIRLTY.NSE,Oberoi Realty Limited,Real Estate,Mid Cap,-0.454,Negative,0.335,Interest Rate Policy,11.0,27.0,2,-0.78,-27.77,44.65,-0.34,covid_crash,,,-0.266,,,2,5,2,2020,0,0,315.3,-0.188,318.1,-0.371,,-0.239,,,339.25,0.005036290919863795,324.25,-0.03940157013775736,328.45,-0.026958969041623537,343.1,0.016442008591319945,OBEROIRLTY.NSE
2020-05-07,340.0,346.55,333.45,339.25,333.3306,168722.0,,,,329.3384626436782,328.37612913305315,0.9623335106250579,0.47766554045499166,0.48466797017006624,,,,,,,0.005036290919863795,,,,,,,Thursday,May,Q2,OBEROIRLTY.NSE,Oberoi Realty Limited,Real Estate,Mid Cap,-0.77,Negative,0.686,Corporate Governance,10.0,29.0,3,-0.2,12.3,29.12,-1.13,covid_crash,,,-0.316,-0.40440000000000004,,3,5,2,2020,0,0,337.55,-0.454,315.3,-0.188,318.1,-0.371,,,324.25,-0.04421518054532059,328.45,-0.03183492999263082,334.45,-0.014148857774502588,336.9,-0.006927044952100281,OBEROIRLTY.NSE
2020-05-08,344.8,345.95,321.15,324.25,318.5923,264798.0,326.89,,,327.95594552943754,327.4192627684704,0.5366827609671532,0.49522182927940905,0.04146093168774412,,,,,,,-0.04421518054532059,,,,,,,Friday,May,Q2,OBEROIRLTY.NSE,Oberoi Realty Limited,Real Estate,Mid Cap,-0.515,Negative,0.572,Regulatory Changes,15.0,20.0,6,1.22,43.79,57.64,0.76,covid_crash,,,0.255,-0.4596,,4,5,2,2020,0,0,339.25,-0.77,337.55,-0.454,315.3,-0.188,,-0.239,328.45,0.012952968388588948,334.45,0.031457208943716175,343.1,0.058134155744024696,319.7,-0.01403238242097149,OBEROIRLTY.NSE
2020-05-11,330.3,337.4,324.0,328.45,322.719,156437.0,328.96,,,328.07602675789326,327.62571121508057,0.4503155428126888,0.48304972890569925,-0.03273418609301043,,,,,,,0.012952968388588948,0.0325369380697893,,,,,,Monday,May,Q2,OBEROIRLTY.NSE,Oberoi Realty Limited,Real Estate,Mid Cap,-0.55,Negative,0.426,FII/DII Activity,14.0,32.0,3,-1.42,-78.3,44.69,-0.93,covid_crash,,,-0.03500000000000003,-0.49540000000000006,,0,5,2,2020,0,0,324.25,-0.515,339.25,-0.77,337.55,-0.454,318.1,-0.371,334.45,0.018267620642411275,343.1,0.044603440401887795,336.9,0.025726899071395914,299.95,-0.08677119805145384,OBEROIRLTY.NSE
2020-05-12,326.05,337.0,315.05,334.45,328.6143,285860.0,332.78999999999996,,,329.4983565860387,328.8393755993032,0.6589809867355143,0.5275732368435503,0.13140774989196402,,,,,,,0.018267620642411275,0.0607358071677766,,,,,,Tuesday,May,Q2,OBEROIRLTY.NSE,Oberoi Realty Limited,Real Estate,Mid Cap,-0.942,Negative,0.531,Capacity Expansion,13.0,33.0,2,-6.18,-6.95,42.05,-2.1,covid_crash,,,-0.3919999999999999,-0.6462,,1,5,2,2020,0,0,328.45,-0.55,324.25,-0.515,339.25,-0.77,315.3,-0.188,343.1,0.025863357751532368,336.9,0.007325459709971671,319.7,-0.044102257437584114,301.05,-0.09986545074002084,OBEROIRLTY.NSE
2020-05-13,348.0,357.0,336.0,343.1,337.1134,334422.0,333.9,,,332.33680992295876,331.13711554465243,1.199694378306333,0.6890965863779236,0.5105977919284094,,,,,,,0.025863357751532368,0.016442008591319945,,,,,,Wednesday,May,Q2,OBEROIRLTY.NSE,Oberoi Realty Limited,Real Estate,Mid Cap,-0.456,Negative,0.467,COVID-19 Impact,10.0,26.0,6,-0.99,12.72,64.12,-0.98,covid_crash,,,0.48599999999999993,-0.6466000000000001,,2,5,2,2020,0,0,334.45,-0.942,328.45,-0.55,324.25,-0.515,337.55,-0.454,336.9,-0.018070533372194775,319.7,-0.06820169046925106,299.95,-0.12576508306616152,301.2,-0.12212183037015456,OBEROIRLTY.NSE
2020-05-14,345.0,347.0,331.05,336.9,331.0216,130412.0,333.43,,,333.2395713377037,331.9913015331745,1.2482698045291727,0.8182683738435023,0.4300014306856704,,,,,,,-0.018070533372194775,-0.006927044952100281,,,,,,Thursday,May,Q2,OBEROIRLTY.NSE,Oberoi Realty Limited,Real Estate,Mid Cap,-0.957,Negative,0.66,FII/DII Activity,14.0,30.0,6,-0.13,15.79,52.49,-2.25,covid_crash,,,-0.5009999999999999,-0.6839999999999999,0.2680090379902223,3,5,2,2020,0,0,343.1,-0.456,334.45,-0.942,328.45,-0.55,339.25,-0.77,319.7,-0.05105372514099138,299.95,-0.10967646185811808,301.05,-0.10641139804096167,300.9,-0.10685663401602852,OBEROIRLTY.NSE
