date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,PAGEIND.NSE,Page Industries Limited,Consumer Goods,Mid Cap,-0.34,Negative,0.318,Technical Factors,10.0,19.0,4,1.03,25.82,32.23,-0.22,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,17359.5,,17215.1,,17089.5,,16982.9,,PAGEIND.NSE
2020-05-04,18000.0,18000.0,17264.7,17359.5,16430.1515,24748.0,,,,17359.5,17359.5,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,PAGEIND.NSE,Page Industries Limited,Consumer Goods,Mid Cap,-0.647,Negative,0.476,Merger & Acquisition,10.0,27.0,3,0.85,41.83,38.0,-1.54,covid_crash,,,-0.307,,,0,5,2,2020,0,0,,-0.34,,,,,,,17215.1,-0.00831821193006721,17089.5,-0.015553443359543784,17019.4,-0.01959157809844747,17379.95,0.001178029321120988,PAGEIND.NSE
2020-05-05,17775.0,17899.95,17120.0,17215.1,16293.4821,25861.0,,,,17281.283333333333,17284.523076923073,-3.239743589740101,-1.7998575498556115,-1.4398860398844895,,,,,,,-0.00831821193006721,,,,,,,Tuesday,May,Q2,PAGEIND.NSE,Page Industries Limited,Consumer Goods,Mid Cap,-0.512,Negative,0.394,Lockdown Measures,9.0,23.0,8,0.81,24.0,40.33,-1.5,covid_crash,,,0.135,,,1,5,2,2020,0,0,17359.5,-0.647,,-0.34,,,,,17089.5,-0.007295920441937498,17019.4,-0.01136792699432454,16982.9,-0.013488158651416282,17022.05,-0.011213992367166026,PAGEIND.NSE
2020-05-06,17350.0,17489.95,16900.0,17089.5,16174.6061,44311.0,,,,17206.43025404157,17214.453178905864,-8.0229248642936,-4.350294973805606,-3.672629890487994,,,,,,,-0.007295920441937498,,,,,,,Wednesday,May,Q2,PAGEIND.NSE,Page Industries Limited,Consumer Goods,Mid Cap,-0.205,Negative,0.111,Regulatory Changes,16.0,20.0,4,2.84,-5.49,69.38,0.12,covid_crash,,,0.30700000000000005,,,2,5,2,2020,0,0,17215.1,-0.512,17359.5,-0.647,,-0.34,,,17019.4,-0.004101933936042523,16982.9,-0.006237748324994796,17379.95,0.016995816144416143,17497.85,0.02389478919804544,PAGEIND.NSE
2020-05-07,17100.0,17278.15,16924.0,17019.4,16108.2589,23788.0,,,,17147.392112068967,17159.9248338257,-12.532721756731917,-7.122119764769803,-5.410601991962114,,,,,,,-0.004101933936042523,,,,,,,Thursday,May,Q2,PAGEIND.NSE,Page Industries Limited,Consumer Goods,Mid Cap,0.241,Positive,0.106,Economic Stimulus,12.0,19.0,4,-1.26,-22.92,79.01,1.78,covid_crash,,,0.44599999999999995,-0.2926,,3,5,2,2020,0,0,17089.5,-0.205,17215.1,-0.512,17359.5,-0.647,,,16982.9,-0.0021446114434116037,17379.95,0.021184648107453796,17022.05,0.0001557046664393269,17612.9,0.03487196963465222,PAGEIND.NSE
2020-05-08,17200.0,17280.0,16850.0,16982.9,16073.713,24428.0,17133.28,,,17102.700193110795,17118.872044705084,-16.171851594288455,-9.814210385164452,-6.357641209124003,,,,,,,-0.0021446114434116037,,,,,,,Friday,May,Q2,PAGEIND.NSE,Page Industries Limited,Consumer Goods,Mid Cap,0.23,Positive,0.313,FII/DII Activity,11.0,16.0,2,-0.8,-82.7,40.94,0.65,covid_crash,,,-0.010999999999999982,-0.1786,,4,5,2,2020,0,0,17019.4,0.241,17089.5,-0.205,17215.1,-0.512,,-0.34,17379.95,0.02337939927809729,17022.05,0.002305259996820297,17497.85,0.03032167650990103,17642.9,0.038862620636051615,PAGEIND.NSE
2020-05-11,17063.15,17620.0,17063.15,17379.95,16449.5067,43565.0,17137.370000000003,,,17170.086482243012,17171.163876867584,-1.0773946245717525,-7.446047556484412,6.36865293191266,,,,,,,0.02337939927809729,0.001178029321120988,,,,,,Monday,May,Q2,PAGEIND.NSE,Page Industries Limited,Consumer Goods,Mid Cap,-0.376,Negative,0.38,Corporate Governance,14.0,22.0,2,1.62,43.43,35.99,0.23,covid_crash,,,-0.606,-0.1244,,0,5,2,2020,0,0,16982.9,0.23,17019.4,0.241,17089.5,-0.205,17359.5,-0.647,17022.05,-0.02059269445539269,17497.85,0.006783678894358047,17612.9,0.013403375728929134,17709.35,0.018952873857519537,PAGEIND.NSE
2020-05-12,17445.05,17445.1,16855.8,17022.05,16110.7671,21146.0,17098.76,,,17137.05265917061,17144.644746852533,-7.592087681921839,-7.4830064162365995,-0.10908126568523979,,,,,,,-0.02059269445539269,-0.011213992367166026,,,,,,Tuesday,May,Q2,PAGEIND.NSE,Page Industries Limited,Consumer Goods,Mid Cap,-1.0,Negative,0.764,Merger & Acquisition,11.0,30.0,5,2.17,-41.96,29.04,-3.39,covid_crash,,,-0.624,-0.22199999999999998,,1,5,2,2020,0,0,17379.95,-0.376,16982.9,0.23,17019.4,0.241,17215.1,-0.512,17497.85,0.027951979931911897,17612.9,0.03471086032528414,17642.9,0.03647328024532892,17497.75,0.027946105198844995,PAGEIND.NSE
2020-05-13,17696.95,17783.25,17330.05,17497.85,16561.0949,58986.0,17180.43,,,17212.345503193992,17201.554864969414,10.790638224578288,-3.0915059730851464,13.882144197663434,,,,,,,0.027951979931911897,0.02389478919804544,,,,,,Wednesday,May,Q2,PAGEIND.NSE,Page Industries Limited,Consumer Goods,Mid Cap,-0.672,Negative,0.512,Lockdown Measures,17.0,29.0,5,-2.0,81.32,50.06,-0.49,covid_crash,,,0.32799999999999996,-0.3154,,2,5,2,2020,0,0,17022.05,-1.0,17379.95,-0.376,16982.9,0.23,17089.5,-0.205,17612.9,0.006575093511488772,17642.9,0.008289589863897717,17709.35,0.01208719928448354,18652.45,0.06598524961638152,PAGEIND.NSE
2020-05-14,17260.0,17650.0,17250.0,17612.9,16669.9857,20717.0,17299.129999999997,,,17291.58943958805,17262.525244214794,29.064195373255643,4.336620563176567,24.727574810079076,,,,,,,0.006575093511488772,0.03487196963465222,,,,,,Thursday,May,Q2,PAGEIND.NSE,Page Industries Limited,Consumer Goods,Mid Cap,-0.158,Negative,0.234,Interest Rate Policy,15.0,18.0,5,-1.59,-55.78,38.65,-1.58,covid_crash,,,0.514,-0.3952,0.3922316350774827,3,5,2,2020,0,0,17497.85,-0.672,17022.05,-1.0,17379.95,-0.376,17019.4,0.241,17642.9,0.0017032970152559557,17709.35,0.0054760999040475156,17497.75,-0.006537821710223879,18392.75,0.044277205911576134,PAGEIND.NSE
