date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.288,Negative,0.237,Merger & Acquisition,6.0,20.0,6,3.11,42.54,55.5,0.51,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,,,,,,,,,PAYTM.NSE
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.472,Negative,0.373,Merger & Acquisition,9.0,23.0,7,-3.6,-25.05,44.21,0.48,covid_crash,,,-0.184,,,0,5,2,2020,0,0,,-0.288,,,,,,,,,,,,,,,PAYTM.NSE
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.476,Negative,0.558,FII/DII Activity,14.0,23.0,11,-0.18,22.71,28.4,1.49,covid_crash,,,-0.0040000000000000036,,,1,5,2,2020,0,0,,-0.472,,-0.288,,,,,,,,,,,,,PAYTM.NSE
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.473,Negative,0.625,Merger & Acquisition,9.0,24.0,9,0.23,-43.04,60.49,-0.02,covid_crash,,,0.0030000000000000027,,,2,5,2,2020,0,0,,-0.476,,-0.472,,-0.288,,,,,,,,,,,PAYTM.NSE
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.341,Negative,0.246,Capacity Expansion,11.0,19.0,7,-1.13,-74.07,48.07,-0.6,covid_crash,,,0.13199999999999995,-0.41,,3,5,2,2020,0,0,,-0.473,,-0.476,,-0.472,,,,,,,,,,,PAYTM.NSE
2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.364,Negative,0.192,COVID-19 Impact,8.0,21.0,4,2.73,35.02,49.82,-0.77,covid_crash,,,-0.022999999999999965,-0.42519999999999997,,4,5,2,2020,0,0,,-0.341,,-0.473,,-0.476,,-0.288,,,,,,,,,PAYTM.NSE
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.443,Negative,0.291,Vaccine Rollout,7.0,21.0,10,0.9,55.5,39.33,-0.49,covid_crash,,,-0.07900000000000001,-0.4194,,0,5,2,2020,0,0,,-0.364,,-0.341,,-0.473,,-0.472,,,,,,,,,PAYTM.NSE
2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.798,Negative,0.583,Merger & Acquisition,11.0,35.0,8,-3.7,49.61,48.63,-0.73,covid_crash,,,-0.35500000000000004,-0.4838,,1,5,2,2020,0,0,,-0.443,,-0.364,,-0.341,,-0.476,,,,,,,,,PAYTM.NSE
2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.236,Negative,0.169,Economic Stimulus,10.0,12.0,11,-2.9,-39.23,30.24,-1.74,covid_crash,,,0.562,-0.43640000000000007,,2,5,2,2020,0,0,,-0.798,,-0.443,,-0.364,,-0.473,,,,,,,,,PAYTM.NSE
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.296,Negative,0.163,Earnings Report,12.0,17.0,9,1.79,-48.16,62.82,-1.38,covid_crash,,,-0.06,-0.4274,0.15919174322530397,3,5,2,2020,0,0,,-0.236,,-0.798,,-0.443,,-0.341,,,,,,,,,PAYTM.NSE
2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.438,Negative,0.505,Sector Rotation,13.0,30.0,7,-3.59,25.61,60.5,-1.03,covid_crash,,,-0.14200000000000002,-0.44220000000000004,0.15243144178431312,4,5,2,2020,0,0,,-0.296,,-0.236,,-0.798,,-0.364,,,,,,,,,PAYTM.NSE
2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.631,Negative,0.603,Inflation Concerns,8.0,28.0,7,-3.49,-32.65,49.27,0.52,covid_crash,,,-0.193,-0.4798,0.16467152489459466,0,5,2,2020,0,0,,-0.438,,-0.296,,-0.236,,-0.443,,,,,,,,,PAYTM.NSE
2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.438,Negative,0.396,Regulatory Changes,12.0,22.0,7,-1.64,15.3,30.38,0.52,covid_crash,,,0.193,-0.40780000000000005,0.16443289749249623,1,5,2,2020,0,0,,-0.631,,-0.438,,-0.296,,-0.798,,,,,,,,,PAYTM.NSE
2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.431,Negative,0.421,Sector Rotation,6.0,19.0,5,2.31,3.88,59.17,-0.51,covid_crash,,,0.007000000000000006,-0.4468,0.16419717144674298,2,5,2,2020,0,0,,-0.438,,-0.631,,-0.438,,-0.236,,,,,,,,,PAYTM.NSE
2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.588,Negative,0.506,Economic Stimulus,13.0,27.0,10,0.28,-0.68,35.95,-1.49,covid_crash,,,-0.15699999999999997,-0.5052,0.16595116416852546,3,5,2,2020,0,0,,-0.431,,-0.438,,-0.631,,-0.296,,,,,,,,,PAYTM.NSE
2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.649,Negative,0.465,Regulatory Changes,11.0,23.0,8,1.2,3.48,46.9,-1.25,covid_crash,,,-0.061000000000000054,-0.5474,0.17083117071801882,4,5,2,2020,0,0,,-0.588,,-0.431,,-0.438,,-0.438,,,,,,,,,PAYTM.NSE
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.434,Negative,0.282,Lockdown Measures,10.0,21.0,14,1.39,21.51,42.06,-0.81,covid_crash,,,0.21500000000000002,-0.508,0.17115778944847612,0,5,2,2020,0,0,,-0.649,,-0.588,,-0.431,,-0.631,,,,,,,,,PAYTM.NSE
2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,0.081,Neutral,0.108,COVID-19 Impact,11.0,18.0,10,-0.92,-45.73,22.71,-0.36,covid_crash,,,0.515,-0.4042,0.21715943963415965,1,5,2,2020,0,0,,-0.434,,-0.649,,-0.588,,-0.438,,,,,,,,,PAYTM.NSE
2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.058,Neutral,0.1,Regulatory Changes,10.0,14.0,8,1.16,-1.42,34.25,-1.52,covid_crash,,,-0.139,-0.3296,0.2388536511478664,2,5,2,2020,0,0,,0.081,,-0.434,,-0.649,,-0.431,,,,,,,,,PAYTM.NSE
2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.299,Negative,0.427,Regulatory Changes,11.0,17.0,5,2.58,-45.99,31.66,-1.09,covid_crash,,,-0.241,-0.2718,0.23872683133657183,3,5,2,2020,0,0,,-0.058,,0.081,,-0.434,,-0.588,,,,,,,,,PAYTM.NSE
2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.362,Negative,0.491,Corporate Governance,15.0,24.0,7,-2.68,5.66,40.69,-0.31,covid_crash,,,-0.063,-0.2144,0.2381850121229294,4,5,2,2020,0,0,,-0.299,,-0.058,,0.081,,-0.649,,,,,,,,,PAYTM.NSE
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,June,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.471,Negative,0.411,Merger & Acquisition,15.0,27.0,11,-1.87,49.32,29.88,-2.44,covid_crash,,,-0.10899999999999999,-0.2218,0.22449867606637589,0,6,2,2020,0,0,,-0.362,,-0.299,,-0.058,,-0.434,,,,,,,,,PAYTM.NSE
2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,June,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.567,Negative,0.394,Vaccine Rollout,16.0,25.0,16,0.89,15.93,43.5,-2.89,covid_crash,,,-0.09599999999999997,-0.3514,0.23272148351385377,1,6,2,2020,0,0,,-0.471,,-0.362,,-0.299,,0.081,,,,,,,,,PAYTM.NSE
2020-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,June,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.234,Negative,0.249,Management Commentary,13.0,30.0,5,-2.87,25.81,50.7,-0.04,covid_crash,,,0.33299999999999996,-0.38659999999999994,0.23603222473024976,2,6,2,2020,0,0,,-0.567,,-0.471,,-0.362,,-0.058,,,,,,,,,PAYTM.NSE
2020-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,June,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.606,Negative,0.423,Corporate Governance,13.0,26.0,8,-1.84,-15.0,44.78,1.17,covid_crash,,,-0.372,-0.44799999999999995,0.23804035605567206,3,6,2,2020,0,0,,-0.234,,-0.567,,-0.471,,-0.299,,,,,,,,,PAYTM.NSE
2020-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,June,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.365,Negative,0.2,Management Commentary,11.0,25.0,7,-4.1,-67.33,44.04,-0.74,covid_crash,,,0.241,-0.4486,0.2156000669964852,4,6,2,2020,0,0,,-0.606,,-0.234,,-0.567,,-0.362,,,,,,,,,PAYTM.NSE
2020-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,June,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.303,Negative,0.275,COVID-19 Impact,12.0,23.0,7,0.8,-61.04,25.74,-1.08,covid_crash,,,0.062,-0.4149999999999999,0.21263960120353884,0,6,2,2020,0,0,,-0.365,,-0.606,,-0.234,,-0.471,,,,,,,,,PAYTM.NSE
2020-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,June,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.314,Negative,0.242,Earnings Report,15.0,22.0,7,-0.85,-26.45,43.51,0.71,covid_crash,,,-0.01100000000000001,-0.3644,0.1604981481374647,1,6,2,2020,0,0,,-0.303,,-0.365,,-0.606,,-0.567,,,,,,,,,PAYTM.NSE
2020-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,June,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.036,Neutral,0.182,Management Commentary,12.0,12.0,9,-0.61,-9.54,38.13,1.0,covid_crash,,,0.278,-0.3248,0.1651491245309322,2,6,2,2020,0,0,,-0.314,,-0.303,,-0.365,,-0.234,,,,,,,,,PAYTM.NSE
2020-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,June,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.493,Negative,0.222,Technical Factors,12.0,25.0,9,-3.04,38.46,46.57,0.02,covid_crash,,,-0.457,-0.30219999999999997,0.16909592938132292,3,6,2,2020,0,0,,-0.036,,-0.314,,-0.303,,-0.606,,,,,,,,,PAYTM.NSE
2020-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,June,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.571,Negative,0.445,Global Markets,13.0,18.0,6,1.63,6.34,48.5,-0.91,covid_crash,,,-0.07799999999999996,-0.3434,0.17986970592935075,4,6,2,2020,0,0,,-0.493,,-0.036,,-0.314,,-0.365,,,,,,,,,PAYTM.NSE
2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,June,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.677,Negative,0.742,Global Markets,12.0,30.0,5,-1.05,-0.02,52.21,-1.22,covid_crash,,,-0.1060000000000001,-0.4182,0.200075097012208,0,6,2,2020,0,0,,-0.571,,-0.493,,-0.036,,-0.303,,,,,,,,,PAYTM.NSE
2020-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,June,Q2,PAYTM.NSE,One 97 Communications Limited,Financial Services,Large Cap,-0.506,Negative,0.376,Technical Factors,14.0,26.0,7,-2.69,-9.83,49.64,-0.39,covid_crash,,,0.17100000000000004,-0.4566,0.19586574199917883,1,6,2,2020,0,0,,-0.677,,-0.571,,-0.493,,-0.314,,,,,,,,,PAYTM.NSE
