date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,PERSISTENT.NSE,Persistent Systems Limited,IT,Mid Cap,-0.361,Negative,0.448,FII/DII Activity,14.0,28.0,4,0.57,0.4,40.4,-1.97,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,462.0,,469.2,,503.0,,531.66,,PERSISTENT.NSE
2020-05-04,470.0,475.96,460.0,462.0,222.9036,133814.0,,,,462.0,462.0,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,PERSISTENT.NSE,Persistent Systems Limited,IT,Mid Cap,-0.176,Negative,0.273,Corporate Governance,11.0,14.0,3,3.8,-48.22,47.79,1.14,covid_crash,,,0.185,,,0,5,2,2020,0,0,,-0.361,,,,,,,469.2,0.01558441558441559,503.0,0.08874458874458879,531.96,0.15142857142857147,527.0,0.14069264069264076,PERSISTENT.NSE
2020-05-05,470.0,479.36,462.0,469.2,226.3774,212154.0,,,,465.9,465.7384615384615,0.16153846153849827,0.08974358974361014,0.07179487179488812,,,,,,,0.01558441558441559,,,,,,,Tuesday,May,Q2,PERSISTENT.NSE,Persistent Systems Limited,IT,Mid Cap,0.015,Neutral,0.103,Technical Factors,14.0,23.0,3,-1.44,2.58,55.92,0.73,covid_crash,,,0.191,,,1,5,2,2020,0,0,462.0,-0.176,,-0.361,,,,,503.0,0.0720375106564366,531.96,0.13375959079283906,531.66,0.13312020460358043,522.0,0.11253196930946285,PERSISTENT.NSE
2020-05-06,481.7,515.0,472.36,503.0,242.6851,1548102.0,,,,480.3801385681294,479.1261705273533,1.2539680407761011,0.566884758199549,0.6870832825765522,,,,,,,0.0720375106564366,,,,,,,Wednesday,May,Q2,PERSISTENT.NSE,Persistent Systems Limited,IT,Mid Cap,0.17,Positive,0.119,Management Commentary,15.0,23.0,4,-0.93,18.73,46.54,-0.65,covid_crash,,,0.15500000000000003,,,2,5,2,2020,0,0,469.2,0.015,462.0,-0.176,,-0.361,,,531.96,0.05757455268389666,531.66,0.05697813121272355,527.0,0.04771371769383692,538.96,0.07149105367793251,PERSISTENT.NSE
2020-05-07,508.0,533.0,507.0,531.96,256.6575,556438.0,,,,496.66188505747135,493.89620043176905,2.765684625702306,1.3117356618251441,1.453948963877162,,,,,,,0.05757455268389666,,,,,,,Thursday,May,Q2,PERSISTENT.NSE,Persistent Systems Limited,IT,Mid Cap,-0.305,Negative,0.337,Merger & Acquisition,13.0,26.0,4,0.26,-31.58,48.49,-0.99,covid_crash,,,-0.475,-0.13140000000000002,,3,5,2,2020,0,0,503.0,0.17,469.2,0.015,462.0,-0.176,,,531.66,-0.0005639521768555644,527.0,-0.009324009324009341,522.0,-0.018723212271599454,525.0,-0.013083690503045364,PERSISTENT.NSE
2020-05-08,535.0,551.0,518.0,531.66,256.5128,292394.0,499.564,,,506.17074780491055,502.6537813121689,3.5169664927416306,1.9677419775428044,1.5492245151988262,,,,,,,-0.0005639521768555644,,,,,,,Friday,May,Q2,PERSISTENT.NSE,Persistent Systems Limited,IT,Mid Cap,-0.386,Negative,0.264,Interest Rate Policy,12.0,19.0,1,0.0,-18.37,30.1,0.53,covid_crash,,,-0.08100000000000002,-0.1364,,4,5,2,2020,0,0,531.96,-0.305,503.0,0.17,469.2,0.015,,-0.361,527.0,-0.008765000188090122,522.0,-0.01816950682767171,538.96,0.013730579693789435,521.0,-0.020050408155588118,PERSISTENT.NSE
2020-05-11,531.2,543.56,515.0,527.0,254.2645,382558.0,512.5640000000001,,,511.23335191120316,507.5301347368672,3.7032171743359754,2.438152246428108,1.2650649279078676,,,,,,,-0.008765000188090122,0.14069264069264076,,,,,,Monday,May,Q2,PERSISTENT.NSE,Persistent Systems Limited,IT,Mid Cap,-0.132,Negative,0.292,Vaccine Rollout,16.0,13.0,5,-3.64,-28.87,30.05,-0.94,covid_crash,,,0.254,-0.12760000000000002,,0,5,2,2020,0,0,531.66,-0.386,531.96,-0.305,503.0,0.17,462.0,-0.176,522.0,-0.009487666034155628,538.96,0.0226944971537002,525.0,-0.003795066413662229,513.2,-0.026185958254269392,PERSISTENT.NSE
2020-05-12,522.1,530.0,517.0,522.0,251.8521,255966.0,523.124,,,513.635891762591,510.1035252641222,3.5323664984687753,2.715068682639627,0.8172978158291482,,,,,,,-0.009487666034155628,0.11253196930946285,,,,,,Tuesday,May,Q2,PERSISTENT.NSE,Persistent Systems Limited,IT,Mid Cap,-0.189,Negative,0.148,Corporate Governance,17.0,18.0,3,-0.89,-4.66,51.36,-0.94,covid_crash,,,-0.056999999999999995,-0.1684,,1,5,2,2020,0,0,527.0,-0.132,531.66,-0.386,531.96,-0.305,469.2,0.015,538.96,0.03249042145593872,525.0,0.005747126436781658,521.0,-0.0019157088122605526,520.9,-0.0021072796934866744,PERSISTENT.NSE
2020-05-13,542.0,544.8,528.0,538.96,260.0349,168114.0,530.316,,,518.9206428285701,514.7530183592035,4.167624469366615,3.064145153507746,1.103479315858869,,,,,,,0.03249042145593872,0.07149105367793251,,,,,,Wednesday,May,Q2,PERSISTENT.NSE,Persistent Systems Limited,IT,Mid Cap,-0.207,Negative,0.118,Merger & Acquisition,16.0,18.0,4,-1.06,-66.84,46.45,2.26,covid_crash,,,-0.017999999999999988,-0.24380000000000002,,2,5,2,2020,0,0,522.0,-0.189,527.0,-0.132,531.66,-0.386,503.0,0.17,525.0,-0.025901736678046627,521.0,-0.03332343773192825,513.2,-0.04779575478699716,520.0,-0.03517886299539863,PERSISTENT.NSE
2020-05-14,533.96,541.7,515.0,525.0,253.2995,140958.0,528.924,,,520.1233560594812,516.2718459897122,3.851510069769006,3.246030355301589,0.6054797144674171,,,,,,,-0.025901736678046627,-0.013083690503045364,,,,,,Thursday,May,Q2,PERSISTENT.NSE,Persistent Systems Limited,IT,Mid Cap,-0.317,Negative,0.33,Global Markets,10.0,22.0,9,-1.08,43.48,48.94,-0.32,covid_crash,,,-0.11000000000000001,-0.24620000000000003,0.1739960408234113,3,5,2,2020,0,0,538.96,-0.207,522.0,-0.189,527.0,-0.132,531.96,-0.305,521.0,-0.007619047619047636,513.2,-0.022476190476190427,520.9,-0.007809523809523822,521.9,-0.005904761904761968,PERSISTENT.NSE
