date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,PIDILITIND.NSE,Pidilite Industries Limited,Chemicals,Large Cap,-0.327,Negative,0.377,Vaccine Rollout,10.0,25.0,6,-0.06,15.86,48.32,-1.73,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1423.9,,1395.15,,1433.0,,1368.0,,PIDILITIND.NSE
2020-05-04,1480.0,1521.5,1420.2,1423.9,1399.5658,817610.0,,,,1423.9,1423.9,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,PIDILITIND.NSE,Pidilite Industries Limited,Chemicals,Large Cap,-0.493,Negative,0.421,Technical Factors,8.0,14.0,10,-3.24,87.56,58.66,-0.29,covid_crash,,,-0.16599999999999998,,,0,5,2,2020,0,0,,-0.327,,,,,,,1395.15,-0.020191024650607514,1433.0,0.006390898237235598,1355.0,-0.04838822951049937,1378.0,-0.03223540979001338,PIDILITIND.NSE
2020-05-05,1435.0,1451.1,1382.05,1395.15,1371.3071,1202073.0,,,,1408.3270833333333,1408.9721153846153,-0.6450320512819872,-0.358351139601104,-0.28668091168088317,,,,,,,-0.020191024650607514,,,,,,,Tuesday,May,Q2,PIDILITIND.NSE,Pidilite Industries Limited,Chemicals,Large Cap,0.031,Neutral,0.1,Earnings Report,10.0,12.0,9,6.55,4.73,47.48,2.04,covid_crash,,,0.524,,,1,5,2,2020,0,0,1423.9,-0.493,,-0.327,,,,,1433.0,0.0271296993154857,1355.0,-0.0287782675697954,1368.0,-0.01946027308891518,1354.2,-0.029351682614772612,PIDILITIND.NSE
2020-05-06,1396.1,1450.05,1376.2,1433.0,1408.5103,1106858.0,,,,1417.9569284064667,1417.6051010349925,0.35182737147420085,-0.06729437276696267,0.4191217442411635,,,,,,,0.0271296993154857,,,,,,,Wednesday,May,Q2,PIDILITIND.NSE,Pidilite Industries Limited,Chemicals,Large Cap,-0.468,Negative,0.268,Capacity Expansion,12.0,24.0,8,2.24,33.13,34.41,-0.58,covid_crash,,,-0.499,,,2,5,2,2020,0,0,1395.15,0.031,1423.9,-0.493,,-0.327,,,1355.0,-0.05443126308443824,1368.0,-0.04535938590369848,1378.0,-0.038381018841591064,1381.0,-0.03628750872295883,PIDILITIND.NSE
2020-05-07,1434.0,1442.85,1346.55,1355.0,1331.8433,1641697.0,,,,1398.083886494253,1400.1034506022042,-2.0195641079512825,-0.7286323589405126,-1.29093174901077,,,,,,,-0.05443126308443824,,,,,,,Thursday,May,Q2,PIDILITIND.NSE,Pidilite Industries Limited,Chemicals,Large Cap,-0.489,Negative,0.494,Capacity Expansion,12.0,19.0,8,-0.28,-37.77,59.65,-0.94,covid_crash,,,-0.020999999999999963,-0.3492,,3,5,2,2020,0,0,1433.0,-0.468,1395.15,0.031,1423.9,-0.493,,,1368.0,0.009594095940959502,1378.0,0.01697416974169741,1354.2,-0.0005904059040590104,1363.0,0.005904059040590326,PIDILITIND.NSE
2020-05-08,1373.8,1389.0,1351.8,1368.0,1344.6211,944412.0,1395.01,,,1389.9102020528726,1392.6585279936953,-2.748325940822724,-1.329445537748881,-1.418880403073843,,,,,,,0.009594095940959502,,,,,,,Friday,May,Q2,PIDILITIND.NSE,Pidilite Industries Limited,Chemicals,Large Cap,0.175,Positive,0.1,Interest Rate Policy,10.0,19.0,6,-2.44,17.16,51.99,-1.01,covid_crash,,,0.6639999999999999,-0.2488,,4,5,2,2020,0,0,1355.0,-0.489,1433.0,-0.468,1395.15,0.031,,-0.327,1378.0,0.007309941520467822,1354.2,-0.01008771929824559,1381.0,0.009502923976608235,1370.45,0.0017909356725147596,PIDILITIND.NSE
2020-05-11,1380.0,1388.4,1358.4,1378.0,1354.4502,660493.0,1385.83,,,1387.0153963606228,1389.7225417487834,-2.7071453881605976,-1.702878795840356,-1.0042665923202416,,,,,,,0.007309941520467822,-0.03223540979001338,,,,,,Monday,May,Q2,PIDILITIND.NSE,Pidilite Industries Limited,Chemicals,Large Cap,-0.025,Neutral,0.2,COVID-19 Impact,7.0,11.0,5,-2.38,61.91,37.37,1.04,covid_crash,,,-0.19999999999999998,-0.15519999999999998,,0,5,2,2020,0,0,1368.0,0.175,1355.0,-0.489,1433.0,-0.468,1423.9,-0.493,1354.2,-0.017271407837445518,1381.0,0.002177068214804123,1363.0,-0.010885341074020283,1348.0,-0.021770682148040676,PIDILITIND.NSE
2020-05-12,1370.0,1379.85,1335.75,1354.2,1331.057,667788.0,1377.6399999999999,,,1379.6927554750607,1383.4050418427373,-3.7122863676765974,-2.21140624615605,-1.5008801215205474,,,,,,,-0.017271407837445518,-0.029351682614772612,,,,,,Tuesday,May,Q2,PIDILITIND.NSE,Pidilite Industries Limited,Chemicals,Large Cap,-0.23,Negative,0.221,Regulatory Changes,12.0,19.0,4,-1.35,13.0,44.94,1.11,covid_crash,,,-0.20500000000000002,-0.20739999999999997,,1,5,2,2020,0,0,1378.0,-0.025,1368.0,0.175,1355.0,-0.489,1395.15,0.031,1381.0,0.01979028208536393,1363.0,0.006498301580268651,1370.45,0.011999704622655427,1362.5,0.006129079899571677,PIDILITIND.NSE
2020-05-13,1400.0,1400.0,1362.05,1381.0,1357.399,549132.0,1367.24,,,1379.965557258717,1383.0175300089622,-3.0519727502453406,-2.4134101839453193,-0.6385625663000214,,,,,,,0.01979028208536393,-0.03628750872295883,,,,,,Wednesday,May,Q2,PIDILITIND.NSE,Pidilite Industries Limited,Chemicals,Large Cap,-0.665,Negative,0.574,Technical Factors,10.0,26.0,10,0.69,-44.84,51.59,0.79,covid_crash,,,-0.43500000000000005,-0.2468,,2,5,2,2020,0,0,1354.2,-0.23,1378.0,-0.025,1368.0,0.175,1433.0,-0.468,1363.0,-0.01303403330919628,1370.45,-0.0076393917451121895,1348.0,-0.02389572773352644,1372.5,-0.0061549601737871384,PIDILITIND.NSE
2020-05-14,1377.0,1377.0,1341.4,1363.0,1339.7066,665394.0,1368.84,,,1376.6091661783025,1380.0504926180583,-3.4413264397558123,-2.6508639385563844,-0.790462501199428,,,,,,,-0.01303403330919628,0.005904059040590326,,,,,,Thursday,May,Q2,PIDILITIND.NSE,Pidilite Industries Limited,Chemicals,Large Cap,-0.237,Negative,0.248,Global Markets,13.0,20.0,7,-0.39,24.53,38.42,-1.68,covid_crash,,,0.42800000000000005,-0.1964,0.2682100337836417,3,5,2,2020,0,0,1381.0,-0.665,1354.2,-0.23,1378.0,-0.025,1355.0,-0.489,1370.45,0.005465884079236982,1348.0,-0.011005135730007387,1362.5,-0.0003668378576668907,1419.0,0.04108584005869398,PIDILITIND.NSE
