date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,POLICYBZR.NSE,PB Fintech Limited,Financial Services,Large Cap,-0.665,Negative,0.472,Corporate Governance,13.0,25.0,8,-0.6,-24.99,42.31,0.35,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,,,,,,,,,POLICYBZR.NSE
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,POLICYBZR.NSE,PB Fintech Limited,Financial Services,Large Cap,-0.437,Negative,0.268,Regulatory Changes,14.0,27.0,10,-2.91,34.56,47.17,-0.51,covid_crash,,,0.22800000000000004,,,0,5,2,2020,0,0,,-0.665,,,,,,,,,,,,,,,POLICYBZR.NSE
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,POLICYBZR.NSE,PB Fintech Limited,Financial Services,Large Cap,-0.498,Negative,0.322,Earnings Report,8.0,17.0,9,-2.36,-15.69,40.74,0.32,covid_crash,,,-0.061,,,1,5,2,2020,0,0,,-0.437,,-0.665,,,,,,,,,,,,,POLICYBZR.NSE
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,POLICYBZR.NSE,PB Fintech Limited,Financial Services,Large Cap,-0.835,Negative,0.532,Economic Stimulus,9.0,28.0,9,-1.46,-52.99,47.08,-1.57,covid_crash,,,-0.33699999999999997,,,2,5,2,2020,0,0,,-0.498,,-0.437,,-0.665,,,,,,,,,,,POLICYBZR.NSE
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,POLICYBZR.NSE,PB Fintech Limited,Financial Services,Large Cap,-0.368,Negative,0.349,Sector Rotation,7.0,30.0,13,-0.11,-29.71,45.81,-0.82,covid_crash,,,0.46699999999999997,-0.5606,,3,5,2,2020,0,0,,-0.835,,-0.498,,-0.437,,,,,,,,,,,POLICYBZR.NSE
2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,POLICYBZR.NSE,PB Fintech Limited,Financial Services,Large Cap,-0.388,Negative,0.396,Technical Factors,16.0,21.0,7,-2.04,42.98,48.65,0.5,covid_crash,,,-0.020000000000000018,-0.5052,,4,5,2,2020,0,0,,-0.368,,-0.835,,-0.498,,-0.665,,,,,,,,,POLICYBZR.NSE
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,POLICYBZR.NSE,PB Fintech Limited,Financial Services,Large Cap,-0.213,Negative,0.364,Corporate Governance,11.0,19.0,4,-2.8,-22.33,50.1,0.88,covid_crash,,,0.17500000000000002,-0.46040000000000003,,0,5,2,2020,0,0,,-0.388,,-0.368,,-0.835,,-0.437,,,,,,,,,POLICYBZR.NSE
2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,POLICYBZR.NSE,PB Fintech Limited,Financial Services,Large Cap,-0.466,Negative,0.437,Inflation Concerns,13.0,25.0,6,4.91,47.19,62.28,0.61,covid_crash,,,-0.253,-0.454,,1,5,2,2020,0,0,,-0.213,,-0.388,,-0.368,,-0.498,,,,,,,,,POLICYBZR.NSE
2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,POLICYBZR.NSE,PB Fintech Limited,Financial Services,Large Cap,-0.425,Negative,0.282,Capacity Expansion,12.0,21.0,11,2.1,55.2,40.9,-1.42,covid_crash,,,0.041000000000000036,-0.372,,2,5,2,2020,0,0,,-0.466,,-0.213,,-0.388,,-0.835,,,,,,,,,POLICYBZR.NSE
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,POLICYBZR.NSE,PB Fintech Limited,Financial Services,Large Cap,-0.773,Negative,0.625,FII/DII Activity,12.0,31.0,14,-2.03,21.35,64.18,-0.77,covid_crash,,,-0.34800000000000003,-0.45299999999999996,0.19339297930494903,3,5,2,2020,0,0,,-0.425,,-0.466,,-0.213,,-0.368,,,,,,,,,POLICYBZR.NSE
