date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,POLYCAB.NSE,Polycab India Limited,Consumer Goods,Mid Cap,-0.243,Negative,0.279,Sector Rotation,15.0,17.0,1,0.99,20.0,46.19,-0.16,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,691.9,,676.3,,677.0,,674.1,,POLYCAB.NSE
2020-05-04,705.0,712.9,690.0,691.9,672.9707,177805.0,,,,691.9,691.9,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,POLYCAB.NSE,Polycab India Limited,Consumer Goods,Mid Cap,-0.662,Negative,0.435,Capacity Expansion,13.0,19.0,8,-2.05,26.53,47.03,-0.24,covid_crash,,,-0.41900000000000004,,,0,5,2,2020,0,0,,-0.243,,,,,,,676.3,-0.022546610781904897,677.0,-0.02153490388784507,675.15,-0.02420870067928893,674.15,-0.025653996242231525,POLYCAB.NSE
2020-05-05,699.0,707.6,673.0,676.3,657.7974,142777.0,,,,683.4499999999999,683.7999999999998,-0.34999999999990905,-0.1944444444443939,-0.15555555555551515,,,,,,,-0.022546610781904897,,,,,,,Tuesday,May,Q2,POLYCAB.NSE,Polycab India Limited,Consumer Goods,Mid Cap,-0.19,Negative,0.306,Interest Rate Policy,13.0,17.0,5,-0.43,14.93,51.15,-1.85,covid_crash,,,0.47200000000000003,,,1,5,2,2020,0,0,691.9,-0.662,,-0.243,,,,,677.0,0.0010350436196955304,675.15,-0.0017004288037852922,674.1,-0.0032529942333282547,668.35,-0.011755138252254826,POLYCAB.NSE
2020-05-06,676.3,686.95,653.0,677.0,658.4783,158661.0,,,,680.9325635103926,681.3568260226712,-0.4242625122785739,-0.28863217716332007,-0.13563033511525385,,,,,,,0.0010350436196955304,,,,,,,Wednesday,May,Q2,POLYCAB.NSE,Polycab India Limited,Consumer Goods,Mid Cap,-0.201,Negative,0.384,Merger & Acquisition,10.0,19.0,4,-4.13,7.62,56.8,-1.61,covid_crash,,,-0.01100000000000001,,,2,5,2,2020,0,0,676.3,-0.19,691.9,-0.662,,-0.243,,,675.15,-0.0027326440177253275,674.1,-0.004283604135893571,674.15,-0.0042097488921714055,701.75,0.03655834564254068,POLYCAB.NSE
2020-05-07,679.8,702.9,672.0,675.15,656.6789,366742.0,,,,679.1072341954022,679.6216687024202,-0.5144345070179952,-0.3651234813146328,-0.1493110257033624,,,,,,,-0.0027326440177253275,,,,,,,Thursday,May,Q2,POLYCAB.NSE,Polycab India Limited,Consumer Goods,Mid Cap,-0.547,Negative,0.409,FII/DII Activity,10.0,21.0,5,-2.14,-37.87,36.08,-0.71,covid_crash,,,-0.34600000000000003,-0.3686,,3,5,2,2020,0,0,677.0,-0.201,676.3,-0.19,691.9,-0.662,,,674.1,-0.0015552099533436836,674.15,-0.0014811523365177992,668.35,-0.010071835888321057,709.65,0.05109975560986446,POLYCAB.NSE
2020-05-08,689.0,693.0,671.4,674.1,655.6576,78417.0,678.89,,,677.7467865602496,678.3411709556602,-0.5943843954106569,-0.43332342006285507,-0.16106097534780184,,,,,,,-0.0015552099533436836,,,,,,,Friday,May,Q2,POLYCAB.NSE,Polycab India Limited,Consumer Goods,Mid Cap,-0.528,Negative,0.537,Capacity Expansion,12.0,22.0,7,-0.8,62.16,48.02,-0.08,covid_crash,,,0.019000000000000017,-0.42560000000000003,,4,5,2,2020,0,0,675.15,-0.547,677.0,-0.201,676.3,-0.19,,-0.243,674.15,7.417297136913525e-05,668.35,-0.008529891707461768,701.75,0.04101765316718575,691.8,0.026257231864708297,POLYCAB.NSE
2020-05-11,687.95,697.8,671.2,674.15,655.7063,150204.0,675.3399999999999,,,676.8725781998711,677.5017128408218,-0.6291346409507241,-0.4863991478167445,-0.14273549313397965,,,,,,,7.417297136913525e-05,-0.025653996242231525,,,,,,Monday,May,Q2,POLYCAB.NSE,Polycab India Limited,Consumer Goods,Mid Cap,-0.231,Negative,0.184,Vaccine Rollout,11.0,20.0,5,-2.56,19.51,51.6,-0.0,covid_crash,,,0.29700000000000004,-0.33940000000000003,,0,5,2,2020,0,0,674.1,-0.528,675.15,-0.547,677.0,-0.201,691.9,-0.662,668.35,-0.008603426537120762,701.75,0.040940443521471526,709.65,0.052658903804791324,662.8,-0.016836015723503683,POLYCAB.NSE
2020-05-12,675.8,675.8,662.0,668.35,650.0649,120429.0,673.75,,,674.9707946927957,675.8741281533034,-0.9033334605077243,-0.591914099563502,-0.3114193609442223,,,,,,,-0.008603426537120762,-0.011755138252254826,,,,,,Tuesday,May,Q2,POLYCAB.NSE,Polycab India Limited,Consumer Goods,Mid Cap,-0.126,Negative,0.151,Sector Rotation,9.0,15.0,8,-1.75,10.97,48.48,-1.48,covid_crash,,,0.10500000000000001,-0.32660000000000006,,1,5,2,2020,0,0,674.15,-0.231,674.1,-0.528,675.15,-0.547,676.3,-0.19,701.75,0.04997381611431129,709.65,0.061793970225181294,691.8,0.03508640682277231,658.1,-0.015336275903344077,POLYCAB.NSE
2020-05-13,699.0,701.75,681.2,701.75,682.5512,164232.0,678.7,,,680.5592020896755,680.0433722685883,0.515829821087209,-0.32570240430209124,0.8415322253893003,,,,,,,0.04997381611431129,0.03655834564254068,,,,,,Wednesday,May,Q2,POLYCAB.NSE,Polycab India Limited,Consumer Goods,Mid Cap,-0.26,Negative,0.285,Regulatory Changes,10.0,25.0,5,-2.08,-12.11,49.34,0.08,covid_crash,,,-0.134,-0.33840000000000003,,2,5,2,2020,0,0,668.35,-0.126,674.15,-0.231,674.1,-0.528,677.0,-0.201,709.65,0.011257570359814784,691.8,-0.014178838617741385,662.8,-0.05550409690060565,653.7,-0.06847167794798714,POLYCAB.NSE
2020-05-14,699.95,731.0,688.3,709.65,690.235,263194.0,685.6,,,686.3143973443541,684.4317244508178,1.8826728935363235,0.1844432453049301,1.6982296482313934,,,,,,,0.011257570359814784,0.05109975560986446,,,,,,Thursday,May,Q2,POLYCAB.NSE,Polycab India Limited,Consumer Goods,Mid Cap,-0.529,Negative,0.147,Earnings Report,8.0,24.0,4,-0.37,-33.22,63.72,0.43,covid_crash,,,-0.269,-0.3348,0.1919305719379913,3,5,2,2020,0,0,701.75,-0.26,668.35,-0.126,674.15,-0.231,675.15,-0.547,691.8,-0.025153244557176158,662.8,-0.06601845980412879,658.1,-0.07264144296484176,638.6,-0.10011977735503408,POLYCAB.NSE
