date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.405,Negative,0.214,Capacity Expansion,17.0,19.0,8,-0.91,-54.56,31.83,-1.73,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,156.7467,,161.28,,163.0044,,156.6933,,POWERGRID.NSE
2020-05-04,158.56,159.1467,155.3067,156.7467,54.0496,12598389.0,,,,156.7467,156.7467,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.186,Negative,0.162,Inflation Concerns,17.0,14.0,5,-3.96,34.4,49.83,-0.36,covid_crash,,,0.21900000000000003,,,0,5,2,2020,0,0,,-0.405,,,,,,,161.28,0.02892118302969049,163.0044,0.03992237157145895,159.3956,0.01689923934602766,156.4977,-0.001588550189573379,POWERGRID.NSE
2020-05-05,159.1111,163.4489,157.8667,161.28,55.6128,18305550.0,,,,159.20223749999997,159.10052884615385,0.10170865384611716,0.05650480769228731,0.04520384615382985,,,,,,,0.02892118302969049,,,,,,,Tuesday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.953,Negative,0.597,Earnings Report,9.0,29.0,9,-4.34,17.39,31.57,-1.86,covid_crash,,,-0.7669999999999999,,,1,5,2,2020,0,0,156.7467,-0.186,,-0.405,,,,,163.0044,0.010691964285714395,159.3956,-0.011684027777777772,156.6933,-0.028439360119047685,160.9244,-0.0022048611111111782,POWERGRID.NSE
2020-05-06,160.5333,164.2311,160.3377,163.0044,56.2075,12853778.0,,,,160.68622240184757,160.50315184820107,0.18307055364650182,0.10837601505057194,0.07469453859592988,,,,,,,0.010691964285714395,,,,,,,Wednesday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.39,Negative,0.402,COVID-19 Impact,13.0,19.0,7,4.64,-2.54,57.5,-0.08,covid_crash,,,0.563,,,2,5,2,2020,0,0,161.28,-0.953,156.7467,-0.186,,-0.405,,,159.3956,-0.022139279675886026,156.6933,-0.03871735977679136,156.4977,-0.03991732738502762,164.2311,0.007525563727114104,POWERGRID.NSE
2020-05-07,161.28,162.5956,158.6667,159.3956,54.963,8561365.0,,,,160.27882334770115,160.19352875099418,0.08529459670697292,0.10055710639759126,-0.015262509690618334,,,,,,,-0.022139279675886026,,,,,,,Thursday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.304,Negative,0.368,Interest Rate Policy,14.0,27.0,7,-0.68,17.12,42.04,-0.3,covid_crash,,,0.08600000000000002,-0.4476,,3,5,2,2020,0,0,163.0044,-0.39,161.28,-0.953,156.7467,-0.186,,,156.6933,-0.01695341653094573,156.4977,-0.018180552035313324,160.9244,0.009591230874628875,158.4711,-0.005800034630817907,POWERGRID.NSE
2020-05-08,160.2311,160.2311,155.8044,156.6933,54.0313,30898776.0,159.424,,,159.3046494687075,159.3818112665989,-0.07716179789139233,0.04768975029068277,-0.1248515481820751,,,,,,,-0.01695341653094573,,,,,,,Friday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.344,Negative,0.342,Interest Rate Policy,13.0,19.0,7,0.46,49.96,33.9,-1.38,covid_crash,,,-0.03999999999999998,-0.4354,,4,5,2,2020,0,0,159.3956,-0.304,163.0044,-0.39,161.28,-0.953,,-0.405,156.4977,-0.001248298427565131,160.9244,0.02700243086334897,164.2311,0.04810543909663023,157.4756,0.004992555520880515,POWERGRID.NSE
2020-05-11,156.9956,160.0356,156.0533,156.4977,53.9638,9453424.0,159.3742,,,158.62241307474875,158.8041467827454,-0.18173370799664212,-0.014496762602706954,-0.16723694539393516,,,,,,,-0.001248298427565131,-0.001588550189573379,,,,,,Monday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.534,Negative,0.336,Lockdown Measures,15.0,24.0,7,6.5,-42.45,25.42,-1.13,covid_crash,,,-0.19000000000000006,-0.5050000000000001,,0,5,2,2020,0,0,156.6933,-0.344,159.3956,-0.304,163.0044,-0.39,156.7467,-0.186,160.9244,0.02828603870855595,164.2311,0.0494154227186725,158.4711,0.012609769983840113,152.2489,-0.027149280788152264,POWERGRID.NSE
2020-05-12,156.1956,162.5956,155.4133,160.9244,55.4902,19987814.0,159.30308,,,159.13609340308088,159.1812228263328,-0.04512942325192171,-0.022249071807999714,-0.022880351443921993,,,,,,,0.02828603870855595,-0.0022048611111111782,,,,,,Tuesday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.587,Negative,0.475,Inflation Concerns,17.0,16.0,9,1.97,-14.57,39.26,-1.4,covid_crash,,,-0.052999999999999936,-0.43179999999999996,,1,5,2,2020,0,0,156.4977,-0.534,156.6933,-0.344,159.3956,-0.304,161.28,-0.953,164.2311,0.02054815801705656,158.4711,-0.015245046742445423,157.4756,-0.02143118134975186,155.7511,-0.032147393434432514,POWERGRID.NSE
2020-05-13,168.96,169.4044,159.6977,164.2311,56.6304,27175824.0,159.54842,,,160.19934274998042,159.99488316651224,0.2044595834681786,0.032233281312073335,0.17222630215610527,,,,,,,0.02054815801705656,0.007525563727114104,,,,,,Wednesday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.324,Negative,0.161,FII/DII Activity,16.0,16.0,7,-3.21,-24.77,45.13,0.69,covid_crash,,,0.26299999999999996,-0.41859999999999997,,2,5,2,2020,0,0,160.9244,-0.587,156.4977,-0.534,156.6933,-0.344,163.0044,-0.39,158.4711,-0.03507252889373569,157.4756,-0.0411341091912556,152.2489,-0.07295938467196539,156.1423,-0.049252547172855765,POWERGRID.NSE
2020-05-14,161.6177,161.6177,157.6711,158.4711,54.6443,26454520.0,159.36352000000002,,,159.85743482073485,159.76902504971923,0.08840977101561975,0.04521032912659509,0.043199441889024665,,,,,,,-0.03507252889373569,-0.005800034630817907,,,,,,Thursday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.511,Negative,0.392,Sector Rotation,11.0,30.0,7,-2.19,24.71,32.98,-2.31,covid_crash,,,-0.187,-0.45999999999999996,0.21243550655303467,3,5,2,2020,0,0,164.2311,-0.324,160.9244,-0.587,156.4977,-0.534,159.3956,-0.304,157.4756,-0.0062819025046207955,152.2489,-0.03926394150100565,155.7511,-0.017164012870485523,156.5867,-0.011891127151890779,POWERGRID.NSE
2020-05-15,156.8889,159.3956,155.9467,157.4756,54.301,20011656.0,159.51997999999998,159.47199,,159.40607804789238,159.45255471404818,-0.046476666155797375,0.024667119760567353,-0.07114378591636472,,,,,,,-0.0062819025046207955,0.004992555520880515,,18630109.6,1.0741566437161485,,,Friday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.25,Negative,0.275,Corporate Governance,11.0,16.0,4,-0.56,-68.21,39.94,-1.59,covid_crash,,,0.261,-0.4412,0.22183830447723255,4,5,2,2020,0,0,158.4711,-0.511,164.2311,-0.324,160.9244,-0.587,156.6933,-0.344,152.2489,-0.033190538724729435,155.7511,-0.010950902870031753,156.1423,-0.00846670849325215,153.5823,-0.024723195212464577,POWERGRID.NSE
2020-05-18,157.5289,157.8667,151.0756,152.2489,52.4987,32898384.0,158.67022,159.02221,,158.0964870368798,158.51823841551504,-0.4217513786352356,-0.07300669688167155,-0.34874468175356405,,,,,,,-0.033190538724729435,-0.027149280788152264,-0.02869470298258281,20660109.1,1.5923625495278724,0.024160252881819357,,Monday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.312,Negative,0.14,Vaccine Rollout,10.0,24.0,10,2.32,57.64,57.44,-0.93,covid_crash,,,-0.062,-0.3968,0.2091301827411178,0,5,2,2020,0,0,157.4756,-0.25,158.4711,-0.511,164.2311,-0.324,156.4977,-0.534,155.7511,0.023003121861636,156.1423,0.02557259855407823,156.5867,0.028491503058478695,,,POWERGRID.NSE
2020-05-19,152.7467,156.9956,151.7689,155.7511,53.7064,12276540.0,157.63556,158.46931999999998,,157.67948492129887,158.17825186099734,-0.49876693969846997,-0.16444214134357693,-0.33432479835489304,,,,,,,0.023003121861636,-0.032147393434432514,-0.034281374007936516,20057208.1,0.6120762141367022,0.023360397974270884,,Tuesday,May,Q2,POWERGRID.NSE,Power Grid Corporation of India,Power,Large Cap,-0.139,Negative,0.136,Interest Rate Policy,11.0,23.0,5,2.82,57.83,44.57,-0.74,covid_crash,,,0.173,-0.30720000000000003,0.13845837721937312,1,5,2,2020,0,0,152.2489,-0.312,157.4756,-0.25,158.4711,-0.511,160.9244,-0.587,156.1423,0.002511699756855723,156.5867,0.005364970135042446,153.5823,-0.013924781269602615,155.0577,-0.004451974978025852,POWERGRID.NSE
