date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,PVR.NSE,PVR Limited,Media & Entertainment,Mid Cap,-0.449,Negative,0.508,Technical Factors,8.0,18.0,12,-5.57,-16.74,31.52,0.21,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,959.55,,913.45,,895.3,,893.9,,PVR.NSE
2020-05-04,974.0,977.95,944.0,959.55,959.55,1535897.0,,,,959.55,959.55,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,PVR.NSE,PVR Limited,Media & Entertainment,Mid Cap,-0.772,Negative,0.491,Economic Stimulus,10.0,32.0,4,-3.23,-21.18,42.97,-1.19,covid_crash,,,-0.323,,,0,5,2,2020,0,0,,-0.449,,,,,,,913.45,-0.04804335365535917,895.3,-0.06695847011620026,912.05,-0.04950237090302745,902.6,-0.05935073732478757,PVR.NSE
2020-05-05,960.0,965.0,905.0,913.45,913.45,2768818.0,,,,934.5791666666667,935.6134615384615,-1.0342948717948275,-0.5746082621082375,-0.45968660968659003,,,,,,,-0.04804335365535917,,,,,,,Tuesday,May,Q2,PVR.NSE,PVR Limited,Media & Entertainment,Mid Cap,-1.0,Negative,0.77,Corporate Governance,10.0,40.0,3,-3.07,106.32,59.03,-1.21,covid_crash,,,-0.22799999999999998,,,1,5,2,2020,0,0,959.55,-0.772,,-0.449,,,,,895.3,-0.019869724670206423,912.05,-0.0015326509387487697,893.9,-0.021402375608955082,909.15,-0.004707427883299697,PVR.NSE
2020-05-06,901.0,938.0,867.35,895.3,895.3,2146193.0,,,,919.2484988452655,921.1292262198127,-1.8807273745471775,-1.1099029803209177,-0.7708243942262598,,,,,,,-0.019869724670206423,,,,,,,Wednesday,May,Q2,PVR.NSE,PVR Limited,Media & Entertainment,Mid Cap,-0.883,Negative,0.713,Management Commentary,13.0,37.0,2,-4.78,28.42,70.22,-1.65,covid_crash,,,0.11699999999999999,,,2,5,2,2020,0,0,913.45,-1.0,959.55,-0.772,,-0.449,,,912.05,0.018708812688484233,893.9,-0.0015637216575449253,902.6,0.00815369150005596,921.2,0.02892885066458173,PVR.NSE
2020-05-07,880.0,937.0,872.3,912.05,912.05,3062332.0,,,,916.9762140804597,918.5910713271219,-1.6148572466621545,-1.2809579485936944,-0.3338992980684601,,,,,,,0.018708812688484233,,,,,,,Thursday,May,Q2,PVR.NSE,PVR Limited,Media & Entertainment,Mid Cap,-0.572,Negative,0.397,Interest Rate Policy,11.0,30.0,4,-3.92,62.42,41.52,-1.22,covid_crash,,,0.31100000000000005,-0.7352000000000001,,3,5,2,2020,0,0,895.3,-0.883,913.45,-1.0,959.55,-0.772,,,893.9,-0.019900224768378938,902.6,-0.010361274052957503,909.15,-0.0031796502384737746,887.6,-0.026807740803683977,PVR.NSE
2020-05-08,919.8,928.9,889.0,893.9,893.9,1229886.0,914.85,,,910.7064891886492,912.8651100455962,-2.158620856946982,-1.5420428213784656,-0.6165780355685162,,,,,,,-0.019900224768378938,,,,,,,Friday,May,Q2,PVR.NSE,PVR Limited,Media & Entertainment,Mid Cap,-0.627,Negative,0.4,Vaccine Rollout,17.0,34.0,3,-5.83,-32.65,39.13,-1.3,covid_crash,,,-0.05500000000000005,-0.7708,,4,5,2,2020,0,0,912.05,-0.572,895.3,-0.883,913.45,-1.0,,-0.449,902.6,0.009732632285490705,909.15,0.01706007383376207,921.2,0.030540328895849678,853.25,-0.04547488533392996,PVR.NSE
2020-05-11,899.5,920.0,893.35,902.6,902.6,932673.0,903.4599999999998,,,908.7361858349959,910.8090903750441,-2.072904540048171,-1.6859358624785463,-0.3869686775696246,,,,,,,0.009732632285490705,-0.05935073732478757,,,,,,Monday,May,Q2,PVR.NSE,PVR Limited,Media & Entertainment,Mid Cap,-0.981,Negative,0.729,Management Commentary,14.0,35.0,10,1.74,-54.34,38.34,-0.32,covid_crash,,,-0.354,-0.8126,,0,5,2,2020,0,0,893.9,-0.627,912.05,-0.572,895.3,-0.883,959.55,-0.772,909.15,0.007256813649457072,921.2,0.02060713494349664,887.6,-0.016618657212497223,745.85,-0.17366496787059604,PVR.NSE
2020-05-12,895.0,914.95,875.25,909.15,909.15,1227844.0,902.6,,,908.8285270180913,910.514029752339,-1.6855027342476205,-1.6858262492781089,0.0003235150304883305,,,,,,,0.007256813649457072,-0.004707427883299697,,,,,,Tuesday,May,Q2,PVR.NSE,PVR Limited,Media & Entertainment,Mid Cap,-0.637,Negative,0.56,Technical Factors,15.0,25.0,3,-2.5,-24.35,39.47,-2.03,covid_crash,,,0.344,-0.74,,1,5,2,2020,0,0,902.6,-0.981,893.9,-0.627,912.05,-0.572,913.45,-1.0,921.2,0.013254138480998767,887.6,-0.023703459275147054,853.25,-0.06148600340977839,804.45,-0.11516251443656156,PVR.NSE
2020-05-13,927.0,931.65,886.0,921.2,921.2,2421740.0,907.78,,,911.4102627465893,912.235804339689,-0.8255415930997287,-1.479083668741899,0.6535420756421702,,,,,,,0.013254138480998767,0.02892885066458173,,,,,,Wednesday,May,Q2,PVR.NSE,PVR Limited,Media & Entertainment,Mid Cap,-0.355,Negative,0.318,FII/DII Activity,14.0,30.0,4,-2.06,-52.95,45.4,-1.16,covid_crash,,,0.28200000000000003,-0.6344,,2,5,2,2020,0,0,909.15,-0.637,902.6,-0.981,893.9,-0.627,895.3,-0.883,887.6,-0.03647416413373861,853.25,-0.07376248371689109,745.85,-0.19034954407294835,855.65,-0.07115718627876688,PVR.NSE
2020-05-14,910.0,914.0,885.0,887.6,887.6,1025739.0,902.89,,,906.6997452972488,908.5842373082858,-1.8844920110369685,-1.5727350070532173,-0.31175700398375117,,,,,,,-0.03647416413373861,-0.026807740803683977,,,,,,Thursday,May,Q2,PVR.NSE,PVR Limited,Media & Entertainment,Mid Cap,-1.0,Negative,0.725,Regulatory Changes,12.0,40.0,6,-6.0,10.26,39.71,0.03,covid_crash,,,-0.645,-0.72,0.23516528466402326,3,5,2,2020,0,0,921.2,-0.355,909.15,-0.637,902.6,-0.981,912.05,-0.572,853.25,-0.03869986480396581,745.85,-0.15970031545741326,804.45,-0.09367958539882826,879.6,-0.009013068949977443,PVR.NSE
