date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,RELAXO.NSE,Relaxo Footwears Limited,Consumer Goods,Mid Cap,-0.05,Neutral,0.1,Global Markets,12.0,8.0,2,1.45,-7.08,28.38,-1.23,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,607.8,,606.4,,605.3,,603.2,,RELAXO.NSE
2020-05-04,617.0,617.0,601.25,607.8,601.1538,213613.0,,,,607.8,607.8,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,RELAXO.NSE,Relaxo Footwears Limited,Consumer Goods,Mid Cap,-0.435,Negative,0.303,Earnings Report,14.0,24.0,3,-0.88,-2.42,57.53,0.54,covid_crash,,,-0.385,,,0,5,2,2020,0,0,,-0.05,,,,,,,606.4,-0.0023033892727870597,605.3,-0.0041131951299769876,600.15,-0.012586377097729473,612.3,0.007403751233958644,RELAXO.NSE
2020-05-05,612.5,624.95,604.7,606.4,599.7691,152560.0,,,,607.0416666666666,607.0730769230769,-0.03141025641025408,-0.017450142450141155,-0.013960113960112923,,,,,,,-0.0023033892727870597,,,,,,,Tuesday,May,Q2,RELAXO.NSE,Relaxo Footwears Limited,Consumer Goods,Mid Cap,-0.134,Negative,0.263,Management Commentary,11.0,15.0,6,0.33,-1.3,53.79,-0.7,covid_crash,,,0.301,,,1,5,2,2020,0,0,607.8,-0.435,,-0.05,,,,,605.3,-0.0018139841688654679,600.15,-0.010306728232189921,603.2,-0.005277044854881119,612.8,0.01055408970976246,RELAXO.NSE
2020-05-06,611.0,611.0,602.35,605.3,598.6812,98724.0,,,,606.3618937644342,606.4360275998029,-0.07413383536868423,-0.04068116413806864,-0.03345267123061559,,,,,,,-0.0018139841688654679,,,,,,,Wednesday,May,Q2,RELAXO.NSE,Relaxo Footwears Limited,Consumer Goods,Mid Cap,-0.208,Negative,0.276,Management Commentary,12.0,15.0,7,-0.99,11.1,23.8,-0.95,covid_crash,,,-0.07399999999999998,,,2,5,2,2020,0,0,606.4,-0.134,607.8,-0.435,,-0.05,,,600.15,-0.00850817776309265,603.2,-0.00346935403931925,612.3,0.011564513464397796,611.65,0.010490665785561015,RELAXO.NSE
2020-05-07,607.3,607.3,590.1,600.15,593.5875,172198.0,,,,604.4010416666666,604.6787289796614,-0.2776873129947717,-0.12096779992963469,-0.15671951306513698,,,,,,,-0.00850817776309265,,,,,,,Thursday,May,Q2,RELAXO.NSE,Relaxo Footwears Limited,Consumer Goods,Mid Cap,0.165,Positive,0.227,Vaccine Rollout,13.0,24.0,3,-0.29,14.29,46.93,0.67,covid_crash,,,0.373,-0.1324,,3,5,2,2020,0,0,605.3,-0.208,606.4,-0.134,607.8,-0.435,,,603.2,0.005082062817629129,612.3,0.02024493876530853,612.8,0.021078063817378867,607.85,0.01283012580188303,RELAXO.NSE
2020-05-08,607.0,607.15,596.0,603.2,596.6041,129578.0,604.5699999999999,,,604.0747229383281,604.335805630114,-0.26108269178587307,-0.16264881249991028,-0.09843387928596278,,,,,,,0.005082062817629129,,,,,,,Friday,May,Q2,RELAXO.NSE,Relaxo Footwears Limited,Consumer Goods,Mid Cap,-0.332,Negative,0.31,COVID-19 Impact,13.0,18.0,4,-2.93,-27.97,59.79,-0.29,covid_crash,,,-0.497,-0.1888,,4,5,2,2020,0,0,600.15,0.165,605.3,-0.208,606.4,-0.134,,-0.05,612.3,0.015086206896551602,612.8,0.01591511936339507,611.65,0.014008620689655027,597.45,-0.009532493368700212,RELAXO.NSE
2020-05-11,603.2,617.95,603.2,612.3,605.6046,158616.0,605.47,,,606.0738979945326,605.9309702422667,0.14292775226590493,-0.07982057372003584,0.22274832598594077,,,,,,,0.015086206896551602,0.007403751233958644,,,,,,Monday,May,Q2,RELAXO.NSE,Relaxo Footwears Limited,Consumer Goods,Mid Cap,-0.337,Negative,0.443,Vaccine Rollout,13.0,22.0,5,-0.84,-58.64,18.71,-0.61,covid_crash,,,-0.0050000000000000044,-0.16920000000000002,,0,5,2,2020,0,0,603.2,-0.332,600.15,0.165,605.3,-0.208,607.8,-0.435,612.8,0.0008165931732810883,611.65,-0.0010615711252653925,607.85,-0.007267679242201397,587.35,-0.04074799934672535,RELAXO.NSE
2020-05-12,614.85,616.9,605.0,612.8,606.0992,105907.0,606.75,,,607.5748041242174,607.1525915765732,0.42221254764422156,0.047230616272295356,0.3749819313719262,,,,,,,0.0008165931732810883,0.01055408970976246,,,,,,Tuesday,May,Q2,RELAXO.NSE,Relaxo Footwears Limited,Consumer Goods,Mid Cap,0.019,Neutral,0.173,Interest Rate Policy,15.0,10.0,3,-1.56,38.6,33.79,-0.78,covid_crash,,,0.35600000000000004,-0.1386,,1,5,2,2020,0,0,612.3,-0.337,603.2,-0.332,600.15,0.165,606.4,-0.134,611.65,-0.0018766318537858373,607.85,-0.00807767624020872,597.45,-0.025048955613576895,604.3,-0.013870757180156623,RELAXO.NSE
2020-05-13,630.0,630.0,602.2,611.65,604.9617,289595.0,608.02,,,608.4252346920666,607.8772355118383,0.5479991802283166,0.16757471914585967,0.380424461082457,,,,,,,-0.0018766318537858373,0.010490665785561015,,,,,,Wednesday,May,Q2,RELAXO.NSE,Relaxo Footwears Limited,Consumer Goods,Mid Cap,-0.255,Negative,0.415,Capacity Expansion,8.0,16.0,5,1.87,28.41,47.87,-1.38,covid_crash,,,-0.274,-0.148,,2,5,2,2020,0,0,612.8,0.019,612.3,-0.337,603.2,-0.332,605.3,-0.208,607.85,-0.006212703343415282,597.45,-0.023215891441183523,587.35,-0.03972860295920866,613.5,0.003024605575083772,RELAXO.NSE
2020-05-14,609.5,613.75,603.25,607.85,601.2033,103366.0,609.56,,,608.3114327956623,607.8731986110844,0.4382341845779365,0.23009839840920146,0.20813578616873504,,,,,,,-0.006212703343415282,0.01283012580188303,,,,,,Thursday,May,Q2,RELAXO.NSE,Relaxo Footwears Limited,Consumer Goods,Mid Cap,-0.117,Negative,0.1,COVID-19 Impact,11.0,21.0,5,2.88,-36.17,40.4,-0.26,covid_crash,,,0.138,-0.2044,0.1824074803534353,3,5,2,2020,0,0,611.65,-0.255,612.8,0.019,612.3,-0.337,600.15,0.165,597.45,-0.01710948424775849,587.35,-0.03372542568067782,604.3,-0.005840256642263841,655.7,0.07872007896685052,RELAXO.NSE
