date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.718,Negative,0.563,Lockdown Measures,13.0,21.0,8,-1.04,3.47,28.87,-0.43,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,179.3,,171.4,,171.95,,166.9,,SBIN.NSE
2020-05-04,182.45,183.5,178.0,179.3,165.4479,58122608.0,,,,179.3,179.3,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.023,Neutral,0.1,Earnings Report,13.0,15.0,6,-3.22,55.34,60.94,-1.05,covid_crash,,,0.695,,,0,5,2,2020,0,0,,-0.718,,,,,,,171.4,-0.0440602342442834,171.95,-0.04099274958170673,170.95,-0.046569994422755334,165.25,-0.07836029001673184,SBIN.NSE
2020-05-05,181.0,181.25,168.8,171.4,158.1582,91050629.0,,,,175.02083333333334,175.19807692307694,-0.17724358974359689,-0.09846866096866494,-0.07877492877493195,,,,,,,-0.0440602342442834,,,,,,,Tuesday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.51,Negative,0.205,Economic Stimulus,11.0,21.0,11,-3.81,-70.96,39.35,-0.53,covid_crash,,,-0.487,,,1,5,2,2020,0,0,179.3,-0.023,,-0.718,,,,,171.95,0.0032088681446906797,170.95,-0.0026254375729288792,166.9,-0.026254375729288237,167.1,-0.025087514585764414,SBIN.NSE
2020-05-06,171.15,173.3,166.55,171.95,158.6657,73156881.0,,,,173.82228637413394,174.031074420897,-0.20878804676306117,-0.14368152399915518,-0.065106522763906,,,,,,,0.0032088681446906797,,,,,,,Wednesday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.592,Negative,0.401,Global Markets,14.0,27.0,8,-3.82,-0.7,48.77,-0.12,covid_crash,,,-0.08199999999999996,,,2,5,2,2020,0,0,171.4,-0.51,179.3,-0.023,,-0.718,,,170.95,-0.005815644082582172,166.9,-0.029369002617039786,165.25,-0.03896481535330032,174.5,0.014829892410584522,SBIN.NSE
2020-05-07,170.85,172.55,168.8,170.95,157.743,42944139.0,,,,172.91561781609198,173.16974065447107,-0.25412283837908944,-0.1810938933690516,-0.07302894501003784,,,,,,,-0.005815644082582172,,,,,,,Thursday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.046,Neutral,0.368,Interest Rate Policy,17.0,16.0,10,6.76,-29.47,58.81,0.41,covid_crash,,,0.5459999999999999,-0.3778,,3,5,2,2020,0,0,171.95,-0.592,171.4,-0.51,179.3,-0.023,,,166.9,-0.023691137759578762,165.25,-0.03334308277274045,167.1,-0.022521205030710756,168.3,-0.015501608657502053,SBIN.NSE
2020-05-08,172.45,173.8,166.1,166.9,154.0059,55935527.0,172.1,,,171.28119595513743,171.7157619365337,-0.43456598139627545,-0.25649610898876357,-0.17806987240751188,,,,,,,-0.023691137759578762,,,,,,,Friday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.248,Negative,0.334,Regulatory Changes,13.0,25.0,11,-1.87,26.39,49.51,-0.94,covid_crash,,,-0.202,-0.2838,,4,5,2,2020,0,0,170.95,-0.046,171.95,-0.592,171.4,-0.51,,-0.718,165.25,-0.009886159376872428,167.1,0.0011983223487117556,174.5,0.04553624925104849,166.45,-0.002696225284601672,SBIN.NSE
2020-05-11,167.95,168.9,165.0,165.25,152.4833,54594499.0,169.29000000000002,,,169.81529803799887,170.42072138971324,-0.6054233517143643,-0.3510747917468087,-0.2543485599675556,,,,,,,-0.009886159376872428,-0.07836029001673184,,,,,,Monday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.424,Negative,0.464,Interest Rate Policy,11.0,18.0,9,-0.22,-34.05,47.96,-0.84,covid_crash,,,-0.176,-0.364,,0,5,2,2020,0,0,166.9,-0.248,170.95,-0.046,171.95,-0.592,179.3,-0.023,167.1,0.011195158850226816,174.5,0.05597579425113475,168.3,0.018456883509833544,155.45,-0.05930408472012105,SBIN.NSE
2020-05-12,164.2,168.5,160.85,167.1,154.1904,70752913.0,168.43,,,169.20938878092235,169.8301483047161,-0.6207595237937369,-0.41932480289391116,-0.20143472089982573,,,,,,,0.011195158850226816,-0.025087514585764414,,,,,,Tuesday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.225,Negative,0.1,Economic Stimulus,13.0,16.0,5,-5.0,5.06,42.87,-0.3,covid_crash,,,0.19899999999999998,-0.30700000000000005,,1,5,2,2020,0,0,165.25,-0.424,166.9,-0.248,170.95,-0.046,171.4,-0.51,174.5,0.0442848593656493,168.3,0.007181328545781129,166.45,-0.003889886295631362,153.05,-0.08408138839018542,SBIN.NSE
2020-05-13,178.55,178.55,170.5,174.5,161.0187,81721884.0,168.94,,,170.31345779759155,170.58257712393288,-0.2691193263413254,-0.3832276022637122,0.11410827592238681,,,,,,,0.0442848593656493,0.014829892410584522,,,,,,Wednesday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-1.0,Negative,0.77,Earnings Report,16.0,28.0,4,-4.74,-23.75,26.82,-0.85,covid_crash,,,-0.775,-0.3886,,2,5,2,2020,0,0,167.1,-0.225,165.25,-0.424,166.9,-0.248,171.95,-0.592,168.3,-0.03553008595988527,166.45,-0.046131805157593186,155.45,-0.1091690544412608,153.6,-0.11977077363896849,SBIN.NSE
2020-05-14,170.95,171.75,167.5,168.3,155.2977,48137099.0,168.41,,,169.91512418027673,170.24424908489416,-0.32912490461743005,-0.37072961070255395,0.0416047060851239,,,,,,,-0.03553008595988527,-0.015501608657502053,,,,,,Thursday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.421,Negative,0.286,Corporate Governance,11.0,23.0,9,0.73,-59.17,57.02,-0.9,covid_crash,,,0.579,-0.4636,0.3033139371088055,3,5,2,2020,0,0,174.5,-1.0,167.1,-0.225,165.25,-0.424,170.95,-0.046,166.45,-0.010992275698158194,155.45,-0.07635175282234119,153.05,-0.0906120023767083,152.0,-0.09685086155674394,SBIN.NSE
2020-05-15,167.95,168.25,164.7,166.45,153.5906,35498484.0,168.32,170.20999999999998,,169.2584844948154,169.7206796394209,-0.46219514460548794,-0.3912231998637676,-0.07097194474172036,,,,,,,-0.010992275698158194,-0.002696225284601672,,61191466.3,0.5801214801090655,,,Friday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.545,Negative,0.376,Sector Rotation,9.0,25.0,6,-2.64,11.38,40.5,-0.85,covid_crash,,,-0.12400000000000005,-0.523,0.28907215554444377,4,5,2,2020,0,0,168.3,-0.421,174.5,-1.0,167.1,-0.225,166.9,-0.248,155.45,-0.06608591168519073,153.05,-0.0805046560528686,153.6,-0.07720036046860912,151.1,-0.09221988585160701,SBIN.NSE
2020-05-18,166.4,166.4,155.0,155.45,143.4404,77350889.0,166.35999999999999,167.825,,166.73186477834187,167.86976796923022,-1.137903190888352,-0.5545925154182091,-0.5833106754701428,,,,,,,-0.06608591168519073,-0.05930408472012105,-0.13301728945900737,63114294.4,1.2255684664677167,0.03090190944139612,,Monday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.794,Negative,0.739,Interest Rate Policy,15.0,30.0,10,-0.35,18.0,44.48,-1.42,covid_crash,,,-0.249,-0.597,0.2789831735268475,0,5,2,2020,0,0,166.45,-0.545,168.3,-0.421,174.5,-1.0,165.25,-0.424,153.05,-0.015439047925377758,153.6,-0.011900932775812167,152.0,-0.022193631392730673,,,SBIN.NSE
2020-05-19,157.5,157.85,152.4,153.05,141.2259,71522983.0,163.55,165.98999999999998,,164.29927413639342,166.04892596784714,-1.7496518314537184,-0.8112411376501019,-0.9384106938036165,,,,,,,-0.015439047925377758,-0.08408138839018542,-0.1070595099183197,61161529.8,1.169411282449642,0.0290513872945538,,Tuesday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.325,Negative,0.164,Merger & Acquisition,13.0,20.0,7,0.79,-7.63,50.68,-1.41,covid_crash,,,0.46900000000000003,-0.6170000000000001,0.28291577073986757,1,5,2,2020,0,0,155.45,-0.794,166.45,-0.545,168.3,-0.421,167.1,-0.225,153.6,0.003593596863769921,152.0,-0.006860503103561011,151.1,-0.01274093433518464,151.6,-0.009474028095393772,SBIN.NSE
2020-05-20,153.0,155.25,151.15,153.6,141.7334,66178068.0,159.36999999999998,164.155,,162.44147368642237,164.5905365361709,-2.149062849748532,-1.0943706919243674,-1.0546921578241644,,,,,,,0.003593596863769921,-0.11977077363896849,-0.10671706891538235,60463648.5,1.0945100013274918,0.029072358370874695,,Wednesday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.291,Negative,0.1,Global Markets,17.0,16.0,8,-3.33,-12.95,50.56,-0.01,covid_crash,,,0.03400000000000003,-0.47519999999999996,0.28355930204769825,2,5,2,2020,0,0,153.05,-0.325,155.45,-0.794,166.45,-0.545,174.5,-1.0,152.0,-0.01041666666666663,151.1,-0.01627604166666663,,,158.6,0.03255208333333326,SBIN.NSE
2020-05-21,153.65,156.15,151.5,152.0,140.257,61150189.0,156.10999999999999,162.26000000000002,,160.66362409516927,163.17646944612326,-2.512845350953995,-1.3911166489396456,-1.1217287020143496,,,,,,21.562499999999957,-0.01041666666666663,-0.09685086155674394,-0.11085112606025149,62284253.5,0.9817921154020093,0.029020427671730385,,Thursday,May,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,-0.514,Negative,0.479,Regulatory Changes,9.0,19.0,7,-0.72,-39.07,40.72,0.26,covid_crash,,,-0.22300000000000003,-0.49379999999999996,0.24934850666843336,3,5,2,2020,0,0,153.6,-0.291,153.05,-0.325,155.45,-0.794,168.3,-0.421,151.1,-0.005921052631578938,,,151.6,-0.0026315789473684292,157.9,0.03881578947368425,SBIN.NSE
