date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.503,Negative,0.401,Corporate Governance,11.0,24.0,10,-1.5,45.98,45.85,-0.44,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,18625.0,,18512.0,,18741.9,,18732.75,,SHREECEM.NSE
2020-05-04,19174.0,19304.65,18540.0,18625.0,18334.7733,35572.0,,,,18625.0,18625.0,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.592,Negative,0.193,Global Markets,15.0,25.0,8,2.9,7.09,35.98,-1.04,covid_crash,,,-0.08899999999999997,,,0,5,2,2020,0,0,,-0.503,,,,,,,18512.0,-0.006067114093959769,18741.9,0.0062765100671142715,18432.4,-0.010340939597315413,18914.9,0.01556510067114103,SHREECEM.NSE
2020-05-05,18675.5,18899.85,18250.0,18512.0,18223.5341,43081.0,,,,18563.791666666664,18566.326923076922,-2.535256410257716,-1.408475783476509,-1.1267806267812073,,,,,,,-0.006067114093959769,,,,,,,Tuesday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.328,Negative,0.513,Merger & Acquisition,12.0,28.0,12,-1.65,46.51,60.4,-0.81,covid_crash,,,0.26399999999999996,,,1,5,2,2020,0,0,18625.0,-0.592,,-0.503,,,,,18741.9,0.012418971477960339,18432.4,-0.004299913569576375,18732.75,0.011924697493517655,19127.2,0.03323249783923954,SHREECEM.NSE
2020-05-06,18624.95,18930.0,18523.55,18741.9,18449.8517,31793.0,,,,18633.30739030023,18629.408624938394,3.8987653618351032,0.7666230465692335,3.13214231526587,,,,,,,0.012418971477960339,,,,,,,Wednesday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.578,Negative,0.332,Corporate Governance,16.0,28.0,8,1.02,18.2,31.51,-2.26,covid_crash,,,-0.24999999999999994,,,2,5,2,2020,0,0,18512.0,-0.328,18625.0,-0.592,,-0.503,,,18432.4,-0.016513800628538244,18732.75,-0.00048821090711193005,18914.9,0.009230654309328346,19763.25,0.05449554207417595,SHREECEM.NSE
2020-05-07,18741.9,18884.2,18041.95,18432.4,18145.1745,44718.0,,,,18569.888778735633,18574.333622599705,-4.444843864072027,-0.9987790234311933,-3.4460648406408336,,,,,,,-0.016513800628538244,,,,,,,Thursday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.788,Negative,0.575,Capacity Expansion,9.0,28.0,6,0.69,-6.15,43.63,-1.71,covid_crash,,,-0.21000000000000008,-0.5578,,3,5,2,2020,0,0,18741.9,-0.578,18512.0,-0.328,18625.0,-0.592,,,18732.75,0.0162946767648271,18914.9,0.026176732275775327,19127.2,0.03769449447711626,19310.8,0.047655215815628926,SHREECEM.NSE
2020-05-08,18680.0,18879.45,18450.1,18732.75,18440.8443,37689.0,18608.81,,,18614.13759049096,18611.071033922854,3.0665565681047156,0.2105664047981939,2.8559901633065214,,,,,,,0.0162946767648271,,,,,,,Friday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.435,Negative,0.337,Inflation Concerns,14.0,16.0,7,-4.12,-32.67,39.33,-0.02,covid_crash,,,0.35300000000000004,-0.5441999999999999,,4,5,2,2020,0,0,18432.4,-0.788,18741.9,-0.578,18512.0,-0.328,,-0.503,18914.9,0.009723612390065695,19127.2,0.02105670550239558,19763.25,0.055010609760980156,19180.5,0.023901989830644288,SHREECEM.NSE
2020-05-11,19099.0,19299.0,18812.75,18914.9,18620.1559,86212.0,18666.79,,,18687.23867905322,18671.925552575205,15.313126478013146,4.304199870735978,11.008926607277168,,,,,,,0.009723612390065695,0.01556510067114103,,,,,,Monday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.775,Negative,0.506,Economic Stimulus,10.0,30.0,4,-4.77,57.14,45.9,-1.3,covid_crash,,,-0.34,-0.5808,,0,5,2,2020,0,0,18732.75,-0.435,18432.4,-0.788,18741.9,-0.578,18625.0,-0.592,19127.2,0.011223955717450274,19763.25,0.0448508847522322,19310.8,0.020930589112287068,18152.7,-0.040296274365711704,SHREECEM.NSE
2020-05-12,18845.25,19232.0,18416.5,19127.2,18829.1477,45807.0,18789.83,,,18785.41450851529,18752.893752969532,32.5207555457564,11.445057362875627,21.075698182880775,,,,,,,0.011223955717450274,0.03323249783923954,,,,,,Tuesday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.504,Negative,0.543,Corporate Governance,13.0,27.0,14,-2.04,-22.1,36.05,-1.17,covid_crash,,,0.271,-0.616,,1,5,2,2020,0,0,18914.9,-0.775,18732.75,-0.435,18432.4,-0.788,18512.0,-0.328,19763.25,0.03325369107867315,19310.8,0.009598895813291985,19180.5,0.0027866075536409074,18340.75,-0.041116838847296,SHREECEM.NSE
2020-05-13,19534.95,20309.95,19442.45,19763.25,19455.2863,97463.0,18994.1,,,18989.473704105927,18915.687179302364,73.78652480356322,26.42688432042792,47.35964048313531,,,,,,,0.03325369107867315,0.05449554207417595,,,,,,Wednesday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.322,Negative,0.116,Earnings Report,15.0,21.0,7,3.7,-62.74,46.53,-0.36,covid_crash,,,0.182,-0.5648,,2,5,2,2020,0,0,19127.2,-0.504,18914.9,-0.775,18732.75,-0.435,18741.9,-0.578,19310.8,-0.02289350182788763,19180.5,-0.029486547000113883,18152.7,-0.08149216348525667,19411.65,-0.01779059618230805,SHREECEM.NSE
2020-05-14,19700.0,19928.85,19165.1,19310.8,19009.8867,76779.0,19169.78,,,19053.043482392302,18974.25157321663,78.79190917567394,38.523464846217664,40.26844432945627,,,,,,,-0.02289350182788763,0.047655215815628926,,,,,,Thursday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.173,Negative,0.284,Sector Rotation,16.0,17.0,6,-0.99,58.75,33.74,-0.0,covid_crash,,,0.14900000000000002,-0.4417999999999999,0.1959488595413496,3,5,2,2020,0,0,19763.25,-0.322,19127.2,-0.504,18914.9,-0.775,18432.4,-0.788,19180.5,-0.006747519522754097,18152.7,-0.05997162209747908,18340.75,-0.05023354806636693,19251.15,-0.0030889450462951995,SHREECEM.NSE
2020-05-15,19509.9,19563.55,18811.5,19180.5,18881.6171,52718.0,19259.329999999998,18934.07,,19077.1964429437,19002.71184876117,74.48459418252969,46.580845358244666,27.903748824285024,,,,,,,-0.006747519522754097,0.023901989830644288,,55183.2,0.9553269835747112,,,Friday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.631,Negative,0.411,Earnings Report,11.0,33.0,6,-0.95,29.29,49.23,-0.85,covid_crash,,,-0.458,-0.481,0.20031319921008148,4,5,2,2020,0,0,19310.8,-0.173,19763.25,-0.322,19127.2,-0.504,18732.75,-0.435,18152.7,-0.05358567294908889,18340.75,-0.04378144469643652,19411.65,0.012051302103699202,19910.25,0.03804645342926416,SHREECEM.NSE
2020-05-18,19200.0,19239.45,18000.0,18152.7,17869.833,66740.0,19106.890000000003,18886.84,,18908.035885068704,18892.465042692704,15.570842376000655,39.79603389490442,-24.225191518903763,,,,,,,-0.05358567294908889,-0.040296274365711704,-0.02535838926174494,58300.0,1.1447684391080617,0.024595064614946552,,Monday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.374,Negative,0.318,Corporate Governance,12.0,18.0,6,-1.78,-12.2,39.75,-0.25,covid_crash,,,0.257,-0.4008,0.2025618149822145,0,5,2,2020,0,0,19180.5,-0.631,19310.8,-0.173,19763.25,-0.322,18914.9,-0.775,18340.75,0.01035934048378473,19411.65,0.06935331934092459,19251.15,0.0605116594225652,,,SHREECEM.NSE
2020-05-19,18300.0,18820.0,18075.0,18340.75,18054.9526,68436.0,18949.6,18869.715,,18807.174317023386,18824.67815664864,-17.503839625253022,27.49042412668337,-44.99426375193639,,,,,,,0.01035934048378473,-0.041116838847296,-0.00925075626620575,60835.5,1.1249352762778313,0.024861811939258776,,Tuesday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.462,Negative,0.418,Sector Rotation,13.0,25.0,6,-3.49,-22.96,31.81,-0.26,covid_crash,,,-0.08800000000000002,-0.39239999999999997,0.19488218663250542,1,5,2,2020,0,0,18152.7,-0.374,19180.5,-0.631,19310.8,-0.173,19127.2,-0.504,19411.65,0.058389106225208876,19251.15,0.049638100950070374,19910.25,0.08557447214535929,20667.3,0.12685141011136403,SHREECEM.NSE
2020-05-20,18351.05,20150.45,18351.05,19411.65,19109.1652,95883.0,18879.28,18936.690000000002,,18912.134259306822,18893.44180222305,18.69245708377275,25.628468632276135,-6.936011548503384,,,,,,,0.058389106225208876,-0.01779059618230805,0.03573543770909038,67244.5,1.425886131951312,0.031030754690199995,,Wednesday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.47,Negative,0.339,FII/DII Activity,16.0,21.0,11,-5.15,-61.49,49.16,0.22,covid_crash,,,-0.007999999999999952,-0.422,0.1933242526603082,2,5,2,2020,0,0,18340.75,-0.462,18152.7,-0.374,19180.5,-0.631,19763.25,-0.322,19251.15,-0.008268230675908539,19910.25,0.02568560632403738,,,20477.55,0.054910324470099026,SHREECEM.NSE
2020-05-21,19156.0,19349.6,18750.0,19251.15,18951.1662,83398.0,18867.350000000002,19018.565,,18969.857815781754,18933.616689835144,36.24112594660983,27.848644460705483,8.392481485904344,,,,,,56.244950880167565,-0.008268230675908539,-0.0030889450462951995,0.044419066426509834,71112.5,1.1727614695025488,0.030532100231247142,,Thursday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.755,Negative,0.774,Management Commentary,12.0,25.0,10,-5.35,-31.62,56.94,-2.34,covid_crash,,,-0.28500000000000003,-0.5384,0.18794351988474273,3,5,2,2020,0,0,19411.65,-0.47,18340.75,-0.462,18152.7,-0.374,19310.8,-0.173,19910.25,0.03423691571672327,,,20667.3,0.07356183916285519,20808.9,0.08091724390490951,SHREECEM.NSE
2020-05-22,19019.0,20079.95,18803.2,19910.25,19599.9957,97537.0,19013.3,19136.315000000002,,19127.389605590688,19039.264490942474,88.12511464821364,40.34356441095692,47.78155023725672,,,,,,61.329078776873786,0.03423691571672327,0.03804645342926416,0.06285782920286653,77097.3,1.2651156395878973,0.03178572946381605,,Friday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.2,Negative,0.249,Corporate Governance,15.0,21.0,4,-2.49,44.16,30.31,1.15,covid_crash,,,0.5549999999999999,-0.45220000000000005,0.2090997635367174,4,5,2,2020,0,0,19251.15,-0.755,19411.65,-0.47,18340.75,-0.462,19180.5,-0.631,,,20667.3,0.038023128790447114,20477.55,0.028492861716954865,20857.3,0.047565952210544715,SHREECEM.NSE
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.216,Negative,0.103,Lockdown Measures,14.0,20.0,6,-3.53,4.91,37.53,1.39,covid_crash,,,-0.015999999999999986,-0.42060000000000003,0.19146978293657152,0,5,2,2020,0,0,19910.25,-0.2,19251.15,-0.755,19411.65,-0.47,18152.7,-0.374,20667.3,,20477.55,,20808.9,,21069.35,,SHREECEM.NSE
2020-05-26,19810.1,20759.95,19700.0,20667.3,20345.2489,115382.0,19516.22,19311.555,,19381.87193977487,19209.570379182354,172.30156059251385,67.49953630285093,104.80202428966292,,,,,,67.06114242289912,0.038023128790447114,0.1385248475433405,0.09264653791455402,80014.3,1.4420172394184538,0.033320511118712,,Tuesday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.439,Negative,0.535,Technical Factors,10.0,19.0,14,-0.13,-7.21,41.54,0.59,covid_crash,,,-0.223,-0.41600000000000004,0.18903838528487052,1,5,2,2020,0,0,,-0.216,19910.25,-0.2,19251.15,-0.755,18340.75,-0.462,20477.55,-0.00918117025445997,20808.9,0.0068514029408777155,20857.3,0.009193266657957277,21201.0,0.02582340218606216,SHREECEM.NSE
2020-05-27,20702.75,20900.0,20300.0,20477.55,20158.4557,81015.0,19943.579999999998,19446.590000000004,,19560.898376673256,19338.28138379549,222.6169928777672,99.23770770227348,123.3792851754937,,,,,,63.82712607050387,-0.00918117025445997,0.11650559546365336,0.07059841482286999,83535.1,0.969831843141386,0.03381743213864071,,Wednesday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.662,Negative,0.586,Merger & Acquisition,12.0,35.0,5,-2.8,-20.67,71.26,0.43,covid_crash,,,-0.22300000000000003,-0.4544,0.20269396745943002,2,5,2,2020,0,0,20667.3,-0.439,,-0.216,19910.25,-0.2,19411.65,-0.47,20808.9,0.016181134950226106,20857.3,0.01854469895080224,21069.35,0.028899941643409477,21630.1,0.05628358861289562,SHREECEM.NSE
2020-05-28,20649.0,21163.35,20260.8,20808.9,20484.6423,77639.0,20223.030000000002,19551.155000000002,,19762.88506753088,19483.57591030076,279.30915723012004,135.91267508560844,143.3964821445116,,,,,,68.86680109874408,0.016181134950226106,0.07197997079073648,0.052908808014876074,81552.7,0.9520101725632628,0.03277991069923254,,Thursday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.832,Negative,0.557,COVID-19 Impact,8.0,28.0,9,-0.59,31.29,43.6,-1.31,covid_crash,,,-0.16999999999999993,-0.46980000000000005,0.21371915631916993,3,5,2,2020,0,0,20477.55,-0.662,20667.3,-0.439,,-0.216,19251.15,-0.755,20857.3,0.002325927848180198,21069.35,0.012516279092119165,21201.0,0.01884289895189073,21396.65,0.028245125883636257,SHREECEM.NSE
2020-05-29,20850.0,21049.0,20608.9,20857.3,20532.2881,76672.0,20544.26,19705.805,,19938.60791966517,19616.02279018674,322.58512947842974,173.79308013396607,148.79204934446366,,,,,,67.56944501873093,0.002325927848180198,0.08343137942408618,0.08008471943161344,81542.0,0.9402761766942189,0.03127539085163171,,Friday,May,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.164,Negative,0.377,Inflation Concerns,9.0,14.0,8,-1.95,81.43,41.57,0.76,covid_crash,,,0.6679999999999999,-0.46259999999999996,0.23305659779928523,4,5,2,2020,0,0,20808.9,-0.832,20477.55,-0.662,20667.3,-0.439,19910.25,-0.2,21069.35,0.01016670422346122,21201.0,0.016478642969128376,21630.1,0.03705177563730677,22089.6,0.05908243157072102,SHREECEM.NSE
2020-06-01,20857.3,21464.7,20855.5,21069.35,20741.0338,74696.0,20776.079999999998,19894.69,19414.379999999997,20118.952182531113,19753.082592466617,365.86959006449615,212.65644622515143,153.21314383934472,19414.379999999997,21267.994433421758,17560.765566578237,3707.2288668435212,0.9464170029537742,67.72903448786629,0.01016670422346122,0.05821624540123804,0.09847762049998687,83739.8,0.892001175068486,0.03083303513048057,,Monday,June,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.707,Negative,0.382,Regulatory Changes,9.0,29.0,10,-4.07,-26.85,44.5,-1.72,covid_crash,,,-0.5429999999999999,-0.5608000000000001,0.24337764436730377,0,6,2,2020,0,0,20857.3,-0.164,20808.9,-0.832,20477.55,-0.662,,-0.216,21201.0,0.006248412979042994,21630.1,0.02661448976831271,21396.65,0.015534413733693908,21180.9,0.005294420568266345,SHREECEM.NSE
2020-06-02,21180.0,21340.0,20952.65,21201.0,20870.6324,42170.0,20882.82,20199.52,19543.18,20290.561232059932,19886.924123091016,403.63710896891644,251.20815553149347,152.42895343742296,19543.18,21519.75663448701,17566.60336551299,3953.1532689740197,0.9193664872574651,67.29492611001768,0.006248412979042994,0.02582340218606216,0.16792543258027726,81282.8,0.5188059466455388,0.021564369307276943,0.024359456098717768,Tuesday,June,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.421,Negative,0.342,Inflation Concerns,11.0,23.0,8,3.02,-12.26,61.16,-1.61,covid_crash,,,0.286,-0.5572,0.24425860612610292,1,6,2,2020,0,0,21069.35,-0.707,20857.3,-0.164,20808.9,-0.832,20667.3,-0.439,21630.1,0.020239611339087693,21396.65,0.009228338285929949,22089.6,0.041913117305787395,21009.8,-0.009018442526295911,SHREECEM.NSE
2020-06-03,21544.0,21740.0,21251.0,21630.1,21293.0459,49111.0,21113.329999999998,20528.455,19699.085,20502.003025653168,20045.152953394718,456.8500722584504,292.64226866927436,164.20780358917602,19699.085,21819.82656223465,17578.343437765347,4241.483124469305,0.9552688159620129,66.12564676208657,0.020239611339087693,0.05628358861289562,0.17934653708272563,79350.3,0.6189138541379176,0.021511223411878003,0.024339506120720975,Wednesday,June,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.787,Negative,0.717,Technical Factors,15.0,26.0,5,-3.95,-15.27,49.47,-2.24,covid_crash,,,-0.36600000000000005,-0.5822,0.26180486796255126,2,6,2,2020,0,0,21201.0,-0.421,21069.35,-0.707,20857.3,-0.164,20477.55,-0.662,21396.65,-0.010792830361394445,22089.6,0.021243544874965936,21180.9,-0.02076735660029294,21513.3,-0.0053998825710468434,SHREECEM.NSE
2020-06-04,21611.0,21869.5,21067.4,21396.65,21063.2337,43072.0,21230.879999999997,20726.954999999998,19831.8225,20642.657414848316,20165.81432083417,476.8430940141443,329.70119100415525,147.14190300998905,19831.8225,22031.175352300204,17632.469647699792,4398.705704600412,0.8557472595548775,68.72581673235243,-0.010792830361394445,0.028245125883636257,0.10225818001045761,74069.2,0.5815102633753301,0.017393145243352625,0.02467357706857413,Thursday,June,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.471,Negative,0.523,Technical Factors,10.0,21.0,5,1.21,-37.06,29.58,-1.09,covid_crash,,,0.31600000000000006,-0.51,0.24833241610568868,3,6,2,2020,0,0,21630.1,-0.787,21201.0,-0.421,21069.35,-0.707,20808.9,-0.832,22089.6,0.03238591087857201,21180.9,-0.010083354169928449,21009.8,-0.018079933073635424,21251.2,-0.006797793112473194,SHREECEM.NSE
2020-06-05,21500.0,22430.0,21500.0,22089.6,21745.3857,55227.0,21477.340000000004,21010.8,20014.682500000003,20869.378068587746,20334.99695265757,534.3811159301767,370.83140794728496,163.5497079828918,20014.682500000003,22329.254049137973,17700.110950862032,4629.143098275941,0.9482292847617455,73.720258965118,0.03238591087857201,0.05908243157072102,0.14744313976048162,71252.1,0.7750929446290004,0.0174212157979104,0.024650554545290224,Friday,June,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.524,Negative,0.654,Sector Rotation,9.0,25.0,11,2.68,16.56,42.91,-1.2,covid_crash,,,-0.05300000000000005,-0.5820000000000001,0.22648132128034068,4,6,2,2020,0,0,21396.65,-0.471,21630.1,-0.787,21201.0,-0.421,20857.3,-0.164,21180.9,-0.04113700564971734,21009.8,-0.04888273214544403,21513.3,-0.026089200347674923,22392.65,0.013719125742430949,SHREECEM.NSE
2020-06-08,22117.75,22296.5,21000.0,21180.9,20850.8456,73282.0,21499.65,21137.864999999998,20137.090000000004,20918.05187751657,20408.370253279216,509.6816242373534,398.706761312844,110.97486292450941,20137.090000000004,22424.995837131188,17849.18416286882,4575.811674262368,0.7281147202519567,75.18044237485454,-0.04113700564971734,0.005294420568266345,0.06381888725656393,68826.6,1.064733693077967,0.0230733526664755,0.027032617415948812,Monday,June,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.238,Negative,0.27,COVID-19 Impact,10.0,28.0,7,-2.82,67.59,54.29,0.75,covid_crash,,,0.28600000000000003,-0.4882000000000001,0.22325931609279429,0,6,2,2020,0,0,22089.6,-0.524,21396.65,-0.471,21630.1,-0.787,21069.35,-0.707,21009.8,-0.008078032567077065,21513.3,0.01569338413381849,21251.2,0.0033190279922004073,22117.25,0.044207281088150197,SHREECEM.NSE
2020-06-09,21535.95,21585.0,20908.8,21009.8,20682.4118,64086.0,21461.41,21172.114999999998,20241.835,20932.352773363764,20459.885566036017,472.467207327747,413.50357112941253,58.963636198334484,20241.835,22485.53407755732,17998.135922442678,4487.398155114643,0.6711381458595757,72.25673568432553,-0.008078032567077065,-0.009018442526295911,0.01657207279131767,63697.0,1.0061070380080694,0.020528342372457792,0.027213616796986216,Tuesday,June,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.812,Negative,0.656,Corporate Governance,13.0,33.0,5,-4.71,-41.9,31.98,-1.18,covid_crash,,,-0.5740000000000001,-0.5664,0.23805592246827684,1,6,2,2020,0,0,21180.9,-0.238,22089.6,-0.524,21396.65,-0.471,21201.0,-0.421,21513.3,0.0239650068063475,21251.2,0.011489876153033318,22392.65,0.06581928433397755,22111.3,0.052427914592237945,SHREECEM.NSE
2020-06-10,21171.05,21611.05,21149.85,21513.3,21178.0659,49867.0,21438.05,21275.69,20361.14,21022.72274289337,20549.082551687472,473.6401912058973,425.56004591202594,48.08014529387134,20361.14,22609.035847371844,18113.244152628155,4495.79169474369,0.7562752187444676,69.35702246414856,0.0239650068063475,-0.0053998825710468434,0.05057978127266205,60582.2,0.8231295661101776,0.021216273686389293,0.027499397067932398,Wednesday,June,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.054,Neutral,0.1,Lockdown Measures,9.0,21.0,8,2.68,-29.94,29.22,1.2,covid_crash,,,0.758,-0.41980000000000006,0.2830174709958537,2,6,2,2020,0,0,21009.8,-0.812,21180.9,-0.238,22089.6,-0.524,21630.1,-0.787,21251.2,-0.01218316111428741,22392.65,0.04087471471136461,22117.25,0.028073331381052613,21635.4,0.005675558840345429,SHREECEM.NSE
2020-06-11,21648.0,21648.0,21204.5,21251.2,20920.0501,49993.0,21408.96,21319.92,20435.5375,21058.20313251286,20607.910180949362,450.2929515634969,430.5162136649807,19.776737898516217,20435.5375,22698.556180732023,18172.518819267974,4526.037361464048,0.6802155914453516,68.08281723249404,-0.01218316111428741,-0.006797793112473194,0.02125532824897025,57817.6,0.8646675060881116,0.021472201895564622,0.027024248184507098,Thursday,June,Q2,SHREECEM.NSE,Shree Cement Limited,Cement,Large Cap,-0.373,Negative,0.466,Inflation Concerns,17.0,23.0,6,-1.43,41.54,25.36,-2.1,covid_crash,,,-0.319,-0.4002,0.2596247077781484,3,6,2,2020,0,0,21513.3,-0.054,21009.8,-0.812,21180.9,-0.238,21396.65,-0.471,22392.65,0.05371226095467563,22117.25,0.040752992772172814,22111.3,0.0404730085830447,21866.1,0.028934836620990723,SHREECEM.NSE
