date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,SIEMENS.NSE,Siemens Limited,Infrastructure,Mid Cap,-0.167,Negative,0.1,Merger & Acquisition,9.0,12.0,4,0.83,46.62,44.45,-0.08,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,566.79,,554.95,,546.49,,542.33,,SIEMENS.NSE
2020-05-04,577.72,577.72,555.86,566.79,550.1089,585366.0,,,,566.79,566.79,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,SIEMENS.NSE,Siemens Limited,Infrastructure,Mid Cap,-0.428,Negative,0.318,Capacity Expansion,8.0,18.0,7,-1.22,10.39,56.05,0.14,covid_crash,,,-0.261,,,0,5,2,2020,0,0,,-0.167,,,,,,,554.95,-0.0208895710933501,546.49,-0.035815734222551465,549.09,-0.03122849732705224,536.05,-0.05423525467986379,SIEMENS.NSE
2020-05-05,576.68,584.35,553.33,554.95,538.6174,405491.0,,,,560.3766666666667,560.6423076923077,-0.26564102564100267,-0.14757834757833482,-0.11806267806266785,,,,,,,-0.0208895710933501,,,,,,,Tuesday,May,Q2,SIEMENS.NSE,Siemens Limited,Infrastructure,Mid Cap,-0.41,Negative,0.251,Sector Rotation,15.0,29.0,4,-1.1,114.31,14.93,-1.68,covid_crash,,,0.018000000000000016,,,1,5,2,2020,0,0,566.79,-0.428,,-0.167,,,,,546.49,-0.01524461663212906,549.09,-0.010559509865753713,542.33,-0.022740787458329637,528.12,-0.04834669790071189,SIEMENS.NSE
2020-05-06,556.59,571.99,541.02,546.49,530.4064,608871.0,,,,554.9566974595843,555.5575209462789,-0.6008234866945941,-0.33333455213417873,-0.26748893456041534,,,,,,,-0.01524461663212906,,,,,,,Wednesday,May,Q2,SIEMENS.NSE,Siemens Limited,Infrastructure,Mid Cap,-0.577,Negative,0.503,Sector Rotation,12.0,26.0,5,-2.82,-7.14,60.21,-0.4,covid_crash,,,-0.16699999999999998,,,2,5,2,2020,0,0,554.95,-0.41,566.79,-0.428,,-0.167,,,549.09,0.0047576350893887565,542.33,-0.007612216143021766,536.05,-0.01910373474354532,543.89,-0.004757635089388645,SIEMENS.NSE
2020-05-07,546.44,558.93,543.89,549.09,532.9298,333912.0,,,,553.1048103448277,553.7494847176457,-0.6446743728180309,-0.43880197106502294,-0.20587240175300792,,,,,,,0.0047576350893887565,,,,,,,Thursday,May,Q2,SIEMENS.NSE,Siemens Limited,Infrastructure,Mid Cap,-0.205,Negative,0.186,Earnings Report,13.0,24.0,6,-1.8,15.55,33.59,-0.37,covid_crash,,,0.372,-0.3574,,3,5,2,2020,0,0,546.49,-0.577,554.95,-0.41,566.79,-0.428,,,542.33,-0.012311278661057412,536.05,-0.02374838368937715,528.12,-0.03819046058023279,544.77,-0.007867562694640284,SIEMENS.NSE
2020-05-08,553.98,558.07,539.31,542.33,526.3688,315523.0,551.9300000000001,,,550.1773328830586,551.1012591108295,-0.9239262277708349,-0.5831154696091126,-0.34081075816172224,,,,,,,-0.012311278661057412,,,,,,,Friday,May,Q2,SIEMENS.NSE,Siemens Limited,Infrastructure,Mid Cap,-0.417,Negative,0.41,Lockdown Measures,11.0,27.0,4,1.85,48.95,33.53,-2.2,covid_crash,,,-0.212,-0.4074,,4,5,2,2020,0,0,549.09,-0.205,546.49,-0.577,554.95,-0.41,,-0.167,536.05,-0.01157966551730516,528.12,-0.02620175907657707,543.89,0.002876477421495993,564.63,0.04111887596113051,SIEMENS.NSE
2020-05-11,549.82,551.07,529.57,536.05,520.2736,574333.0,545.7819999999999,,,546.7436477562542,548.0866119554665,-1.3429641992123607,-0.7890767221037045,-0.5538874771086562,,,,,,,-0.01157966551730516,-0.05423525467986379,,,,,,Monday,May,Q2,SIEMENS.NSE,Siemens Limited,Infrastructure,Mid Cap,-0.084,Neutral,0.1,Regulatory Changes,9.0,28.0,8,-1.87,70.75,46.58,0.52,covid_crash,,,0.33299999999999996,-0.3386,,0,5,2,2020,0,0,542.33,-0.417,549.09,-0.205,546.49,-0.577,566.79,-0.428,528.12,-0.01479339613841979,543.89,0.014625501352485859,544.77,0.0162671392593976,517.32,-0.03494077045051747,SIEMENS.NSE
2020-05-12,534.05,538.89,518.54,528.12,512.577,544630.0,540.416,,,542.5878459186175,544.5356535233594,-1.9478076047419108,-1.0823205963723748,-0.8654870083695361,,,,,,,-0.01479339613841979,-0.04834669790071189,,,,,,Tuesday,May,Q2,SIEMENS.NSE,Siemens Limited,Infrastructure,Mid Cap,-0.434,Negative,0.438,Corporate Governance,11.0,21.0,5,-0.83,-6.9,44.63,-1.08,covid_crash,,,-0.35,-0.34340000000000004,,1,5,2,2020,0,0,536.05,-0.084,542.33,-0.417,549.09,-0.205,554.95,-0.41,543.89,0.029860637733848394,544.77,0.031526925698704744,564.63,0.06913201545103376,531.34,0.006097099144134033,SIEMENS.NSE
2020-05-13,546.49,552.73,533.48,543.89,527.8829,540002.0,539.896,,,542.8595854051629,544.4316227425328,-1.5720373373699204,-1.2000087383594407,-0.3720285990104797,,,,,,,0.029860637733848394,-0.004757635089388645,,,,,,Wednesday,May,Q2,SIEMENS.NSE,Siemens Limited,Infrastructure,Mid Cap,-0.331,Negative,0.493,Regulatory Changes,9.0,24.0,4,-3.87,55.4,53.42,0.32,covid_crash,,,0.10299999999999998,-0.2942,,2,5,2,2020,0,0,528.12,-0.434,536.05,-0.084,542.33,-0.417,546.49,-0.577,544.77,0.001617974222728913,564.63,0.03813271065840529,517.32,-0.048851789883983754,535.12,-0.016124584015150045,SIEMENS.NSE
2020-05-14,525.67,562.1,515.94,544.77,528.737,1702543.0,539.0319999999999,,,543.2375334093588,544.481777680464,-1.2442442711052308,-1.210227365877328,-0.034016905227902905,,,,,,,0.001617974222728913,-0.007867562694640284,,,,,,Thursday,May,Q2,SIEMENS.NSE,Siemens Limited,Infrastructure,Mid Cap,-0.371,Negative,0.323,Management Commentary,9.0,19.0,6,-5.47,-47.63,50.56,0.25,covid_crash,,,-0.03999999999999998,-0.3274,0.14841847743608083,3,5,2,2020,0,0,543.89,-0.331,528.12,-0.434,536.05,-0.084,549.09,-0.205,564.63,0.03645575196872075,517.32,-0.050388237237733224,531.34,-0.024652605686803497,530.38,-0.02641481726233086,SIEMENS.NSE
