date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,SUNPHARMA.NSE,Sun Pharmaceutical Industries,Pharmaceuticals,Large Cap,0.14,Positive,0.142,Technical Factors,11.0,20.0,6,8.34,-85.24,41.29,0.2,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,465.45,,456.3,,454.4,,469.0,,SUNPHARMA.NSE
2020-05-04,464.45,474.5,458.0,465.45,442.6411,16097066.0,,,,465.45,465.45,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,SUNPHARMA.NSE,Sun Pharmaceutical Industries,Pharmaceuticals,Large Cap,0.041,Neutral,0.155,COVID-19 Impact,14.0,7.0,6,-2.6,23.12,35.63,0.5,covid_crash,,,-0.099,,,0,5,2,2020,0,0,,0.14,,,,,,,456.3,-0.01965839510151457,454.4,-0.02374046621549042,452.2,-0.028467074873778087,463.85,-0.0034375335696636977,SUNPHARMA.NSE
2020-05-05,469.8,472.5,454.0,456.3,433.9395,7850482.0,,,,460.49375,460.69903846153846,-0.2052884615384869,-0.11404914529915938,-0.09123931623932752,,,,,,,-0.01965839510151457,,,,,,,Tuesday,May,Q2,SUNPHARMA.NSE,Sun Pharmaceutical Industries,Pharmaceuticals,Large Cap,-0.183,Negative,0.137,Corporate Governance,15.0,10.0,10,-2.67,21.32,27.91,-0.87,covid_crash,,,-0.224,,,1,5,2,2020,0,0,465.45,0.041,,0.14,,,,,454.4,-0.004163927240850351,452.2,-0.008985316677624366,469.0,0.0278325662941048,463.9,0.016655708963401183,SUNPHARMA.NSE
2020-05-06,459.6,463.0,448.0,454.4,432.1326,10829910.0,,,,458.11535796766736,458.4358551010349,-0.32049713336755303,-0.19865897647473052,-0.12183815689282251,,,,,,,-0.004163927240850351,,,,,,,Wednesday,May,Q2,SUNPHARMA.NSE,Sun Pharmaceutical Industries,Pharmaceuticals,Large Cap,0.182,Positive,0.106,Global Markets,9.0,16.0,9,2.43,-39.93,20.96,1.42,covid_crash,,,0.365,,,2,5,2,2020,0,0,456.3,-0.183,465.45,0.041,,0.14,,,452.2,-0.0048415492957746276,469.0,0.03213028169014098,463.85,0.020796654929577496,452.35,-0.004511443661971759,SUNPHARMA.NSE
2020-05-07,462.0,465.7,450.2,452.2,430.0404,11216033.0,,,,456.24811063218385,456.69258251903193,-0.4444718868480777,-0.28192893256326274,-0.16254295428481497,,,,,,,-0.0048415492957746276,,,,,,,Thursday,May,Q2,SUNPHARMA.NSE,Sun Pharmaceutical Industries,Pharmaceuticals,Large Cap,-0.217,Negative,0.338,Regulatory Changes,14.0,18.0,7,2.18,13.72,37.73,-1.88,covid_crash,,,-0.399,-0.007399999999999995,,3,5,2,2020,0,0,454.4,0.182,456.3,-0.183,465.45,0.041,,,469.0,0.037151702786377694,463.85,0.025762936753648935,463.9,0.025873507297655918,455.95,0.008292790800530803,SUNPHARMA.NSE
2020-05-08,460.0,471.4,454.05,469.0,446.0171,13693803.0,459.46999999999997,,,459.71275339846454,459.54672339602934,0.16603000243520682,-0.14867127698304217,0.314701279418249,,,,,,,0.037151702786377694,,,,,,,Friday,May,Q2,SUNPHARMA.NSE,Sun Pharmaceutical Industries,Pharmaceuticals,Large Cap,-0.234,Negative,0.202,Capacity Expansion,14.0,19.0,9,-0.55,-56.42,40.41,-0.35,covid_crash,,,-0.017000000000000015,-0.08220000000000001,,4,5,2,2020,0,0,452.2,-0.217,454.4,0.182,456.3,-0.183,,0.14,463.85,-0.01098081023454156,463.9,-0.010874200426439273,452.35,-0.03550106609808101,448.6,-0.04349680170575687,SUNPHARMA.NSE
2020-05-11,473.7,475.55,461.3,463.85,441.1195,10294818.0,459.15,,,460.71832198237246,460.40863537810174,0.30968660427072336,-0.0244308069580602,0.3341174112287836,,,,,,,-0.01098081023454156,-0.0034375335696636977,,,,,,Monday,May,Q2,SUNPHARMA.NSE,Sun Pharmaceutical Industries,Pharmaceuticals,Large Cap,0.248,Positive,0.15,Technical Factors,14.0,20.0,12,-1.17,-89.02,27.44,-0.26,covid_crash,,,0.482,-0.040799999999999996,,0,5,2,2020,0,0,469.0,-0.234,452.2,-0.217,454.4,0.182,465.45,0.041,463.9,0.0001077934677158332,452.35,-0.024792497574646966,455.95,-0.01703136789910542,440.7,-0.04990837555244154,SUNPHARMA.NSE
2020-05-12,465.0,468.8,455.3,463.9,441.167,9507971.0,460.66999999999996,,,461.42830230016403,461.02955647735195,0.3987458228120886,0.08266390871156896,0.3160819141005196,,,,,,,0.0001077934677158332,0.016655708963401183,,,,,,Tuesday,May,Q2,SUNPHARMA.NSE,Sun Pharmaceutical Industries,Pharmaceuticals,Large Cap,0.06,Neutral,0.116,Inflation Concerns,10.0,15.0,7,5.54,-10.15,70.01,-0.23,covid_crash,,,-0.188,0.007799999999999996,,1,5,2,2020,0,0,463.85,0.248,469.0,-0.234,452.2,-0.217,456.3,-0.183,452.35,-0.024897607242940212,455.95,-0.017137314076309473,448.6,-0.03298124595818053,441.7,-0.04785514119422285,SUNPHARMA.NSE
2020-05-13,469.0,469.45,450.2,452.35,430.183,10010310.0,460.25999999999993,,,459.5338005349567,459.6310648639727,-0.09726432901601356,0.03942376963437046,-0.13668809865038403,,,,,,,-0.024897607242940212,-0.004511443661971759,,,,,,Wednesday,May,Q2,SUNPHARMA.NSE,Sun Pharmaceutical Industries,Pharmaceuticals,Large Cap,-0.195,Negative,0.225,Regulatory Changes,13.0,12.0,6,2.37,107.15,30.67,0.03,covid_crash,,,-0.255,-0.06760000000000001,,2,5,2,2020,0,0,463.9,0.06,463.85,0.248,469.0,-0.234,454.4,0.182,455.95,0.007958439261633643,448.6,-0.008290040897535045,440.7,-0.02575439372167576,455.75,0.007516303747098441,SUNPHARMA.NSE
2020-05-14,453.0,462.95,448.8,455.95,433.6066,11764703.0,461.01000000000005,,,458.8247972310226,459.0854502409468,-0.2606530099241695,-0.02989545513223226,-0.23075755479193724,,,,,,,0.007958439261633643,0.008292790800530803,,,,,,Thursday,May,Q2,SUNPHARMA.NSE,Sun Pharmaceutical Industries,Pharmaceuticals,Large Cap,-0.249,Negative,0.224,Merger & Acquisition,13.0,24.0,10,-0.27,27.02,51.74,0.58,covid_crash,,,-0.05399999999999999,-0.074,0.19387971643378388,3,5,2,2020,0,0,452.35,-0.195,463.9,0.06,463.85,0.248,452.2,-0.217,448.6,-0.016120188617172904,440.7,-0.033446649851957444,441.7,-0.03125342691084554,466.45,0.023028840881675672,SUNPHARMA.NSE
