date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,TATACHEM.NSE,Tata Chemicals Limited,Chemicals,Mid Cap,-0.342,Negative,0.216,Regulatory Changes,11.0,16.0,3,-1.64,50.75,41.78,0.4,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,281.1,,278.25,,290.55,,288.85,,TATACHEM.NSE
2020-05-04,279.5,288.7,272.2,281.1,281.1,2381548.0,,,,281.1,281.1,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,TATACHEM.NSE,Tata Chemicals Limited,Chemicals,Mid Cap,-0.118,Negative,0.111,Vaccine Rollout,8.0,11.0,3,-0.72,-41.14,49.95,-1.33,covid_crash,,,0.22400000000000003,,,0,5,2,2020,0,0,,-0.342,,,,,,,278.25,-0.010138740661686296,290.55,0.03361792956243326,286.05,0.017609391675560193,288.7,0.027036641764496494,TATACHEM.NSE
2020-05-05,287.4,288.0,276.35,278.25,278.25,1011351.0,,,,279.55625000000003,279.6201923076923,-0.0639423076922867,-0.035523504273492615,-0.02841880341879409,,,,,,,-0.010138740661686296,,,,,,,Tuesday,May,Q2,TATACHEM.NSE,Tata Chemicals Limited,Chemicals,Mid Cap,-0.33,Negative,0.373,Merger & Acquisition,17.0,23.0,5,-0.17,93.74,38.75,-0.58,covid_crash,,,-0.21200000000000002,,,1,5,2,2020,0,0,281.1,-0.118,,-0.342,,,,,290.55,0.04420485175202171,286.05,0.028032345013477178,288.85,0.03809523809523818,285.0,0.0242587601078168,TATACHEM.NSE
2020-05-06,281.0,295.0,281.0,290.55,290.55,5394744.0,,,,283.84711316397227,283.54716609167076,0.2999470723015065,0.10196443694576932,0.1979826353557372,,,,,,,0.04420485175202171,,,,,,,Wednesday,May,Q2,TATACHEM.NSE,Tata Chemicals Limited,Chemicals,Mid Cap,-0.419,Negative,0.306,FII/DII Activity,15.0,15.0,6,1.36,1.14,37.6,-1.97,covid_crash,,,-0.08899999999999997,,,2,5,2,2020,0,0,278.25,-0.33,281.1,-0.118,,-0.342,,,286.05,-0.01548786783686118,288.85,-0.005850972293925283,288.7,-0.006367234555154089,299.75,0.03166408535536047,TATACHEM.NSE
2020-05-07,293.0,299.0,285.0,286.05,286.05,2665427.0,,,,284.54247844827586,284.24684907965,0.2956293686258391,0.16756908859890948,0.12806028002692962,,,,,,,-0.01548786783686118,,,,,,,Thursday,May,Q2,TATACHEM.NSE,Tata Chemicals Limited,Chemicals,Mid Cap,-0.2,Negative,0.163,Sector Rotation,9.0,19.0,1,-0.18,63.72,27.96,-0.62,covid_crash,,,0.21899999999999997,-0.2818,,3,5,2,2020,0,0,290.55,-0.419,278.25,-0.33,281.1,-0.118,,,288.85,0.009788498514245791,288.7,0.00926411466526833,285.0,-0.0036706869428422273,292.7,0.023247683971333588,TATACHEM.NSE
2020-05-08,289.0,291.4,284.0,288.85,288.85,2452864.0,284.96000000000004,,,285.71281665889785,285.3143387642305,0.3984778946673373,0.2362592379529158,0.16221865671442148,,,,,,,0.009788498514245791,,,,,,,Friday,May,Q2,TATACHEM.NSE,Tata Chemicals Limited,Chemicals,Mid Cap,-0.138,Negative,0.141,Technical Factors,12.0,16.0,7,0.55,-26.76,37.19,-0.38,covid_crash,,,0.062,-0.24100000000000002,,4,5,2,2020,0,0,286.05,-0.2,290.55,-0.419,278.25,-0.33,,-0.342,288.7,-0.0005193006750909834,285.0,-0.013328717327332651,299.75,0.037735849056603765,293.2,0.015059719577635411,TATACHEM.NSE
2020-05-11,289.0,293.5,288.0,288.7,288.7,870493.0,286.48,,,286.43885936591727,285.99245970668983,0.4463996592274384,0.29321897569971805,0.15318068352772035,,,,,,,-0.0005193006750909834,0.027036641764496494,,,,,,Monday,May,Q2,TATACHEM.NSE,Tata Chemicals Limited,Chemicals,Mid Cap,-0.412,Negative,0.256,Regulatory Changes,14.0,25.0,7,-4.03,-71.99,39.35,1.04,covid_crash,,,-0.27399999999999997,-0.2998,,0,5,2,2020,0,0,288.85,-0.138,286.05,-0.2,290.55,-0.419,281.1,-0.118,285.0,-0.012816072047107663,299.75,0.0382750259785245,292.7,0.013855213023900248,276.35,-0.04277797021129193,TATACHEM.NSE
2020-05-12,289.75,292.0,279.8,285.0,285.0,1368037.0,287.83000000000004,,,286.1177829325976,285.81595589262974,0.3018270399678613,0.295397447123727,0.006429592844134302,,,,,,,-0.012816072047107663,0.0242587601078168,,,,,,Tuesday,May,Q2,TATACHEM.NSE,Tata Chemicals Limited,Chemicals,Mid Cap,-0.515,Negative,0.464,Earnings Report,13.0,27.0,5,-0.49,68.9,49.76,0.29,covid_crash,,,-0.10300000000000004,-0.3368,,1,5,2,2020,0,0,288.7,-0.412,288.85,-0.138,286.05,-0.2,278.25,-0.33,299.75,0.05175438596491233,292.7,0.027017543859649162,293.2,0.02877192982456145,280.35,-0.016315789473684172,TATACHEM.NSE
2020-05-13,298.5,306.0,291.35,299.75,299.75,4185344.0,289.66999999999996,,,288.9626165197559,288.06107566061115,0.9015408591447454,0.4410651075617672,0.46047575158297815,,,,,,,0.05175438596491233,0.03166408535536047,,,,,,Wednesday,May,Q2,TATACHEM.NSE,Tata Chemicals Limited,Chemicals,Mid Cap,-0.421,Negative,0.287,Capacity Expansion,15.0,20.0,4,-0.58,32.44,48.78,-0.64,covid_crash,,,0.09400000000000003,-0.3372,,2,5,2,2020,0,0,285.0,-0.515,288.7,-0.412,288.85,-0.138,290.55,-0.419,292.7,-0.023519599666388724,293.2,-0.02185154295246039,276.35,-0.07806505421184318,288.85,-0.036363636363636265,TATACHEM.NSE
2020-05-14,298.65,298.65,290.75,292.7,292.7,1151572.0,291.0,,,289.7020039967416,288.7486660857225,0.9533379110191049,0.5594026665588951,0.3939352444602098,,,,,,,-0.023519599666388724,0.023247683971333588,,,,,,Thursday,May,Q2,TATACHEM.NSE,Tata Chemicals Limited,Chemicals,Mid Cap,0.069,Neutral,0.1,Management Commentary,10.0,22.0,6,4.21,-23.71,49.17,-1.48,covid_crash,,,0.49,-0.2834,0.18035039968535324,3,5,2,2020,0,0,299.75,-0.421,285.0,-0.515,288.7,-0.412,286.05,-0.2,293.2,0.001708233686368299,276.35,-0.055859241544243154,280.35,-0.04219337205329676,283.4,-0.03177314656645036,TATACHEM.NSE
