date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,TATAMOTORS.NSE,Tata Motors Limited,Automobile,Large Cap,-0.566,Negative,0.567,Vaccine Rollout,11.0,30.0,7,1.57,44.36,27.74,-0.59,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,84.05,,81.0,,83.7,,81.2,,TATAMOTORS.NSE
2020-05-04,87.0,87.2,81.5,84.05,82.5646,91167307.0,,,,84.05,84.05,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,TATAMOTORS.NSE,Tata Motors Limited,Automobile,Large Cap,-0.375,Negative,0.352,Global Markets,10.0,29.0,8,0.97,-17.29,31.28,0.38,covid_crash,,,0.19099999999999995,,,0,5,2,2020,0,0,,-0.566,,,,,,,81.0,-0.03628792385484825,83.7,-0.0041641879833431705,82.55,-0.01784651992861397,85.85,0.021415823914336718,TATAMOTORS.NSE
2020-05-05,86.0,86.8,80.4,81.0,79.5685,57123018.0,,,,82.39791666666666,82.46634615384615,-0.06842948717948616,-0.038016381766381196,-0.030413105413104963,,,,,,,-0.03628792385484825,,,,,,,Tuesday,May,Q2,TATAMOTORS.NSE,Tata Motors Limited,Automobile,Large Cap,-0.13,Negative,0.1,Regulatory Changes,8.0,22.0,4,-0.67,10.89,65.63,1.08,covid_crash,,,0.245,,,1,5,2,2020,0,0,84.05,-0.375,,-0.566,,,,,83.7,0.03333333333333344,82.55,0.01913580246913571,81.2,0.0024691358024691024,86.45,0.06728395061728398,TATAMOTORS.NSE
2020-05-06,81.55,83.95,80.35,83.7,82.2208,53739428.0,,,,82.90612009237876,82.90958600295713,-0.0034659105783703126,-0.023856352590966898,0.020390442012596585,,,,,,,0.03333333333333344,,,,,,,Wednesday,May,Q2,TATAMOTORS.NSE,Tata Motors Limited,Automobile,Large Cap,-0.646,Negative,0.656,COVID-19 Impact,14.0,22.0,4,-0.5,-56.29,24.06,-1.48,covid_crash,,,-0.516,,,2,5,2,2020,0,0,81.0,-0.13,84.05,-0.375,,-0.566,,,82.55,-0.013739545997610625,81.2,-0.029868578255675016,85.85,0.025686977299880454,88.0,0.05137395459976091,TATAMOTORS.NSE
2020-05-07,82.9,84.65,82.1,82.55,81.0911,31160671.0,,,,82.79370689655173,82.80906147028747,-0.015354573735749,-0.02097634620369796,0.005621772467948961,,,,,,,-0.013739545997610625,,,,,,,Thursday,May,Q2,TATAMOTORS.NSE,Tata Motors Limited,Automobile,Large Cap,-0.444,Negative,0.429,Earnings Report,10.0,24.0,8,-2.33,43.87,30.9,1.29,covid_crash,,,0.202,-0.43220000000000003,,3,5,2,2020,0,0,83.7,-0.646,81.0,-0.13,84.05,-0.375,,,81.2,-0.016353725015142317,85.85,0.039975772259236875,86.45,0.047244094488189115,83.9,0.01635372501514243,TATAMOTORS.NSE
2020-05-08,84.5,84.95,80.55,81.2,79.765,35363226.0,82.5,,,82.36070242862986,82.4359134785946,-0.07521104996473582,-0.03710994441914235,-0.03810110554559347,,,,,,,-0.016353725015142317,,,,,,,Friday,May,Q2,TATAMOTORS.NSE,Tata Motors Limited,Automobile,Large Cap,-0.427,Negative,0.426,Vaccine Rollout,11.0,26.0,7,-3.37,-8.86,54.42,-1.87,covid_crash,,,0.017000000000000015,-0.40440000000000004,,4,5,2,2020,0,0,82.55,-0.444,83.7,-0.646,81.0,-0.13,,-0.566,85.85,0.05726600985221664,86.45,0.06465517241379315,88.0,0.08374384236453203,84.15,0.03633004926108385,TATAMOTORS.NSE
2020-05-11,81.45,90.65,81.4,85.85,84.3328,152592033.0,82.85999999999999,,,83.2087853097359,83.11972777905486,0.08905753068104616,-0.002911543891074954,0.09196907457212111,,,,,,,0.05726600985221664,0.021415823914336718,,,,,,Monday,May,Q2,TATAMOTORS.NSE,Tata Motors Limited,Automobile,Large Cap,-0.571,Negative,0.547,Inflation Concerns,8.0,28.0,6,-3.92,33.33,53.38,-0.67,covid_crash,,,-0.14399999999999996,-0.4436,,0,5,2,2020,0,0,81.2,-0.427,82.55,-0.444,83.7,-0.646,84.05,-0.375,86.45,0.006988934187536433,88.0,0.025043680838672255,83.9,-0.022714036109493185,80.9,-0.05765870704717513,TATAMOTORS.NSE
2020-05-12,85.95,87.7,83.5,86.45,84.9222,77552355.0,83.95,,,83.93205102772346,83.71199942987639,0.22005159784707473,0.05351447916748562,0.16653711867958912,,,,,,,0.006988934187536433,0.06728395061728398,,,,,,Tuesday,May,Q2,TATAMOTORS.NSE,Tata Motors Limited,Automobile,Large Cap,-0.942,Negative,0.801,Regulatory Changes,9.0,41.0,4,0.3,-60.87,51.87,-1.45,covid_crash,,,-0.371,-0.6060000000000001,,1,5,2,2020,0,0,85.85,-0.571,81.2,-0.427,82.55,-0.444,81.0,-0.13,88.0,0.017929438982070556,83.9,-0.029496818970503158,84.15,-0.026604973973395007,82.3,-0.04800462695199548,TATAMOTORS.NSE
2020-05-13,92.5,92.5,86.25,88.0,86.4448,68086246.0,84.81,,,84.78096927850828,84.4029025711983,0.3780667073099835,0.13151048279613084,0.24655622451385265,,,,,,,0.017929438982070556,0.05137395459976091,,,,,,Wednesday,May,Q2,TATAMOTORS.NSE,Tata Motors Limited,Automobile,Large Cap,-0.459,Negative,0.18,Corporate Governance,15.0,17.0,10,0.01,-15.79,32.61,-1.81,covid_crash,,,0.48299999999999993,-0.5686,,2,5,2,2020,0,0,86.45,-0.942,85.85,-0.571,81.2,-0.427,83.7,-0.646,83.9,-0.046590909090909016,84.15,-0.043749999999999956,80.9,-0.08068181818181808,83.65,-0.04943181818181808,TATAMOTORS.NSE
2020-05-14,83.95,85.3,82.55,83.9,82.4173,46341703.0,85.08,,,84.60668219890263,84.32836136995823,0.2783208289444019,0.1654244010862644,0.1128964278581375,,,,,,,-0.046590909090909016,0.01635372501514243,,,,,,Thursday,May,Q2,TATAMOTORS.NSE,Tata Motors Limited,Automobile,Large Cap,-0.26,Negative,0.296,Sector Rotation,11.0,19.0,9,0.31,-53.91,54.46,-1.5,covid_crash,,,0.199,-0.5317999999999999,0.22188785956474097,3,5,2,2020,0,0,88.0,-0.459,86.45,-0.942,85.85,-0.571,82.55,-0.444,84.15,0.0029797377830751426,80.9,-0.035756853396901045,82.3,-0.01907032181168067,83.95,0.0005959475566150729,TATAMOTORS.NSE
