date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,TATASTEEL.NSE,Tata Steel Limited,Metals,Large Cap,0.118,Positive,0.1,Corporate Governance,13.0,17.0,11,-1.01,-59.34,51.89,-0.05,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,272.7,,274.0,,278.3,,272.9,,TATASTEEL.NSE
2020-05-04,285.0,286.2,270.1,272.7,22.8871,128921580.0,,,,272.7,272.7,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,TATASTEEL.NSE,Tata Steel Limited,Metals,Large Cap,-0.76,Negative,0.62,Corporate Governance,15.0,33.0,10,-5.01,-38.64,56.27,0.48,covid_crash,,,-0.878,,,0,5,2,2020,0,0,,0.118,,,,,,,274.0,0.0047671433810048125,278.3,0.02053538687202061,276.2,0.012834616795012854,276.7,0.014668133480014722,TATASTEEL.NSE
2020-05-05,279.0,282.4,271.0,274.0,22.9962,121823550.0,,,,273.40416666666664,273.375,0.02916666666664014,0.016203703703688965,0.012962962962951175,,,,,,,0.0047671433810048125,,,,,,,Tuesday,May,Q2,TATASTEEL.NSE,Tata Steel Limited,Metals,Large Cap,-0.235,Negative,0.352,Interest Rate Policy,12.0,24.0,6,-4.46,19.02,36.48,-1.17,covid_crash,,,0.525,,,1,5,2,2020,0,0,272.7,-0.76,,0.118,,,,,278.3,0.015693430656934293,276.2,0.008029197080291928,272.9,-0.004014598540146075,275.3,0.0047445255474452,TATASTEEL.NSE
2020-05-06,274.1,280.5,272.1,278.3,23.3571,95077310.0,,,,275.31501154734406,275.1445046821094,0.17050686523464265,0.07944270433112899,0.09106416090351366,,,,,,,0.015693430656934293,,,,,,,Wednesday,May,Q2,TATASTEEL.NSE,Tata Steel Limited,Metals,Large Cap,-0.622,Negative,0.537,Technical Factors,12.0,31.0,8,0.75,-37.1,56.19,-1.59,covid_crash,,,-0.387,,,2,5,2,2020,0,0,274.0,-0.235,272.7,-0.76,,0.118,,,276.2,-0.007545813869924589,272.9,-0.019403521379806055,276.7,-0.005749191519942576,278.0,-0.0010779734099892746,TATASTEEL.NSE
2020-05-07,275.5,282.9,274.7,276.2,23.1808,89584110.0,,,,275.5943678160919,275.43957504829,0.15479276780189366,0.10496779358274304,0.04982497421915062,,,,,,,-0.007545813869924589,,,,,,,Thursday,May,Q2,TATASTEEL.NSE,Tata Steel Limited,Metals,Large Cap,-0.288,Negative,0.1,Interest Rate Policy,11.0,30.0,6,2.44,-13.46,34.31,-2.28,covid_crash,,,0.334,-0.3574,,3,5,2,2020,0,0,278.3,-0.622,274.0,-0.235,272.7,-0.76,,,272.9,-0.011947863866763275,276.7,0.001810282404055119,275.3,-0.0032585083272990145,268.8,-0.026792179580014452,TATASTEEL.NSE
2020-05-08,282.8,284.0,272.0,272.9,22.9039,98782130.0,274.82,,,274.86231771006743,274.8506371198631,0.011680590204321106,0.0772169596410421,-0.06553636943672099,,,,,,,-0.011947863866763275,,,,,,,Friday,May,Q2,TATASTEEL.NSE,Tata Steel Limited,Metals,Large Cap,-0.198,Negative,0.121,Management Commentary,13.0,9.0,7,3.1,-6.88,39.31,-1.57,covid_crash,,,0.08999999999999997,-0.4206,,4,5,2,2020,0,0,276.2,-0.288,278.3,-0.622,274.0,-0.235,,0.118,276.7,0.013924514474166427,275.3,0.008794430194210445,278.0,0.01868816416269703,273.2,0.0010993037742763612,TATASTEEL.NSE
2020-05-11,275.6,283.0,275.0,276.7,23.2228,109074080.0,275.62,,,275.308971186627,275.2210497547653,0.08792143186167323,0.08011846676997543,0.007802965091697797,,,,,,,0.013924514474166427,0.014668133480014722,,,,,,Monday,May,Q2,TATASTEEL.NSE,Tata Steel Limited,Metals,Large Cap,-0.297,Negative,0.233,Technical Factors,11.0,22.0,5,1.22,9.17,39.51,-0.67,covid_crash,,,-0.09899999999999998,-0.328,,0,5,2,2020,0,0,272.9,-0.198,276.2,-0.288,278.3,-0.622,272.7,-0.76,275.3,-0.005059631369714435,278.0,0.004698229129020737,268.8,-0.028550777014817452,267.0,-0.035056017347307566,TATASTEEL.NSE
2020-05-12,273.3,276.8,264.5,275.3,23.1053,150403340.0,275.88,,,275.306969297719,275.23509064661306,0.07187865110591929,0.07803318924368208,-0.006154538137762788,,,,,,,-0.005059631369714435,0.0047445255474452,,,,,,Tuesday,May,Q2,TATASTEEL.NSE,Tata Steel Limited,Metals,Large Cap,0.141,Positive,0.208,Technical Factors,16.0,20.0,9,1.28,-18.25,51.65,-1.94,covid_crash,,,0.43799999999999994,-0.2528,,1,5,2,2020,0,0,276.7,-0.297,272.9,-0.198,276.2,-0.288,274.0,-0.235,278.0,0.00980748274609522,268.8,-0.02361060661096981,273.2,-0.007628042135851887,272.1,-0.011623683254631256,TATASTEEL.NSE
2020-05-13,287.5,288.0,273.5,278.0,23.3319,147237480.0,275.82,,,275.86896329731695,275.68058605326837,0.18837724404858136,0.10455094063370989,0.08382630341487148,,,,,,,0.00980748274609522,-0.0010779734099892746,,,,,,Wednesday,May,Q2,TATASTEEL.NSE,Tata Steel Limited,Metals,Large Cap,-0.572,Negative,0.543,Inflation Concerns,17.0,23.0,12,0.67,10.8,41.72,-2.68,covid_crash,,,-0.713,-0.2428,,2,5,2,2020,0,0,275.3,0.141,276.7,-0.297,272.9,-0.198,278.3,-0.622,268.8,-0.03309352517985609,273.2,-0.01726618705035976,267.0,-0.03956834532374098,283.8,0.020863309352518122,TATASTEEL.NSE
2020-05-14,272.0,275.2,267.3,268.8,22.5598,107969590.0,274.34,,,274.4704707516801,274.6607321511016,-0.19026139942150166,0.03644782750939507,-0.22670922693089673,,,,,,,-0.03309352517985609,-0.026792179580014452,,,,,,Thursday,May,Q2,TATASTEEL.NSE,Tata Steel Limited,Metals,Large Cap,-0.367,Negative,0.3,Sector Rotation,7.0,27.0,12,-4.48,-13.11,52.98,-1.17,covid_crash,,,0.20499999999999996,-0.2586,0.2938450082762831,3,5,2,2020,0,0,278.0,-0.572,275.3,0.141,276.7,-0.297,276.2,-0.288,273.2,0.01636904761904745,267.0,-0.006696428571428603,272.1,0.01227678571428581,283.6,0.05505952380952395,TATASTEEL.NSE
