date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,TCS.NSE,Tata Consultancy Services,IT,Large Cap,-0.499,Negative,0.248,Economic Stimulus,8.0,25.0,7,1.85,25.3,34.77,-2.09,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1930.45,,1932.75,,1903.6,,1893.4,,TCS.NSE
2020-05-04,1966.0,1966.0,1913.65,1930.45,1720.586,3729348.0,,,,1930.45,1930.45,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,TCS.NSE,Tata Consultancy Services,IT,Large Cap,-0.001,Neutral,0.1,Inflation Concerns,14.0,17.0,7,1.44,38.48,59.06,0.34,covid_crash,,,0.498,,,0,5,2,2020,0,0,,-0.499,,,,,,,1932.75,0.001191432049522101,1903.6,-0.01390867414333452,1891.65,-0.02009894066150375,1935.3,0.0025123675826879133,TCS.NSE
2020-05-05,1955.1,1977.0,1927.0,1932.75,1722.636,2905528.0,,,,1931.695833333333,1931.6442307692305,0.05160256410249531,0.028668091168052946,0.02293447293444236,,,,,,,0.001191432049522101,,,,,,,Tuesday,May,Q2,TCS.NSE,Tata Consultancy Services,IT,Large Cap,-0.125,Negative,0.313,Vaccine Rollout,10.0,25.0,10,-1.58,47.63,30.06,0.56,covid_crash,,,-0.124,,,1,5,2,2020,0,0,1930.45,-0.001,,-0.499,,,,,1903.6,-0.015082136851636285,1891.65,-0.021265036864571152,1893.4,-0.020359591255982412,1949.5,0.008666407967921286,TCS.NSE
2020-05-06,1939.8,1953.7,1893.6,1903.6,1696.655,3517431.0,,,,1920.7300230946878,1921.5682109413503,-0.8381878466625494,-0.32660073581170207,-0.5115871108508474,,,,,,,-0.015082136851636285,,,,,,,Wednesday,May,Q2,TCS.NSE,Tata Consultancy Services,IT,Large Cap,0.091,Neutral,0.131,Corporate Governance,15.0,13.0,6,1.82,13.52,47.08,-0.72,covid_crash,,,0.216,,,2,5,2,2020,0,0,1932.75,-0.125,1930.45,-0.001,,-0.499,,,1891.65,-0.006277579323387128,1893.4,-0.005358268543811606,1935.3,0.01665265812145411,1949.65,0.024191006513973656,TCS.NSE
2020-05-07,1910.0,1934.45,1883.35,1891.65,1686.0041,3166754.0,,,,1911.5505962643676,1913.204386575389,-1.6537903110213392,-0.7761907003136116,-0.8775996107077276,,,,,,,-0.006277579323387128,,,,,,,Thursday,May,Q2,TCS.NSE,Tata Consultancy Services,IT,Large Cap,-0.489,Negative,0.332,Regulatory Changes,9.0,21.0,12,-0.97,55.98,41.65,0.77,covid_crash,,,-0.58,-0.20460000000000003,,3,5,2,2020,0,0,1903.6,0.091,1932.75,-0.125,1930.45,-0.001,,,1893.4,0.0009251182829803639,1935.3,0.023075093172626904,1949.5,0.030581767240239977,1902.35,0.005656437501651901,TCS.NSE
2020-05-08,1939.1,1939.5,1886.25,1893.4,1687.5638,2686530.0,1910.3700000000001,,,1906.6191441291464,1908.6116676434049,-1.992523514258437,-1.1380222132672126,-0.8545013009912243,,,,,,,0.0009251182829803639,,,,,,,Friday,May,Q2,TCS.NSE,Tata Consultancy Services,IT,Large Cap,-0.078,Neutral,0.136,Lockdown Measures,10.0,16.0,8,-1.48,-59.95,48.04,0.46,covid_crash,,,0.411,-0.1204,,4,5,2,2020,0,0,1891.65,-0.489,1903.6,0.091,1932.75,-0.125,,-0.499,1935.3,0.02212950248230694,1949.5,0.02962923840709819,1949.65,0.02970846096968427,1892.9,-0.0002640752086193743,TCS.NSE
2020-05-11,1909.0,1951.4,1909.0,1935.3,1724.9088,2449841.0,1911.3400000000001,,,1913.590100999984,1913.957127755928,-0.3670267559439253,-0.9290395778144177,0.5620128218704924,,,,,,,0.02212950248230694,0.0025123675826879133,,,,,,Monday,May,Q2,TCS.NSE,Tata Consultancy Services,IT,Large Cap,0.029,Neutral,0.178,Lockdown Measures,15.0,15.0,6,-1.95,34.13,45.73,0.03,covid_crash,,,0.107,-0.11440000000000002,,0,5,2,2020,0,0,1893.4,-0.078,1891.65,-0.489,1903.6,0.091,1930.45,-0.001,1949.5,0.007337363716219736,1949.65,0.007414871079419294,1902.35,-0.01702578411615774,1945.6,0.005322172273032555,TCS.NSE
2020-05-12,1933.4,1956.5,1910.25,1949.5,1737.5651,3256595.0,1914.69,,,1921.6032693226878,1920.2782433351706,1.325025987517165,-0.35859571622639724,1.6836217037435623,,,,,,,0.007337363716219736,0.008666407967921286,,,,,,Tuesday,May,Q2,TCS.NSE,Tata Consultancy Services,IT,Large Cap,0.204,Positive,0.177,Inflation Concerns,15.0,18.0,7,5.19,62.3,56.56,0.12,covid_crash,,,0.175,-0.048600000000000004,,1,5,2,2020,0,0,1935.3,0.029,1893.4,-0.078,1891.65,-0.489,1932.75,-0.125,1949.65,7.694280584780167e-05,1902.35,-0.024185688638112435,1892.9,-0.029033085406514392,1948.65,-0.0004360092331366916,TCS.NSE
2020-05-13,1994.0,1994.0,1925.65,1949.65,1737.6987,2656665.0,1923.9,,,1927.4561897278058,1925.0107611168294,2.445428610976478,0.31526405928961404,2.130164551686864,,,,,,,7.694280584780167e-05,0.024191006513973656,,,,,,Wednesday,May,Q2,TCS.NSE,Tata Consultancy Services,IT,Large Cap,-0.536,Negative,0.503,Management Commentary,15.0,23.0,6,1.38,-61.13,30.11,-0.8,covid_crash,,,-0.74,-0.17400000000000002,,2,5,2,2020,0,0,1949.5,0.204,1935.3,0.029,1893.4,-0.078,1903.6,0.091,1902.35,-0.024260764752648045,1892.9,-0.02910778857743701,1945.6,-0.0020772959249096834,1953.6,0.0020260046675042442,TCS.NSE
2020-05-14,1910.0,1923.1,1891.1,1902.35,1695.5408,2263146.0,1926.0400000000002,,,1922.4892917956852,1921.6519388490533,0.8373529466318814,0.43586918236200406,0.40148376426987736,,,,,,,-0.024260764752648045,0.005656437501651901,,,,,,Thursday,May,Q2,TCS.NSE,Tata Consultancy Services,IT,Large Cap,-0.01,Neutral,0.184,Technical Factors,14.0,16.0,7,-0.14,-39.5,49.3,0.29,covid_crash,,,0.526,-0.07820000000000002,0.26833362318824927,3,5,2,2020,0,0,1949.65,-0.536,1949.5,0.204,1935.3,0.029,1891.65,-0.489,1892.9,-0.004967540147711946,1945.6,0.022735038242174044,1948.65,0.02433831839566869,1991.2,0.046705390700975125,TCS.NSE
