date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,TECHM.NSE,Tech Mahindra Limited,IT,Large Cap,-0.451,Negative,0.48,Economic Stimulus,12.0,23.0,5,-0.41,-89.32,62.07,-1.76,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,502.45,,499.95,,506.85,,536.2,,TECHM.NSE
2020-05-04,515.0,519.75,498.0,502.45,422.2157,14814506.0,,,,502.45,502.45,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,TECHM.NSE,Tech Mahindra Limited,IT,Large Cap,0.14,Positive,0.197,Inflation Concerns,12.0,15.0,6,0.18,34.28,44.89,1.08,covid_crash,,,0.591,,,0,5,2,2020,0,0,,-0.451,,,,,,,499.95,-0.0049756194646233265,506.85,0.008757090257737188,516.35,0.02766444422330583,530.2,0.05522937605731926,TECHM.NSE
2020-05-05,506.0,514.0,498.2,499.95,420.1149,5717678.0,,,,501.09583333333325,501.151923076923,-0.05608974358978003,-0.031160968660988903,-0.024928774928791125,,,,,,,-0.0049756194646233265,,,,,,,Tuesday,May,Q2,TECHM.NSE,Tech Mahindra Limited,IT,Large Cap,-0.066,Neutral,0.166,Lockdown Measures,19.0,18.0,6,-3.23,80.48,40.26,0.98,covid_crash,,,-0.20600000000000002,,,1,5,2,2020,0,0,502.45,0.14,,-0.451,,,,,506.85,0.013801380138013908,516.35,0.032803280328032924,536.2,0.07250725072507258,533.25,0.06660666066606669,TECHM.NSE
2020-05-06,503.75,509.1,490.0,506.85,425.9131,3781531.0,,,,503.34168591224017,503.1991867915229,0.14249912071727522,0.04001119911698819,0.10248792160028702,,,,,,,0.013801380138013908,,,,,,,Wednesday,May,Q2,TECHM.NSE,Tech Mahindra Limited,IT,Large Cap,-0.57,Negative,0.347,Regulatory Changes,12.0,28.0,10,0.02,38.62,39.73,-1.06,covid_crash,,,-0.504,,,2,5,2,2020,0,0,499.95,-0.066,502.45,0.14,,-0.451,,,516.35,0.018743217914570343,536.2,0.05790667850448861,530.2,0.0460688566637073,544.75,0.07477557462760176,TECHM.NSE
2020-05-07,508.0,525.85,506.35,516.35,433.896,6799899.0,,,,507.4479022988506,506.8755794796046,0.5723228192459828,0.22033356365933052,0.3519892555866523,,,,,,,0.018743217914570343,,,,,,,Thursday,May,Q2,TECHM.NSE,Tech Mahindra Limited,IT,Large Cap,-0.007,Neutral,0.178,Technical Factors,18.0,11.0,9,2.92,2.97,28.07,-0.16,covid_crash,,,0.563,-0.1908,,3,5,2,2020,0,0,506.85,-0.57,499.95,-0.066,502.45,0.14,,,536.2,0.03844291662631938,530.2,0.026822891449598263,533.25,0.032729737581097984,515.7,-0.0012588360608114524,TECHM.NSE
2020-05-08,526.9,538.6,519.2,536.2,450.5763,6016020.0,512.36,,,515.2597444849268,513.6760335497577,1.5837109351691652,0.6259075080637315,0.9578034271054336,,,,,,,0.03844291662631938,,,,,,,Friday,May,Q2,TECHM.NSE,Tech Mahindra Limited,IT,Large Cap,-0.617,Negative,0.569,Lockdown Measures,12.0,28.0,10,-1.86,7.05,43.52,-0.22,covid_crash,,,-0.61,-0.22399999999999998,,4,5,2,2020,0,0,516.35,-0.007,506.85,-0.57,499.95,-0.066,,-0.451,530.2,-0.01118985453189103,533.25,-0.005501678478179839,544.75,0.015945542707944682,510.55,-0.04783662812383449,TECHM.NSE
2020-05-11,541.5,543.8,527.2,530.2,445.5344,4272574.0,517.9100000000001,,,518.8910125790115,516.9856522393127,1.9053603396988592,0.9727103616381763,0.932649978060683,,,,,,,-0.01118985453189103,0.05522937605731926,,,,,,Monday,May,Q2,TECHM.NSE,Tech Mahindra Limited,IT,Large Cap,-0.313,Negative,0.487,Earnings Report,12.0,20.0,8,0.15,22.05,58.9,0.06,covid_crash,,,0.304,-0.3146,,0,5,2,2020,0,0,536.2,-0.617,516.35,-0.007,506.85,-0.57,502.45,0.14,533.25,0.0057525462089775825,544.75,0.027442474537910044,515.7,-0.027348170501697466,504.05,-0.04932101093926822,TECHM.NSE
2020-05-12,525.0,539.5,525.0,533.25,448.0974,5691969.0,524.5699999999999,,,522.0951703837417,519.8781821764071,2.216988207334566,1.2876038900715687,0.9293843172629974,,,,,,,0.0057525462089775825,0.06660666066606669,,,,,,Tuesday,May,Q2,TECHM.NSE,Tech Mahindra Limited,IT,Large Cap,0.09,Neutral,0.192,Inflation Concerns,14.0,20.0,9,-0.4,-6.33,36.49,1.05,covid_crash,,,0.403,-0.2834,,1,5,2,2020,0,0,530.2,-0.313,536.2,-0.617,516.35,-0.007,499.95,-0.066,544.75,0.021565869667135473,515.7,-0.032911392405063244,510.55,-0.04256915142991091,512.6,-0.038724800750117194,TECHM.NSE
2020-05-13,542.0,549.75,531.4,544.75,457.761,3296409.0,532.15,,,526.8228841433613,523.8856483097923,2.937235833569048,1.6840414674295863,1.2531943661394616,,,,,,,0.021565869667135473,0.07477557462760176,,,,,,Wednesday,May,Q2,TECHM.NSE,Tech Mahindra Limited,IT,Large Cap,-0.392,Negative,0.457,Lockdown Measures,11.0,24.0,8,-0.88,-54.18,42.65,-0.16,covid_crash,,,-0.482,-0.24779999999999996,,2,5,2,2020,0,0,533.25,0.09,530.2,-0.313,536.2,-0.617,506.85,-0.57,515.7,-0.05332721431849463,510.55,-0.06278109224414863,504.05,-0.0747131711794401,519.2,-0.04690224873795312,TECHM.NSE
2020-05-14,532.4,535.0,513.95,515.7,433.3498,6148398.0,532.0200000000001,,,524.6223817632773,522.6723555312592,1.9500262320181037,1.7454852676067554,0.20454096441134828,,,,,,,-0.05332721431849463,-0.0012588360608114524,,,,,,Thursday,May,Q2,TECHM.NSE,Tech Mahindra Limited,IT,Large Cap,-0.057,Neutral,0.1,Lockdown Measures,6.0,15.0,5,0.34,43.72,42.26,-0.86,covid_crash,,,0.335,-0.25780000000000003,0.27746313068386025,3,5,2,2020,0,0,544.75,-0.392,533.25,0.09,530.2,-0.313,516.35,-0.007,510.55,-0.009986426216792799,504.05,-0.02259065348070588,512.6,-0.006011246848943275,520.05,0.008435136707387825,TECHM.NSE
