date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,TITAN.NSE,Titan Company Limited,Consumer Goods,Large Cap,-0.319,Negative,0.384,Vaccine Rollout,12.0,19.0,7,0.19,-10.57,26.71,-0.16,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,891.85,,886.95,,876.45,,832.85,,TITAN.NSE
2020-05-04,928.5,929.0,886.0,891.85,877.4941,4201101.0,,,,891.85,891.85,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,TITAN.NSE,Titan Company Limited,Consumer Goods,Large Cap,0.138,Positive,0.103,Vaccine Rollout,12.0,14.0,5,-0.68,48.9,48.13,-1.61,covid_crash,,,0.457,,,0,5,2,2020,0,0,,-0.319,,,,,,,886.95,-0.0054941974547289,876.45,-0.017267477714862367,849.1,-0.04793406963054325,829.6,-0.06979873297079109,TITAN.NSE
2020-05-05,905.0,908.85,877.0,886.95,872.6729,5214901.0,,,,889.1958333333333,889.3057692307693,-0.10993589743600296,-0.0610754985755572,-0.04886039886044576,,,,,,,-0.0054941974547289,,,,,,,Tuesday,May,Q2,TITAN.NSE,Titan Company Limited,Consumer Goods,Large Cap,-0.438,Negative,0.428,Earnings Report,8.0,32.0,6,-4.24,-28.14,49.26,-0.66,covid_crash,,,-0.5760000000000001,,,1,5,2,2020,0,0,891.85,0.138,,-0.319,,,,,876.45,-0.011838322340605445,849.1,-0.042674333389706276,832.85,-0.06099554653588146,846.45,-0.045662100456621,TITAN.NSE
2020-05-06,887.0,891.95,861.25,876.45,862.342,3713850.0,,,,884.2211316397229,884.6868161655989,-0.46568452587598586,-0.22689887041999512,-0.23878565545599073,,,,,,,-0.011838322340605445,,,,,,,Wednesday,May,Q2,TITAN.NSE,Titan Company Limited,Consumer Goods,Large Cap,-0.531,Negative,0.254,Merger & Acquisition,9.0,29.0,8,-2.25,-7.0,43.27,-0.34,covid_crash,,,-0.09300000000000003,,,2,5,2,2020,0,0,886.95,-0.438,891.85,0.138,,-0.319,,,849.1,-0.031205431000057127,832.85,-0.04974613497632496,829.6,-0.053454275771578574,860.45,-0.018255462376633003,TITAN.NSE
2020-05-07,878.5,878.5,846.4,849.1,835.4322,4744629.0,,,,873.1347629310345,874.7382974946029,-1.6035345635683598,-0.6932388748740481,-0.9102956886943117,,,,,,,-0.031205431000057127,,,,,,,Thursday,May,Q2,TITAN.NSE,Titan Company Limited,Consumer Goods,Large Cap,0.083,Neutral,0.283,Lockdown Measures,11.0,16.0,7,-0.78,-53.85,41.39,1.84,covid_crash,,,0.614,-0.21339999999999998,,3,5,2,2020,0,0,876.45,-0.531,886.95,-0.438,891.85,0.138,,,832.85,-0.019137910729007168,829.6,-0.022965492874808646,846.45,-0.0031209515958072753,846.0,-0.003650924508302955,TITAN.NSE
2020-05-08,857.0,862.5,830.3,832.85,819.4438,4751910.0,867.4399999999999,,,862.1895368194747,865.0242285331778,-2.834691713703137,-1.3302726798565232,-1.5044190338466137,,,,,,,-0.019137910729007168,,,,,,,Friday,May,Q2,TITAN.NSE,Titan Company Limited,Consumer Goods,Large Cap,-0.025,Neutral,0.201,Lockdown Measures,9.0,17.0,9,2.2,-9.71,60.2,1.83,covid_crash,,,-0.10800000000000001,-0.15460000000000002,,4,5,2,2020,0,0,849.1,0.083,876.45,-0.531,886.95,-0.438,,-0.319,829.6,-0.0039022633127213657,846.45,0.016329471093234016,860.45,0.03313922074803388,845.6,0.015308879149906973,TITAN.NSE
2020-05-11,848.45,851.4,824.0,829.6,816.2461,3704305.0,854.9900000000001,,,854.2685648431811,857.9290380914936,-3.660473248312428,-1.9618865905534353,-1.6985866577589928,,,,,,,-0.0039022633127213657,-0.06979873297079109,,,,,,Monday,May,Q2,TITAN.NSE,Titan Company Limited,Consumer Goods,Large Cap,-0.133,Negative,0.136,Earnings Report,6.0,18.0,8,0.77,-54.77,32.91,-0.43,covid_crash,,,-0.10800000000000001,-0.2088,,0,5,2,2020,0,0,832.85,-0.025,849.1,0.083,876.45,-0.531,891.85,0.138,846.45,0.020310993249758935,860.45,0.037186595949855406,846.0,0.019768563162970043,817.3,-0.014826422372227643,TITAN.NSE
2020-05-12,827.0,851.0,822.25,846.45,832.8249,5287477.0,846.89,,,852.5238794534963,855.8875506726775,-3.363671219181242,-2.316640883848158,-1.0470303353330843,,,,,,,0.020310993249758935,-0.045662100456621,,,,,,Tuesday,May,Q2,TITAN.NSE,Titan Company Limited,Consumer Goods,Large Cap,-0.489,Negative,0.352,Earnings Report,13.0,23.0,6,0.5,81.37,62.11,-2.01,covid_crash,,,-0.356,-0.219,,1,5,2,2020,0,0,829.6,-0.133,832.85,-0.025,849.1,0.083,886.95,-0.438,860.45,0.01653966566247278,846.0,-0.0005316321105794941,845.6,-0.0010041939866501925,826.8,-0.023214602161970688,TITAN.NSE
2020-05-13,874.95,883.95,856.0,860.45,846.5995,3599358.0,843.6900000000002,,,854.1779386454143,856.6226743091648,-2.444735663750521,-2.3474244682815657,-0.09731119546895517,,,,,,,0.01653966566247278,-0.018255462376633003,,,,,,Wednesday,May,Q2,TITAN.NSE,Titan Company Limited,Consumer Goods,Large Cap,-0.663,Negative,0.547,Economic Stimulus,13.0,25.0,6,2.75,27.23,43.63,-0.55,covid_crash,,,-0.17400000000000004,-0.24539999999999998,,2,5,2,2020,0,0,846.45,-0.489,829.6,-0.133,832.85,-0.025,876.45,-0.531,846.0,-0.016793538264861407,845.6,-0.0172584112964147,817.3,-0.05014817827880769,848.7,-0.013655645301876906,TITAN.NSE
2020-05-14,855.0,856.0,841.25,846.0,832.3821,2161536.0,843.07,,,852.5600513041929,855.0481607776464,-2.4881094734535054,-2.3799234024181932,-0.10818607103531219,,,,,,,-0.016793538264861407,-0.003650924508302955,,,,,,Thursday,May,Q2,TITAN.NSE,Titan Company Limited,Consumer Goods,Large Cap,-0.164,Negative,0.15,Regulatory Changes,12.0,21.0,4,0.36,8.63,37.09,0.58,covid_crash,,,0.499,-0.2948,0.2748193143786578,3,5,2,2020,0,0,860.45,-0.663,846.45,-0.489,829.6,-0.133,849.1,0.083,845.6,-0.00047281323877068626,817.3,-0.03392434988179671,826.8,-0.02269503546099294,849.85,0.004550827423167814,TITAN.NSE
