date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,TRENT.NSE,Trent Limited,Retail,Mid Cap,-0.302,Negative,0.313,Capacity Expansion,13.0,25.0,7,0.78,-43.35,51.92,-0.98,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,477.55,,475.8,,470.5,,459.8,,TRENT.NSE
2020-05-04,490.05,494.95,471.0,477.55,474.21,269628.0,,,,477.55,477.55,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,TRENT.NSE,Trent Limited,Retail,Mid Cap,-0.362,Negative,0.335,COVID-19 Impact,11.0,21.0,2,0.04,-18.5,43.89,-0.85,covid_crash,,,-0.06,,,0,5,2,2020,0,0,,-0.302,,,,,,,475.8,-0.0036645377447387384,470.5,-0.014762852057376263,465.4,-0.025442362056329215,450.55,-0.05653858234739817,TRENT.NSE
2020-05-05,482.0,487.3,474.55,475.8,472.48,327052.0,,,,476.6020833333333,476.64134615384614,-0.0392628205128176,-0.021812678062676442,-0.017450142450141155,,,,,,,-0.0036645377447387384,,,,,,,Tuesday,May,Q2,TRENT.NSE,Trent Limited,Retail,Mid Cap,-0.796,Negative,0.735,Interest Rate Policy,11.0,25.0,4,-1.65,-1.7,40.55,-1.48,covid_crash,,,-0.43400000000000005,,,1,5,2,2020,0,0,477.55,-0.362,,-0.302,,,,,470.5,-0.011139134089953817,465.4,-0.021857923497267784,459.8,-0.033627574611181155,448.7,-0.05695670449768819,TRENT.NSE
2020-05-06,479.7,486.95,451.55,470.5,467.21,751468.0,,,,474.2204387990762,474.43482010842774,-0.21438130935155186,-0.1007342482630352,-0.11364706108851666,,,,,,,-0.011139134089953817,,,,,,,Wednesday,May,Q2,TRENT.NSE,Trent Limited,Retail,Mid Cap,-0.269,Negative,0.165,Global Markets,10.0,16.0,4,-1.89,-35.49,50.3,-1.43,covid_crash,,,0.527,,,2,5,2,2020,0,0,475.8,-0.796,477.55,-0.362,,-0.302,,,465.4,-0.01083953241232738,459.8,-0.022741764080765114,450.55,-0.04240170031880974,450.8,-0.04187035069075451,TRENT.NSE
2020-05-07,470.4,475.25,463.95,465.4,462.15,214394.0,,,,471.43617097701144,471.9090792239517,-0.47290824694027833,-0.22680945106697933,-0.246098795873299,,,,,,,-0.01083953241232738,,,,,,,Thursday,May,Q2,TRENT.NSE,Trent Limited,Retail,Mid Cap,-0.342,Negative,0.161,Merger & Acquisition,10.0,17.0,7,-2.88,31.54,34.79,0.04,covid_crash,,,-0.07300000000000001,-0.4142,,3,5,2,2020,0,0,470.5,-0.269,475.8,-0.796,477.55,-0.362,,,459.8,-0.012032660077352708,450.55,-0.03190803609798021,448.7,-0.03588311130210564,450.15,-0.03276751181779114,TRENT.NSE
2020-05-08,474.0,474.0,456.1,459.8,456.59,243041.0,469.81000000000006,,,468.27466490996085,469.10093380682224,-0.8262688968613929,-0.4051350834427568,-0.42113381341863615,,,,,,,-0.012032660077352708,,,,,,,Friday,May,Q2,TRENT.NSE,Trent Limited,Retail,Mid Cap,-0.808,Negative,0.397,Sector Rotation,10.0,33.0,4,-0.53,47.33,27.26,-1.75,covid_crash,,,-0.466,-0.5154,,4,5,2,2020,0,0,465.4,-0.342,470.5,-0.269,475.8,-0.796,,-0.302,450.55,-0.02011744236624624,448.7,-0.024140930839495534,450.8,-0.01957372770769905,441.4,-0.04001739886907363,TRENT.NSE
2020-05-11,462.7,466.55,449.0,450.55,447.4,209138.0,464.41,,,463.96663884568443,465.385329722256,-1.4186908765715884,-0.6798650559926397,-0.7388258205789487,,,,,,,-0.02011744236624624,-0.05653858234739817,,,,,,Monday,May,Q2,TRENT.NSE,Trent Limited,Retail,Mid Cap,-0.548,Negative,0.397,Regulatory Changes,14.0,26.0,4,-7.28,-26.18,52.88,-1.16,covid_crash,,,0.26,-0.5526,,0,5,2,2020,0,0,459.8,-0.808,465.4,-0.342,470.5,-0.269,477.55,-0.362,448.7,-0.00410609255354577,450.8,0.0005548773721006928,450.15,-0.0008878037953613527,414.5,-0.08001331705693049,TRENT.NSE
2020-05-12,454.4,458.0,443.7,448.7,445.57,127925.0,458.98999999999995,,,460.55994180116346,462.4179303256092,-1.857988524445716,-0.9780166763839406,-0.8799718480617753,,,,,,,-0.00410609255354577,-0.05695670449768819,,,,,,Tuesday,May,Q2,TRENT.NSE,Trent Limited,Retail,Mid Cap,-0.337,Negative,0.18,Economic Stimulus,7.0,16.0,4,0.7,11.94,50.34,-1.41,covid_crash,,,0.21100000000000002,-0.46080000000000004,,1,5,2,2020,0,0,450.55,-0.548,459.8,-0.808,465.4,-0.342,475.8,-0.796,450.8,0.004680187207488418,450.15,0.0032315578337418494,441.4,-0.0162692221974593,403.4,-0.10095832404724758,TRENT.NSE
2020-05-13,458.7,462.55,447.0,450.8,447.65,1007655.0,455.05,,,458.52319237827953,460.54599387729127,-2.0228014990117344,-1.2290981164443437,-0.7937033825673907,,,,,,,0.004680187207488418,-0.04187035069075451,,,,,,Wednesday,May,Q2,TRENT.NSE,Trent Limited,Retail,Mid Cap,-0.591,Negative,0.56,Sector Rotation,11.0,23.0,4,-0.98,-28.51,44.12,-1.41,covid_crash,,,-0.25399999999999995,-0.5252,,2,5,2,2020,0,0,448.7,-0.337,450.55,-0.548,459.8,-0.808,470.5,-0.269,450.15,-0.001441881100266218,441.4,-0.020851818988465,414.5,-0.08052351375332745,423.45,-0.060669920141969924,TRENT.NSE
2020-05-14,450.8,456.95,445.15,450.15,447.01,305826.0,452.0,,,456.86667689903646,459.0050793620777,-2.1384024630412455,-1.4391519315903536,-0.6992505314508919,,,,,,,-0.001441881100266218,-0.03276751181779114,,,,,,Thursday,May,Q2,TRENT.NSE,Trent Limited,Retail,Mid Cap,-0.994,Negative,0.758,Technical Factors,15.0,35.0,5,-0.37,-24.03,29.62,-2.43,covid_crash,,,-0.403,-0.6556,0.25561753113239755,3,5,2,2020,0,0,450.8,-0.591,448.7,-0.337,450.55,-0.548,465.4,-0.342,441.4,-0.019437965122736878,414.5,-0.07919582361435074,403.4,-0.10385427079862264,451.8,0.0036654448517161597,TRENT.NSE
