date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,ULTRACEMCO.NSE,UltraTech Cement Limited,Cement,Large Cap,-0.255,Negative,0.201,Interest Rate Policy,14.0,23.0,6,-1.86,-32.77,44.97,-2.6,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,3340.3,,3287.0,,3350.0,,3320.0,,ULTRACEMCO.NSE
2020-05-04,3431.0,3461.7,3326.05,3340.3,3260.434,519186.0,,,,3340.3,3340.3,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,ULTRACEMCO.NSE,UltraTech Cement Limited,Cement,Large Cap,-0.685,Negative,0.66,Capacity Expansion,8.0,24.0,6,0.08,21.38,51.59,-2.17,covid_crash,,,-0.43000000000000005,,,0,5,2,2020,0,0,,-0.255,,,,,,,3287.0,-0.015956650600245537,3350.0,0.0029039307846601137,3255.8,-0.025297129000389162,3360.0,0.005897673861629205,ULTRACEMCO.NSE
2020-05-05,3395.0,3395.0,3274.0,3287.0,3208.4084,387071.0,,,,3311.4291666666663,3312.625,-1.1958333333336668,-0.6643518518520372,-0.5314814814816297,,,,,,,-0.015956650600245537,,,,,,,Tuesday,May,Q2,ULTRACEMCO.NSE,UltraTech Cement Limited,Cement,Large Cap,-0.549,Negative,0.516,Economic Stimulus,16.0,16.0,9,-0.71,-7.44,53.44,-1.57,covid_crash,,,0.136,,,1,5,2,2020,0,0,3340.3,-0.685,,-0.255,,,,,3350.0,0.019166413142683192,3255.8,-0.009491937937328832,3320.0,0.01003954974140564,3345.95,0.017934286583510817,ULTRACEMCO.NSE
2020-05-06,3300.0,3389.5,3247.15,3350.0,3269.9021,374625.0,,,,3326.48337182448,3326.0534746180383,0.42989720644163754,-0.21588912304315408,0.6457863294847916,,,,,,,0.019166413142683192,,,,,,,Wednesday,May,Q2,ULTRACEMCO.NSE,UltraTech Cement Limited,Cement,Large Cap,-1.0,Negative,0.775,Management Commentary,14.0,29.0,10,-0.12,-1.32,47.34,-1.03,covid_crash,,,-0.45099999999999996,,,2,5,2,2020,0,0,3287.0,-0.549,3340.3,-0.685,,-0.255,,,3255.8,-0.028119402985074538,3320.0,-0.008955223880596996,3360.0,0.0029850746268655914,3563.95,0.06386567164179091,ULTRACEMCO.NSE
2020-05-07,3323.95,3378.0,3231.0,3255.8,3177.9544,473677.0,,,,3304.1713936781607,3306.4136731621406,-2.242279483979928,-0.9023357222764785,-1.3399437617034495,,,,,,,-0.028119402985074538,,,,,,,Thursday,May,Q2,ULTRACEMCO.NSE,UltraTech Cement Limited,Cement,Large Cap,-0.1,Negative,0.2,Technical Factors,12.0,22.0,9,1.63,12.38,50.12,-0.43,covid_crash,,,0.9,-0.5178,,3,5,2,2020,0,0,3350.0,-1.0,3287.0,-0.549,3340.3,-0.685,,,3320.0,0.019718655937096763,3360.0,0.03200442287609806,3345.95,0.027689047238773856,3590.0,0.1026475827753548,ULTRACEMCO.NSE
2020-05-08,3294.0,3325.0,3271.05,3320.0,3240.6194,421623.0,3310.62,,,3308.471969444735,3309.5643983939894,-1.092428949254554,-0.9588841596212179,-0.13354478963333616,,,,,,,0.019718655937096763,,,,,,,Friday,May,Q2,ULTRACEMCO.NSE,UltraTech Cement Limited,Cement,Large Cap,-0.369,Negative,0.335,Corporate Governance,11.0,21.0,9,1.82,-37.01,35.89,-0.35,covid_crash,,,-0.269,-0.5406000000000001,,4,5,2,2020,0,0,3255.8,-0.1,3350.0,-1.0,3287.0,-0.549,,-0.255,3360.0,0.012048192771084265,3345.95,0.007816265060240912,3563.95,0.07347891566265052,3571.5,0.07575301204819285,ULTRACEMCO.NSE
2020-05-11,3355.0,3450.0,3330.1,3360.0,3279.663,483889.0,3314.5600000000004,,,3320.9959917492783,3319.666247135746,1.3297446135325117,-0.33853851679830144,1.6682831303308132,,,,,,,0.012048192771084265,0.005897673861629205,,,,,,Monday,May,Q2,ULTRACEMCO.NSE,UltraTech Cement Limited,Cement,Large Cap,-0.212,Negative,0.258,COVID-19 Impact,14.0,15.0,9,1.45,-45.07,56.94,-0.27,covid_crash,,,0.157,-0.446,,0,5,2,2020,0,0,3320.0,-0.369,3255.8,-0.1,3350.0,-1.0,3340.3,-0.685,3345.95,-0.004181547619047654,3563.95,0.06069940476190472,3590.0,0.06845238095238093,3325.35,-0.010312500000000058,ULTRACEMCO.NSE
2020-05-12,3344.0,3405.5,3275.55,3345.95,3265.9489,557262.0,3326.35,,,3326.564391383014,3324.3406763312905,2.2237150517235023,0.3098995066893838,1.9138155450341183,,,,,,,-0.004181547619047654,0.017934286583510817,,,,,,Tuesday,May,Q2,ULTRACEMCO.NSE,UltraTech Cement Limited,Cement,Large Cap,-0.614,Negative,0.399,FII/DII Activity,12.0,31.0,8,-3.41,-15.24,63.6,-1.88,covid_crash,,,-0.402,-0.45899999999999996,,1,5,2,2020,0,0,3360.0,-0.212,3320.0,-0.369,3255.8,-0.1,3287.0,-0.549,3563.95,0.06515339440218781,3590.0,0.07293892616446751,3571.5,0.06740985370373154,3445.0,0.029602952823562845,ULTRACEMCO.NSE
2020-05-13,3450.0,3580.0,3450.0,3563.95,3478.7366,1225498.0,3369.1400000000003,,,3376.1031090517968,3362.947675492197,13.155433559599714,3.396922899925142,9.758510659674572,,,,,,,0.06515339440218781,0.06386567164179091,,,,,,Wednesday,May,Q2,ULTRACEMCO.NSE,UltraTech Cement Limited,Cement,Large Cap,-0.733,Negative,0.525,Sector Rotation,7.0,21.0,10,-3.1,-61.42,57.95,-1.58,covid_crash,,,-0.119,-0.4056,,2,5,2,2020,0,0,3345.95,-0.614,3360.0,-0.212,3320.0,-0.369,3350.0,-1.0,3590.0,0.00730930568610666,3571.5,0.002118436004994617,3325.35,-0.06694818950883152,3545.55,-0.0051628109260790644,ULTRACEMCO.NSE
2020-05-14,3512.0,3633.8,3491.0,3590.0,3504.1637,974743.0,3435.9800000000005,,,3418.41952730785,3396.6018144496365,21.817712858213326,7.652216766299938,14.165496091913388,,,,,,,0.00730930568610666,0.1026475827753548,,,,,,Thursday,May,Q2,ULTRACEMCO.NSE,UltraTech Cement Limited,Cement,Large Cap,-0.458,Negative,0.203,Corporate Governance,13.0,28.0,8,-0.84,-9.6,65.33,0.65,covid_crash,,,0.27499999999999997,-0.47719999999999996,0.27401186105714476,3,5,2,2020,0,0,3563.95,-0.733,3345.95,-0.614,3360.0,-0.212,3255.8,-0.1,3571.5,-0.005153203342618373,3325.35,-0.07371866295264629,3445.0,-0.04038997214484674,3561.0,-0.008077994428969393,ULTRACEMCO.NSE
