date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.055,Neutral,0.209,Merger & Acquisition,11.0,17.0,12,0.07,-18.58,39.09,-1.3,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,385.4,,387.05,,379.0,,364.6,,UPL.NSE
2020-05-04,394.85,419.5,381.35,385.4,365.2094,10395293.0,,,,385.4,385.4,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.351,Negative,0.201,Management Commentary,14.0,23.0,12,-0.4,-2.44,35.52,1.52,covid_crash,,,-0.296,,,0,5,2,2020,0,0,,-0.055,,,,,,,387.05,0.004281266216917601,379.0,-0.01660612350804358,368.4,-0.04411001556824079,368.1,-0.04488842760768019,UPL.NSE
2020-05-05,395.0,408.0,385.0,387.05,366.773,11636689.0,,,,386.29375,386.2567307692308,0.03701923076920366,0.020566239316224255,0.016452991452979404,,,,,,,0.004281266216917601,,,,,,,Tuesday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.506,Negative,0.317,Corporate Governance,13.0,23.0,8,-0.65,-26.55,44.86,-0.61,covid_crash,,,-0.15500000000000003,,,1,5,2,2020,0,0,385.4,-0.351,,-0.055,,,,,379.0,-0.020798346466864737,368.4,-0.04818498901950663,364.6,-0.05800284201007622,374.55,-0.03229556904792663,UPL.NSE
2020-05-06,392.95,392.95,373.0,379.0,359.1447,7610739.0,,,,383.44699769053113,383.64945786101526,-0.20246017048413023,-0.07083802699539643,-0.1316221434887338,,,,,,,-0.020798346466864737,,,,,,,Wednesday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.489,Negative,0.385,Sector Rotation,11.0,22.0,6,-1.42,34.19,46.96,1.18,covid_crash,,,0.017000000000000015,,,2,5,2,2020,0,0,387.05,-0.506,385.4,-0.351,,-0.055,,,368.4,-0.027968337730870818,364.6,-0.037994722955145055,368.1,-0.028759894459102875,389.65,0.028100263852242735,UPL.NSE
2020-05-07,378.0,383.9,366.3,368.4,349.1,4313383.0,,,,378.6972485632184,379.38637583797293,-0.6891272747545258,-0.28028560414957304,-0.4088416706049528,,,,,,,-0.027968337730870818,,,,,,,Thursday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.279,Negative,0.355,Economic Stimulus,13.0,20.0,3,-3.3,87.45,36.06,-0.77,covid_crash,,,0.20999999999999996,-0.33599999999999997,,3,5,2,2020,0,0,379.0,-0.489,387.05,-0.506,385.4,-0.351,,,364.6,-0.010314875135721935,368.1,-0.0008143322475568926,374.55,0.01669381107491863,391.85,0.06365363735070595,UPL.NSE
2020-05-08,373.45,375.8,363.0,364.6,345.4991,3281665.0,376.89,,,374.8670765118292,375.9573542932772,-1.0902777814479805,-0.521239964364473,-0.5690378170835075,,,,,,,-0.010314875135721935,,,,,,,Friday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.725,Negative,0.473,Earnings Report,14.0,36.0,8,-4.6,-46.6,45.98,-1.88,covid_crash,,,-0.44599999999999995,-0.47000000000000003,,4,5,2,2020,0,0,368.4,-0.279,379.0,-0.489,387.05,-0.506,,-0.055,368.1,0.009599561162918269,374.55,0.027290181020296123,389.65,0.06870543060888634,378.9,0.039221064179923104,UPL.NSE
2020-05-11,367.0,378.6,366.5,368.1,348.8157,3903903.0,373.43,,,373.2223209048823,374.38358889634344,-1.161267991461159,-0.6947231445776002,-0.4665448468835588,,,,,,,0.009599561162918269,-0.04488842760768019,,,,,,Monday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.533,Negative,0.569,Regulatory Changes,11.0,25.0,11,-1.68,79.76,50.98,-1.4,covid_crash,,,0.19199999999999995,-0.5064,,0,5,2,2020,0,0,364.6,-0.725,368.4,-0.279,379.0,-0.489,385.4,-0.351,374.55,0.017522412387938058,389.65,0.058543873947296765,391.85,0.06452051073077958,375.8,0.020918228742189626,UPL.NSE
2020-05-12,368.5,382.45,363.9,374.55,354.9278,9371378.0,370.93,,,373.5185878497631,374.4131842484765,-0.8945963987134178,-0.7453057330661597,-0.14929066564725813,,,,,,,0.017522412387938058,-0.03229556904792663,,,,,,Tuesday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,0.022,Neutral,0.1,Economic Stimulus,10.0,14.0,6,-1.85,-59.86,23.56,0.89,covid_crash,,,0.555,-0.4008,,1,5,2,2020,0,0,368.1,-0.533,364.6,-0.725,368.4,-0.279,387.05,-0.506,389.65,0.04031504472033087,391.85,0.04618875984514759,378.9,0.011613936724068852,339.65,-0.09317848084367919,UPL.NSE
2020-05-13,398.2,398.8,380.6,389.65,369.2368,7474549.0,373.06,,,376.8849649303498,376.8682128088312,0.016752121518607055,-0.5621689001083084,0.5789210216269155,,,,,,,0.04031504472033087,0.028100263852242735,,,,,,Wednesday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.374,Negative,0.385,Technical Factors,12.0,20.0,12,-2.15,2.75,43.69,-2.82,covid_crash,,,-0.396,-0.37779999999999997,,2,5,2,2020,0,0,374.55,0.022,368.1,-0.533,364.6,-0.725,379.0,-0.489,391.85,0.005646092647247691,378.9,-0.0275888617990504,375.8,-0.035544719620171916,356.55,-0.08494803028358777,UPL.NSE
2020-05-14,386.5,396.0,376.1,391.85,371.3215,7302564.0,377.75,,,379.8455815172322,379.0888425647932,0.7567389524389796,-0.25749464303428793,1.0142335954732675,,,,,,,0.005646092647247691,0.06365363735070595,,,,,,Thursday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.609,Negative,0.383,Vaccine Rollout,13.0,21.0,5,-3.34,-32.31,52.8,-0.93,covid_crash,,,-0.235,-0.4438,0.2356925728335301,3,5,2,2020,0,0,389.65,-0.374,374.55,0.022,368.1,-0.533,368.4,-0.279,378.9,-0.033048360341967675,375.8,-0.04095955084853897,339.65,-0.13321424014291194,366.8,-0.06392752328697204,UPL.NSE
2020-05-15,393.7,393.7,377.45,378.9,359.0499,3690162.0,380.61,378.75,,379.6663941872116,379.0627841287975,0.6036100584141195,-0.06455720285052617,0.6681672612646457,,,,,,,-0.033048360341967675,0.039221064179923104,,6898032.5,0.534958627695651,,,Friday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.291,Negative,0.213,Vaccine Rollout,16.0,19.0,8,0.79,77.86,67.74,-0.79,covid_crash,,,0.318,-0.357,0.2087030053555637,4,5,2,2020,0,0,391.85,-0.609,389.65,-0.374,374.55,0.022,364.6,-0.725,375.8,-0.008181578252837052,339.65,-0.10358933755608346,356.55,-0.05898653998416459,371.15,-0.020453945632092907,UPL.NSE
2020-05-18,381.4,384.7,365.4,375.8,356.1123,5496838.0,382.15,377.79,,378.95893727630045,378.63959999364096,0.3193372826594896,0.01943671703051532,0.29990056562897427,,,,,,,-0.008181578252837052,0.020918228742189626,-0.024909185262065314,6408187.0,0.8577836445784119,0.02236656242598165,,Monday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.363,Negative,0.376,Lockdown Measures,14.0,22.0,4,-4.15,-31.98,35.01,-0.58,covid_crash,,,-0.07200000000000001,-0.323,0.20833789328342978,0,5,2,2020,0,0,378.9,-0.291,391.85,-0.609,389.65,-0.374,368.1,-0.533,339.65,-0.0961947844598191,356.55,-0.05122405534858965,366.8,-0.023948908994145812,,,UPL.NSE
2020-05-19,380.65,380.65,338.25,339.65,321.8562,18772182.0,375.16999999999996,373.05,,371.9699372742952,373.84911329823865,-1.8791760239434439,-0.38830567498679064,-1.4908703489566533,,,,,,,-0.0961947844598191,-0.09317848084367919,-0.12246479782973785,7121736.3,2.635899619029702,0.03691853563268247,,Tuesday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.138,Negative,0.115,Interest Rate Policy,10.0,21.0,6,-1.42,39.16,27.15,-0.8,covid_crash,,,0.22499999999999998,-0.355,0.22244272671109447,1,5,2,2020,0,0,375.8,-0.363,378.9,-0.291,391.85,-0.609,374.55,0.022,356.55,0.049757102900044314,366.8,0.0799352274400118,371.15,0.0927425290740469,367.05,0.08067127925805995,UPL.NSE
2020-05-20,339.05,358.6,336.0,356.55,337.8708,16718256.0,368.55,370.805,,369.2924503680323,371.8225252956526,-2.530074927620319,-0.8415784604204315,-1.6884964671998877,,,,,,,0.049757102900044314,-0.08494803028358777,-0.059234828496042224,8032488.0,2.0813297200070515,0.04157166617104867,,Wednesday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.414,Negative,0.317,Economic Stimulus,7.0,21.0,6,0.75,50.01,30.55,0.43,covid_crash,,,-0.27599999999999997,-0.363,0.21952585269165906,2,5,2,2020,0,0,339.65,-0.138,375.8,-0.363,378.9,-0.291,389.65,-0.374,366.8,0.02874772121722069,371.15,0.040947973636236146,,,387.8,0.08764549151591638,UPL.NSE
2020-05-21,359.65,370.0,356.35,366.8,347.5838,10088405.0,363.54,370.64500000000004,,368.8680656498304,371.25843593304995,-2.3903702832195677,-1.1655868653279788,-1.2247834178915888,,,,,,42.88446824789596,0.02874772121722069,-0.06392752328697204,-0.004343105320303908,8609990.2,1.1717092314460475,0.0420000701696169,,Thursday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.715,Negative,0.426,Interest Rate Policy,9.0,26.0,9,-3.56,-19.99,41.46,-0.39,covid_crash,,,-0.301,-0.3842,0.24154824684844134,3,5,2,2020,0,0,356.55,-0.414,339.65,-0.138,375.8,-0.363,391.85,-0.609,371.15,0.01185932388222466,,,367.05,0.0006815703380589344,391.1,0.0662486368593238,UPL.NSE
2020-05-22,366.75,373.9,362.7,371.15,351.706,8545206.0,361.99,371.3,,369.2503287188366,371.24670582127874,-1.9963771024421249,-1.3378042741427203,-0.6585728282994046,,,,,,44.724176231025545,0.01185932388222466,-0.020453945632092907,0.01796489303346127,9136344.3,0.935298158586252,0.04195773494379594,,Friday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.516,Negative,0.396,Earnings Report,14.0,25.0,6,1.0,91.02,51.22,-0.18,covid_crash,,,0.19899999999999995,-0.42919999999999997,0.21970305717794034,4,5,2,2020,0,0,366.8,-0.715,356.55,-0.414,339.65,-0.138,378.9,-0.291,,,367.05,-0.011046746598410206,387.8,0.04486056850330056,405.85,0.09349319682069268,UPL.NSE
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,UPL.NSE,UPL Limited,Chemicals,Large Cap,-0.296,Negative,0.14,Economic Stimulus,11.0,19.0,5,-1.55,-6.05,46.38,-0.59,covid_crash,,,0.22000000000000003,-0.41579999999999995,0.2156809371888639,0,5,2,2020,0,0,371.15,-0.516,366.8,-0.715,356.55,-0.414,375.8,-0.363,367.05,,387.8,,391.1,,419.3,,UPL.NSE
