date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,VIPIND.NSE,VIP Industries Limited,Consumer Goods,Mid Cap,0.139,Positive,0.178,FII/DII Activity,13.0,22.0,3,-1.82,-66.21,57.15,-1.2,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,220.65,,216.0,,215.25,,213.1,,VIPIND.NSE
2020-05-04,216.0,225.0,216.0,220.65,217.5267,348087.0,,,,220.65,220.65,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,VIPIND.NSE,VIP Industries Limited,Consumer Goods,Mid Cap,-0.277,Negative,0.314,Interest Rate Policy,10.0,16.0,6,0.14,-56.38,45.66,-0.41,covid_crash,,,-0.41600000000000004,,,0,5,2,2020,0,0,,0.139,,,,,,,216.0,-0.021074099252209377,215.25,-0.024473147518694782,213.9,-0.030591434398368422,223.85,0.014502605937004143,VIPIND.NSE
2020-05-05,224.2,226.65,215.2,216.0,212.9425,190632.0,,,,218.13125,218.2355769230769,-0.10432692307691127,-0.05795940170939515,-0.046367521367516124,,,,,,,-0.021074099252209377,,,,,,,Tuesday,May,Q2,VIPIND.NSE,VIP Industries Limited,Consumer Goods,Mid Cap,-0.23,Negative,0.218,Merger & Acquisition,8.0,18.0,4,-3.42,58.16,43.97,-1.06,covid_crash,,,0.047000000000000014,,,1,5,2,2020,0,0,220.65,-0.277,,0.139,,,,,215.25,-0.00347222222222221,213.9,-0.009722222222222188,213.1,-0.013425925925925952,224.6,0.03981481481481475,VIPIND.NSE
2020-05-06,218.0,219.95,213.3,215.25,212.2031,206997.0,,,,217.00669745958433,217.16288812222768,-0.15619066264335402,-0.09821811520691927,-0.05797254743643475,,,,,,,-0.00347222222222221,,,,,,,Wednesday,May,Q2,VIPIND.NSE,VIP Industries Limited,Consumer Goods,Mid Cap,0.441,Positive,0.464,Vaccine Rollout,16.0,22.0,5,-1.29,43.22,36.62,0.47,covid_crash,,,0.671,,,2,5,2,2020,0,0,216.0,-0.23,220.65,-0.277,,0.139,,,213.9,-0.006271777003484247,213.1,-0.009988385598141747,223.85,0.039953542392566765,229.7,0.06713124274099869,VIPIND.NSE
2020-05-07,216.5,219.55,212.0,213.9,210.8722,205427.0,,,,216.02603448275866,216.25072719009202,-0.22469270733336089,-0.14106181172671656,-0.08363089560664433,,,,,,,-0.006271777003484247,,,,,,,Thursday,May,Q2,VIPIND.NSE,VIP Industries Limited,Consumer Goods,Mid Cap,0.307,Positive,0.4,Corporate Governance,12.0,22.0,4,-0.49,16.09,45.39,1.29,covid_crash,,,-0.134,0.07599999999999998,,3,5,2,2020,0,0,215.25,0.441,216.0,-0.23,220.65,-0.277,,,213.1,-0.003740065451145469,223.85,0.04651706404862077,224.6,0.05002337540906954,230.9,0.07947639083683966,VIPIND.NSE
2020-05-08,218.0,218.0,212.15,213.1,210.0836,121086.0,215.78000000000003,,,215.23104137137207,215.52006055922374,-0.2890191878516646,-0.18507578606183914,-0.10394340178982545,,,,,,,-0.003740065451145469,,,,,,,Friday,May,Q2,VIPIND.NSE,VIP Industries Limited,Consumer Goods,Mid Cap,-0.025,Neutral,0.178,Global Markets,16.0,19.0,3,-2.68,73.15,32.1,-0.99,covid_crash,,,-0.332,0.04319999999999999,,4,5,2,2020,0,0,213.9,0.307,215.25,0.441,216.0,-0.23,,0.139,223.85,0.05044580009385258,224.6,0.053965274519005124,229.7,0.07789770061004231,221.9,0.04129516658845622,VIPIND.NSE
2020-05-11,219.8,234.65,219.75,223.85,220.6814,3218639.0,216.42,,,217.32590175985715,217.1884809919976,0.13742076785953827,-0.09766128948760856,0.23508205734714682,,,,,,,0.05044580009385258,0.014502605937004143,,,,,,Monday,May,Q2,VIPIND.NSE,VIP Industries Limited,Consumer Goods,Mid Cap,-0.291,Negative,0.236,Management Commentary,14.0,20.0,6,0.33,-107.02,60.05,-1.68,covid_crash,,,-0.26599999999999996,0.040400000000000005,,0,5,2,2020,0,0,213.1,-0.025,213.9,0.307,215.25,0.441,220.65,-0.277,224.6,0.0033504578959124842,229.7,0.02613357158811702,230.9,0.03149430422157695,217.35,-0.02903730176457453,VIPIND.NSE
2020-05-12,228.0,237.45,220.35,224.6,221.4208,2536892.0,218.14000000000001,,,218.94909133201728,218.50658122727475,0.4425101047425244,0.03904167993053863,0.40346842481198575,,,,,,,0.0033504578959124842,0.03981481481481475,,,,,,Tuesday,May,Q2,VIPIND.NSE,VIP Industries Limited,Consumer Goods,Mid Cap,-0.584,Negative,0.48,Lockdown Measures,8.0,31.0,1,1.68,16.37,45.83,-1.7,covid_crash,,,-0.293,-0.030399999999999983,,1,5,2,2020,0,0,223.85,-0.291,213.1,-0.025,213.9,0.307,216.0,-0.23,229.7,0.02270703472840596,230.9,0.028049866429207482,221.9,-0.012021371326803143,215.0,-0.042742653606411385,VIPIND.NSE
2020-05-13,237.0,237.5,226.0,229.7,226.4486,765600.0,221.03000000000003,,,221.19264026612882,220.31011834573755,0.8825219203912695,0.24174584336268978,0.6407760770285797,,,,,,,0.02270703472840596,0.06713124274099869,,,,,,Wednesday,May,Q2,VIPIND.NSE,VIP Industries Limited,Consumer Goods,Mid Cap,-0.328,Negative,0.203,Sector Rotation,11.0,21.0,7,-0.67,-46.87,62.01,-0.09,covid_crash,,,0.25599999999999995,-0.1842,,2,5,2,2020,0,0,224.6,-0.584,223.85,-0.291,213.1,-0.025,215.25,0.441,230.9,0.0052242054854159115,221.9,-0.033957335655202314,217.35,-0.053765781454070516,219.5,-0.044405746626033915,VIPIND.NSE
2020-05-14,230.0,234.6,229.0,230.9,227.6316,736345.0,224.42999999999998,,,223.11310153529212,221.87977128590438,1.233330249387734,0.4708067604300802,0.7625234889576539,,,,,,,0.0052242054854159115,0.07947639083683966,,,,,,Thursday,May,Q2,VIPIND.NSE,VIP Industries Limited,Consumer Goods,Mid Cap,-0.77,Negative,0.757,Earnings Report,12.0,25.0,3,-2.29,-10.97,53.09,-1.93,covid_crash,,,-0.442,-0.3996,0.3804578528270612,3,5,2,2020,0,0,229.7,-0.328,224.6,-0.584,223.85,-0.291,213.9,0.307,221.9,-0.03897791251624083,217.35,-0.05868341273278477,215.0,-0.06886097877869213,219.95,-0.04742312689475969,VIPIND.NSE
