date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,VOLTAS.NSE,Voltas Limited,Consumer Goods,Mid Cap,-0.14,Negative,0.137,Management Commentary,11.0,18.0,4,-3.83,-54.65,34.6,-0.12,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,467.05,,440.7,,463.9,,456.0,,VOLTAS.NSE
2020-05-04,496.0,496.5,461.0,467.05,452.4981,2361976.0,,,,467.05,467.05,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,VOLTAS.NSE,Voltas Limited,Consumer Goods,Mid Cap,-0.622,Negative,0.442,COVID-19 Impact,11.0,26.0,7,0.45,7.37,60.56,-1.99,covid_crash,,,-0.482,,,0,5,2,2020,0,0,,-0.14,,,,,,,440.7,-0.056417942404453525,463.9,-0.0067444599079328205,444.75,-0.04774649395139707,469.35,0.004924526281982589,VOLTAS.NSE
2020-05-05,475.0,481.9,432.25,440.7,426.9691,4163943.0,,,,452.7770833333333,453.3682692307692,-0.5911858974359347,-0.3284366096866304,-0.26274928774930434,,,,,,,-0.056417942404453525,,,,,,,Tuesday,May,Q2,VOLTAS.NSE,Voltas Limited,Consumer Goods,Mid Cap,-0.168,Negative,0.213,Technical Factors,9.0,20.0,5,-1.64,-0.94,39.93,-0.1,covid_crash,,,0.45399999999999996,,,1,5,2,2020,0,0,467.05,-0.622,,-0.14,,,,,463.9,0.05264352167007025,444.75,0.00918992511912875,456.0,0.03471749489448617,460.2,0.04424778761061954,VOLTAS.NSE
2020-05-06,442.8,463.9,427.45,463.9,449.4462,7211439.0,,,,457.1183602771363,457.15221784130114,-0.03385756416486174,-0.20770749266951208,0.17384992850465034,,,,,,,0.05264352167007025,,,,,,,Wednesday,May,Q2,VOLTAS.NSE,Voltas Limited,Consumer Goods,Mid Cap,-0.041,Neutral,0.1,Technical Factors,12.0,17.0,2,-0.18,-15.31,57.46,-0.09,covid_crash,,,0.127,,,2,5,2,2020,0,0,440.7,-0.168,467.05,-0.622,,-0.14,,,444.75,-0.041280448372494005,456.0,-0.017029532226772948,469.35,0.011748221599482855,464.05,0.0003233455486095771,VOLTAS.NSE
2020-05-07,460.0,469.0,439.15,444.75,430.8929,7364497.0,,,,453.2141522988506,453.68509970457905,-0.4709474057284524,-0.2968809049523509,-0.17406650077610147,,,,,,,-0.041280448372494005,,,,,,,Thursday,May,Q2,VOLTAS.NSE,Voltas Limited,Consumer Goods,Mid Cap,0.252,Positive,0.305,Economic Stimulus,14.0,16.0,4,-0.15,53.12,38.08,0.61,covid_crash,,,0.293,-0.1438,,3,5,2,2020,0,0,463.9,-0.041,440.7,-0.168,467.05,-0.622,,,456.0,0.025295109612141653,469.35,0.05531197301854984,460.2,0.034738617200674504,456.0,0.025295109612141653,VOLTAS.NSE
2020-05-08,455.0,459.95,445.2,456.0,441.7924,3964299.0,454.48,,,453.97105716269823,454.22193463112245,-0.2508774684242212,-0.28319592264388777,0.03231845421966656,,,,,,,0.025295109612141653,,,,,,,Friday,May,Q2,VOLTAS.NSE,Voltas Limited,Consumer Goods,Mid Cap,-0.415,Negative,0.207,Merger & Acquisition,7.0,17.0,8,0.73,-11.17,36.54,-1.11,covid_crash,,,-0.667,-0.1988,,4,5,2,2020,0,0,444.75,0.252,463.9,-0.041,440.7,-0.168,,-0.14,469.35,0.02927631578947376,460.2,0.009210526315789558,464.05,0.017653508771929838,462.0,0.013157894736842035,VOLTAS.NSE
2020-05-11,458.1,472.7,457.6,469.35,454.7264,2289089.0,454.93999999999994,,,457.7089493553387,457.2519654673877,0.4569838879509689,-0.08256604077131192,0.5395499287222808,,,,,,,0.02927631578947376,0.004924526281982589,,,,,,Monday,May,Q2,VOLTAS.NSE,Voltas Limited,Consumer Goods,Mid Cap,0.123,Positive,0.186,Inflation Concerns,14.0,15.0,5,-0.05,39.26,41.82,0.09,covid_crash,,,0.538,-0.0498,,0,5,2,2020,0,0,456.0,-0.415,444.75,0.252,463.9,-0.041,467.05,-0.622,460.2,-0.019495046340683997,464.05,-0.011292212634494536,456.0,-0.02844359220198156,442.3,-0.05763289655907111,VOLTAS.NSE
2020-05-12,467.45,474.2,457.25,460.2,445.8615,3635085.0,458.84,,,458.26481859117365,457.7762581268069,0.48856046436674205,0.061970841410416456,0.4265896229563256,,,,,,,-0.019495046340683997,0.04424778761061954,,,,,,Tuesday,May,Q2,VOLTAS.NSE,Voltas Limited,Consumer Goods,Mid Cap,-0.191,Negative,0.373,Sector Rotation,14.0,16.0,9,2.05,67.55,38.78,0.39,covid_crash,,,-0.314,-0.054400000000000004,,1,5,2,2020,0,0,469.35,0.123,456.0,-0.415,444.75,0.252,440.7,-0.168,464.05,0.00836592785745327,456.0,-0.009126466753585416,462.0,0.003911342894393766,438.6,-0.046936114732724854,VOLTAS.NSE
2020-05-13,475.0,481.8,452.9,464.05,449.5915,5154441.0,458.87,,,459.4720967835806,458.7871133953982,0.6849833881823884,0.2116924721532601,0.47329091602912826,,,,,,,0.00836592785745327,0.0003233455486095771,,,,,,Wednesday,May,Q2,VOLTAS.NSE,Voltas Limited,Consumer Goods,Mid Cap,0.219,Positive,0.312,Capacity Expansion,13.0,15.0,4,3.42,-1.12,44.66,1.21,covid_crash,,,0.41000000000000003,-0.0023999999999999968,,2,5,2,2020,0,0,460.2,-0.191,469.35,0.123,456.0,-0.415,463.9,-0.041,456.0,-0.017347268613296052,462.0,-0.004417627410839398,442.3,-0.046869949358905316,456.2,-0.01691628057321415,VOLTAS.NSE
2020-05-14,458.9,472.5,453.45,456.0,441.7924,2959038.0,461.12,,,458.7851924575375,458.37400200487536,0.41119045266214016,0.25777749536539624,0.15341295729674392,,,,,,,-0.017347268613296052,0.025295109612141653,,,,,,Thursday,May,Q2,VOLTAS.NSE,Voltas Limited,Consumer Goods,Mid Cap,-0.069,Neutral,0.153,Earnings Report,13.0,15.0,6,0.58,-8.34,28.65,0.7,covid_crash,,,-0.28800000000000003,-0.0666,0.2719843949771955,3,5,2,2020,0,0,464.05,0.219,460.2,-0.191,469.35,0.123,444.75,0.252,462.0,0.013157894736842035,442.3,-0.030043859649122817,438.6,-0.03815789473684206,460.55,0.009978070175438614,VOLTAS.NSE
