date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,WHIRLPOOL.NSE,Whirlpool of India Limited,Consumer Goods,Mid Cap,-0.13,Negative,0.169,Interest Rate Policy,13.0,20.0,4,-5.75,13.25,33.97,-0.24,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,1964.75,,1980.85,,1947.45,,1887.2,,WHIRLPOOL.NSE
2020-05-04,2017.95,2017.95,1932.05,1964.75,1933.6772,59659.0,,,,1964.75,1964.75,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,WHIRLPOOL.NSE,Whirlpool of India Limited,Consumer Goods,Mid Cap,0.231,Positive,0.14,Lockdown Measures,9.0,23.0,3,-3.68,67.74,39.82,-1.56,covid_crash,,,0.361,,,0,5,2,2020,0,0,,-0.13,,,,,,,1980.85,0.008194426771853891,1947.45,-0.008805191500190879,1929.25,-0.01806845654663447,1893.45,-0.036289604275353105,WHIRLPOOL.NSE
2020-05-05,1997.0,2042.8,1965.0,1980.85,1949.5226,56799.0,,,,1973.470833333333,1973.1096153846152,0.3612179487179219,0.20067663817662326,0.16054131054129864,,,,,,,0.008194426771853891,,,,,,,Tuesday,May,Q2,WHIRLPOOL.NSE,Whirlpool of India Limited,Consumer Goods,Mid Cap,-0.229,Negative,0.297,Management Commentary,10.0,17.0,7,0.61,-56.11,32.03,-0.88,covid_crash,,,-0.46,,,1,5,2,2020,0,0,1964.75,0.231,,-0.13,,,,,1947.45,-0.016861448368124754,1929.25,-0.026049423227402335,1887.2,-0.047277683822601335,1855.2,-0.06343236489385862,WHIRLPOOL.NSE
2020-05-06,2000.95,2005.0,1922.1,1947.45,1916.6508,42130.0,,,,1963.3148960739027,1963.8903647116804,-0.5754686377777034,-0.11741568803416631,-0.4580529497435371,,,,,,,-0.016861448368124754,,,,,,,Wednesday,May,Q2,WHIRLPOOL.NSE,Whirlpool of India Limited,Consumer Goods,Mid Cap,-0.141,Negative,0.331,Regulatory Changes,12.0,12.0,4,3.18,64.23,30.85,-0.87,covid_crash,,,0.08800000000000002,,,2,5,2,2020,0,0,1980.85,-0.229,1964.75,0.231,,-0.13,,,1929.25,-0.009345554442989568,1887.2,-0.03093789314231432,1893.45,-0.027728568127551423,1899.85,-0.024442219312434288,WHIRLPOOL.NSE
2020-05-07,1957.0,1984.0,1920.05,1929.25,1898.7386,19768.0,,,,1952.561939655172,1954.2064325076692,-1.644492852497251,-0.6347182505216611,-1.00977460197559,,,,,,,-0.009345554442989568,,,,,,,Thursday,May,Q2,WHIRLPOOL.NSE,Whirlpool of India Limited,Consumer Goods,Mid Cap,-0.443,Negative,0.329,Merger & Acquisition,10.0,26.0,5,-1.64,-16.11,32.91,0.67,covid_crash,,,-0.30200000000000005,-0.1424,,3,5,2,2020,0,0,1947.45,-0.141,1980.85,-0.229,1964.75,0.231,,,1887.2,-0.02179603472852143,1893.45,-0.01855643384734995,1855.2,-0.03838279124011923,1942.6,0.006919787482182249,WHIRLPOOL.NSE
2020-05-08,1952.0,1973.95,1872.0,1887.2,1857.3537,29455.0,1941.9,,,1934.8033342529081,1938.6673644344814,-3.8640301815732983,-1.5953655408154608,-2.2686646407578372,,,,,,,-0.02179603472852143,,,,,,,Friday,May,Q2,WHIRLPOOL.NSE,Whirlpool of India Limited,Consumer Goods,Mid Cap,-0.353,Negative,0.262,Management Commentary,13.0,22.0,8,-0.09,7.0,54.24,0.17,covid_crash,,,0.09000000000000002,-0.187,,4,5,2,2020,0,0,1929.25,-0.443,1947.45,-0.141,1980.85,-0.229,,-0.13,1893.45,0.003311784654514538,1855.2,-0.01695633743111491,1899.85,0.006703052140737631,1932.5,0.024003815175921872,WHIRLPOOL.NSE
2020-05-11,1900.0,1915.0,1879.2,1893.45,1863.5048,19213.0,1927.64,,,1924.7522984386205,1929.6106869790158,-4.858388540395254,-2.479826194270821,-2.3785623461244327,,,,,,,0.003311784654514538,-0.036289604275353105,,,,,,Monday,May,Q2,WHIRLPOOL.NSE,Whirlpool of India Limited,Consumer Goods,Mid Cap,-0.414,Negative,0.317,Global Markets,13.0,19.0,4,-5.58,78.63,40.31,0.04,covid_crash,,,-0.061,-0.31599999999999995,,0,5,2,2020,0,0,1887.2,-0.353,1929.25,-0.443,1947.45,-0.141,1964.75,0.231,1855.2,-0.020201219995246822,1899.85,0.003380073410969242,1942.6,0.025957907523303847,1854.65,-0.020491695054001946,WHIRLPOOL.NSE
2020-05-12,1885.0,1894.9,1845.45,1855.2,1825.8597,24696.0,1902.5099999999998,,,1909.231946386966,1916.377132034574,-7.145185647608059,-3.6605042114457023,-3.484681436162357,,,,,,,-0.020201219995246822,-0.06343236489385862,,,,,,Tuesday,May,Q2,WHIRLPOOL.NSE,Whirlpool of India Limited,Consumer Goods,Mid Cap,-0.071,Neutral,0.225,Corporate Governance,12.0,19.0,5,1.53,-2.56,53.6,-0.54,covid_crash,,,0.34299999999999997,-0.2844,,1,5,2,2020,0,0,1893.45,-0.414,1887.2,-0.353,1929.25,-0.443,1980.85,-0.229,1899.85,0.024067485985338477,1942.6,0.047110823630875265,1932.5,0.04166666666666674,1822.75,-0.017491375592928016,WHIRLPOOL.NSE
2020-05-13,1935.0,1935.0,1866.0,1899.85,1869.8036,46667.0,1892.9900000000002,,,1907.2740787809416,1913.7142015491427,-6.440122768201036,-4.328498821372555,-2.111623946828481,,,,,,,0.024067485985338477,-0.024442219312434288,,,,,,Wednesday,May,Q2,WHIRLPOOL.NSE,Whirlpool of India Limited,Consumer Goods,Mid Cap,-0.165,Negative,0.1,Sector Rotation,11.0,19.0,4,-1.54,-22.57,36.77,-1.6,covid_crash,,,-0.09400000000000001,-0.2892,,2,5,2,2020,0,0,1855.2,-0.071,1893.45,-0.414,1887.2,-0.353,1947.45,-0.141,1942.6,0.022501776456036016,1932.5,0.017185567281627456,1854.65,-0.02379135194883797,1860.8,-0.020554254283232876,WHIRLPOOL.NSE
2020-05-14,1885.0,1951.0,1875.0,1942.6,1911.8775,32992.0,1895.6599999999999,,,1914.26280335267,1917.9957110076741,-3.7329076550040554,-4.190914307198419,0.45800665219436354,,,,,,,0.022501776456036016,0.006919787482182249,,,,,,Thursday,May,Q2,WHIRLPOOL.NSE,Whirlpool of India Limited,Consumer Goods,Mid Cap,-0.247,Negative,0.1,Lockdown Measures,12.0,15.0,3,-0.43,24.27,44.07,1.01,covid_crash,,,-0.08199999999999999,-0.25,0.19526836234611417,3,5,2,2020,0,0,1899.85,-0.165,1855.2,-0.071,1893.45,-0.414,1929.25,-0.443,1932.5,-0.005199217543498391,1854.65,-0.045274374549572616,1822.75,-0.061695665602800376,1883.05,-0.030654792546072285,WHIRLPOOL.NSE
