date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,WIPRO.NSE,Wipro Limited,IT,Large Cap,-0.461,Negative,0.488,Vaccine Rollout,11.0,26.0,9,-2.29,-44.73,40.22,-0.31,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,190.3,,185.86,,186.96,,183.86,,WIPRO.NSE
2020-05-04,184.5,191.3,183.06,190.3,91.7483,17140750.0,,,,190.3,190.3,0.0,0.0,0.0,,,,,,,,,,,,,,Monday,May,Q2,WIPRO.NSE,Wipro Limited,IT,Large Cap,0.25,Positive,0.142,COVID-19 Impact,8.0,17.0,6,2.52,11.11,52.67,0.38,covid_crash,,,0.7110000000000001,,,0,5,2,2020,0,0,,-0.461,,,,,,,185.86,-0.02333158171308458,186.96,-0.01755123489227539,184.26,-0.03173935890698909,184.96,-0.028060956384655777,WIPRO.NSE
2020-05-05,191.46,194.0,182.2,185.86,89.6076,13865178.0,,,,187.895,187.99461538461537,-0.09961538461536179,-0.05534188034186766,-0.04427350427349413,,,,,,,-0.02333158171308458,,,,,,,Tuesday,May,Q2,WIPRO.NSE,Wipro Limited,IT,Large Cap,-0.25,Negative,0.222,Global Markets,14.0,27.0,10,0.35,-59.11,51.01,-0.96,covid_crash,,,-0.5,,,1,5,2,2020,0,0,190.3,0.25,,-0.461,,,,,186.96,0.005918433229312292,184.26,-0.008608630151727192,183.86,-0.010760787689658935,186.5,0.0034434520606907437,WIPRO.NSE
2020-05-06,185.7,188.0,181.0,186.96,90.138,10885586.0,,,,187.5300692840647,187.6228881222277,-0.09281883816299796,-0.07070128928495384,-0.022117548878044124,,,,,,,0.005918433229312292,,,,,,,Wednesday,May,Q2,WIPRO.NSE,Wipro Limited,IT,Large Cap,-0.505,Negative,0.347,Technical Factors,12.0,26.0,10,-2.85,-41.75,35.06,-0.79,covid_crash,,,-0.255,,,2,5,2,2020,0,0,185.86,-0.25,190.3,0.25,,-0.461,,,184.26,-0.014441591784339014,183.86,-0.016581086863500127,184.96,-0.010697475395806566,190.3,0.017864783910997106,WIPRO.NSE
2020-05-07,184.0,185.4,181.2,184.26,88.8362,11402188.0,,,,186.49783620689658,186.68277156004996,-0.18493535315337795,-0.10939846539214358,-0.07553688776123436,,,,,,,-0.014441591784339014,,,,,,,Thursday,May,Q2,WIPRO.NSE,Wipro Limited,IT,Large Cap,0.05,Neutral,0.1,COVID-19 Impact,6.0,19.0,10,-2.38,-9.75,34.36,1.7,covid_crash,,,0.555,-0.1832,,3,5,2,2020,0,0,186.96,-0.505,185.86,-0.25,190.3,0.25,,,183.86,-0.002170845544339439,184.96,0.0037989797025943517,186.5,0.012156735048301393,185.7,0.007815043959622292,WIPRO.NSE
2020-05-08,185.2,186.0,182.56,183.86,88.6434,8227494.0,186.248,,,185.7811455370478,186.02815919247388,-0.24701365542608755,-0.1503358731842497,-0.09667778224183785,,,,,,,-0.002170845544339439,,,,,,,Friday,May,Q2,WIPRO.NSE,Wipro Limited,IT,Large Cap,0.183,Positive,0.189,Capacity Expansion,16.0,17.0,7,0.59,-21.94,36.49,-0.51,covid_crash,,,0.133,-0.05440000000000002,,4,5,2,2020,0,0,184.26,0.05,186.96,-0.505,185.86,-0.25,,-0.461,184.96,0.005982813009898891,186.5,0.014358751223757071,190.3,0.03502665071249855,183.6,-0.0014141194387035094,WIPRO.NSE
2020-05-11,185.0,189.96,184.1,184.96,89.1737,8787856.0,185.18,,,185.58156397123898,185.81421542555347,-0.2326514543144924,-0.1726479723283219,-0.060003481986170504,,,,,,,0.005982813009898891,-0.028060956384655777,,,,,,Monday,May,Q2,WIPRO.NSE,Wipro Limited,IT,Large Cap,0.308,Positive,0.412,Corporate Governance,10.0,20.0,7,4.86,-25.27,41.29,0.2,covid_crash,,,0.125,-0.042800000000000005,,0,5,2,2020,0,0,183.86,0.183,184.26,0.05,186.96,-0.505,190.3,0.25,186.5,0.008326124567473947,190.3,0.028871107266436047,185.7,0.004000865051903002,182.26,-0.014597750865051995,WIPRO.NSE
2020-05-12,184.2,188.0,182.6,186.5,89.9162,7031358.0,185.308,,,185.78650975769455,185.93617865710578,-0.14966889941123895,-0.16683258199889053,0.01716368258765158,,,,,,,0.008326124567473947,0.0034434520606907437,,,,,,Tuesday,May,Q2,WIPRO.NSE,Wipro Limited,IT,Large Cap,0.123,Positive,0.1,Sector Rotation,11.0,15.0,10,-1.57,-46.16,45.53,1.5,covid_crash,,,-0.185,0.03179999999999998,,1,5,2,2020,0,0,184.96,0.308,183.86,0.183,184.26,0.05,185.86,-0.25,190.3,0.02037533512064349,185.7,-0.00428954423592498,183.6,-0.015549597855227915,184.8,-0.009115281501340444,WIPRO.NSE
2020-05-13,191.5,191.5,185.16,190.3,91.7483,10561096.0,185.97600000000003,,,186.72840560435952,186.63929840363284,0.0891072007266871,-0.10532543926125332,0.19443263998794041,,,,,,,0.02037533512064349,0.017864783910997106,,,,,,Wednesday,May,Q2,WIPRO.NSE,Wipro Limited,IT,Large Cap,-0.386,Negative,0.444,Capacity Expansion,17.0,25.0,6,-0.37,41.76,65.88,-1.08,covid_crash,,,-0.509,0.05559999999999998,,2,5,2,2020,0,0,186.5,0.123,184.96,0.308,183.86,0.183,186.96,-0.505,185.7,-0.0241723594324752,183.6,-0.03520756699947458,182.26,-0.042249080399369476,185.0,-0.02785076195480829,WIPRO.NSE
2020-05-14,184.76,187.36,183.1,185.7,89.5305,10324660.0,186.264,,,186.5249503718032,186.50007375985575,0.024876611947433958,-0.07524811949633967,0.10012473144377362,,,,,,,-0.0241723594324752,0.007815043959622292,,,,,,Thursday,May,Q2,WIPRO.NSE,Wipro Limited,IT,Large Cap,-0.14,Negative,0.112,Technical Factors,13.0,19.0,7,1.01,37.08,28.45,0.31,covid_crash,,,0.246,0.017599999999999984,0.30524409176191364,3,5,2,2020,0,0,190.3,-0.386,186.5,0.123,184.96,0.308,184.26,0.05,183.6,-0.011308562197092087,182.26,-0.018524501884760403,184.8,-0.004846526655896466,189.06,0.01809369951534734,WIPRO.NSE
