date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,0.153,Positive,0.359,Corporate Governance,14.0,18.0,11,0.23,47.28,33.06,-0.22,covid_crash,,,,,,4,5,2,2020,0,0,,,,,,,,,,,,,,,,,ZOMATO.NSE
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,0.243,Positive,0.285,Earnings Report,8.0,15.0,12,6.11,-44.92,43.46,2.79,covid_crash,,,0.09,,,0,5,2,2020,0,0,,0.153,,,,,,,,,,,,,,,ZOMATO.NSE
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.292,Negative,0.257,Capacity Expansion,7.0,15.0,6,-0.05,-37.83,60.76,0.11,covid_crash,,,-0.5349999999999999,,,1,5,2,2020,0,0,,0.243,,0.153,,,,,,,,,,,,,ZOMATO.NSE
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.159,Negative,0.266,Interest Rate Policy,14.0,16.0,8,1.31,11.51,47.79,0.07,covid_crash,,,0.13299999999999998,,,2,5,2,2020,0,0,,-0.292,,0.243,,0.153,,,,,,,,,,,ZOMATO.NSE
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.236,Negative,0.287,COVID-19 Impact,16.0,23.0,5,4.02,-10.43,47.92,-0.85,covid_crash,,,-0.07699999999999999,-0.05820000000000001,,3,5,2,2020,0,0,,-0.159,,-0.292,,0.243,,,,,,,,,,,ZOMATO.NSE
2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.028,Neutral,0.1,Corporate Governance,12.0,20.0,5,2.95,-27.03,32.41,0.21,covid_crash,,,0.208,-0.09440000000000001,,4,5,2,2020,0,0,,-0.236,,-0.159,,-0.292,,0.153,,,,,,,,,ZOMATO.NSE
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.166,Negative,0.198,Corporate Governance,13.0,20.0,9,1.8,-3.12,35.77,-0.57,covid_crash,,,-0.138,-0.1762,,0,5,2,2020,0,0,,-0.028,,-0.236,,-0.159,,0.243,,,,,,,,,ZOMATO.NSE
2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,0.318,Positive,0.516,Economic Stimulus,14.0,18.0,8,-1.4,-28.06,25.11,0.57,covid_crash,,,0.484,-0.054200000000000005,,1,5,2,2020,0,0,,-0.166,,-0.028,,-0.236,,-0.292,,,,,,,,,ZOMATO.NSE
2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,0.008,Neutral,0.1,Lockdown Measures,10.0,9.0,6,4.22,21.56,50.3,-0.41,covid_crash,,,-0.31,-0.020800000000000003,,2,5,2,2020,0,0,,0.318,,-0.166,,-0.028,,-0.159,,,,,,,,,ZOMATO.NSE
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.328,Negative,0.492,Regulatory Changes,14.0,27.0,5,-2.0,18.22,37.57,-0.36,covid_crash,,,-0.336,-0.039200000000000006,0.2265916787723876,3,5,2,2020,0,0,,0.008,,0.318,,-0.166,,-0.236,,,,,,,,,ZOMATO.NSE
2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,0.265,Positive,0.202,Management Commentary,12.0,18.0,4,0.81,62.5,47.58,0.03,covid_crash,,,0.593,0.019399999999999994,0.24003807568337523,4,5,2,2020,0,0,,-0.328,,0.008,,0.318,,-0.028,,,,,,,,,ZOMATO.NSE
2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,0.069,Neutral,0.1,Earnings Report,8.0,15.0,11,0.67,-118.72,51.93,-3.03,covid_crash,,,-0.196,0.0664,0.22315886219860903,0,5,2,2020,0,0,,0.265,,-0.328,,0.008,,-0.166,,,,,,,,,ZOMATO.NSE
2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.804,Negative,0.674,Vaccine Rollout,15.0,31.0,6,-0.92,27.92,49.23,-0.71,covid_crash,,,-0.873,-0.158,0.32092209161864954,1,5,2,2020,0,0,,0.069,,0.265,,-0.328,,0.318,,,,,,,,,ZOMATO.NSE
2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.49,Negative,0.363,Inflation Concerns,12.0,26.0,8,-2.07,-84.1,44.19,-1.51,covid_crash,,,0.31400000000000006,-0.2576,0.34327565858618314,2,5,2,2020,0,0,,-0.804,,0.069,,0.265,,0.008,,,,,,,,,ZOMATO.NSE
2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,0.158,Positive,0.14,Vaccine Rollout,10.0,23.0,8,-0.74,-9.49,42.42,-0.52,covid_crash,,,0.648,-0.1604,0.353392699415254,3,5,2,2020,0,0,,-0.49,,-0.804,,0.069,,-0.328,,,,,,,,,ZOMATO.NSE
2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.233,Negative,0.1,Corporate Governance,10.0,27.0,10,2.75,22.98,49.34,-1.48,covid_crash,,,-0.391,-0.26,0.354708346548416,4,5,2,2020,0,0,,0.158,,-0.49,,-0.804,,0.265,,,,,,,,,ZOMATO.NSE
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.208,Negative,0.426,Technical Factors,10.0,18.0,7,-2.25,-61.48,60.44,-0.51,covid_crash,,,0.025000000000000022,-0.3154,0.3555572308988308,0,5,2,2020,0,0,,-0.233,,0.158,,-0.49,,0.069,,,,,,,,,ZOMATO.NSE
2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,0.115,Positive,0.178,Lockdown Measures,8.0,12.0,6,0.83,22.3,58.92,-0.52,covid_crash,,,0.323,-0.1316,0.3325359796740464,1,5,2,2020,0,0,,-0.208,,-0.233,,0.158,,-0.804,,,,,,,,,ZOMATO.NSE
2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,0.274,Positive,0.419,Management Commentary,11.0,15.0,6,2.13,-42.69,41.84,1.44,covid_crash,,,0.15900000000000003,0.021200000000000007,0.35593251545139226,2,5,2,2020,0,0,,0.115,,-0.208,,-0.233,,-0.49,,,,,,,,,ZOMATO.NSE
2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.02,Neutral,0.174,Sector Rotation,11.0,15.0,6,0.62,16.66,47.11,-1.46,covid_crash,,,-0.29400000000000004,-0.014399999999999993,0.34901964287287773,3,5,2,2020,0,0,,0.274,,0.115,,-0.208,,0.158,,,,,,,,,ZOMATO.NSE
2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,May,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.025,Neutral,0.1,Merger & Acquisition,11.0,15.0,4,-4.19,-10.48,52.67,-1.28,covid_crash,,,-0.005000000000000001,0.02720000000000001,0.3278940208190581,4,5,2,2020,0,0,,-0.02,,0.274,,0.115,,-0.233,,,,,,,,,ZOMATO.NSE
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,June,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,0.399,Positive,0.442,Lockdown Measures,11.0,24.0,7,4.05,10.19,39.32,-0.8,covid_crash,,,0.42400000000000004,0.1486,0.36331871530226584,0,6,2,2020,0,0,,-0.025,,-0.02,,0.274,,-0.208,,,,,,,,,ZOMATO.NSE
2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,June,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.481,Negative,0.246,Regulatory Changes,14.0,23.0,9,-0.42,-42.58,55.57,-1.9,covid_crash,,,-0.88,0.029400000000000027,0.3011815436281284,1,6,2,2020,0,0,,0.399,,-0.025,,-0.02,,0.115,,,,,,,,,ZOMATO.NSE
2020-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,June,Q2,ZOMATO.NSE,Zomato Limited,Technology,Large Cap,-0.494,Negative,0.347,Economic Stimulus,12.0,23.0,8,-1.6,-56.04,46.45,-0.61,covid_crash,,,-0.013000000000000012,-0.1242,0.30183117061621645,2,6,2,2020,0,0,,-0.481,,0.399,,-0.025,,0.274,,,,,,,,,ZOMATO.NSE
