Date,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance
2025-06-03,Tuesday,June,Q2,ADANIENT.NSE,Adani Enterprises Ltd,Conglomerates,Large Cap,0.613,Positive,0.768,Inflation Data,21,924,23,1.14,25.67,19.3,0.89
2025-06-03,Tuesday,June,Q2,ADANIPORTS.NSE,Adani Ports & SEZ Ltd,Transportation,Large Cap,-0.743,Negative,0.846,Global Cues,18,950,25,-0.98,11.82,19.3,0.14
2025-06-03,Tuesday,June,Q2,APOLLOHOSP.NSE,Apollo Hospitals Enterprise Ltd,Healthcare,Large Cap,-0.048,Neutral,0.429,Trade War Concerns,15,643,12,0.63,-2.41,19.3,0.97
2025-06-03,Tuesday,June,Q2,ASIANPAINT.NSE,Asian Paints Ltd,Chemicals,Large Cap,0.366,Positive,0.619,Earnings Growth,17,1081,25,1.13,18.43,19.3,0.46
2025-06-03,Tuesday,June,Q2,AXISBANK.NSE,Axis Bank Ltd,Banking,Large Cap,-0.691,Negative,0.815,NPA Concerns,20,487,20,-2.92,18.34,19.3,1.2
2025-06-03,Tuesday,June,Q2,BAJAJ-AUTO.NSE,Bajaj Auto Ltd,Automobiles,Large Cap,-0.075,Neutral,0.445,Monsoon Impact,24,833,16,1.64,15.17,19.3,0.37
2025-06-03,Tuesday,June,Q2,BAJFINANCE.NSE,Bajaj Finance Ltd,Financial Services,Large Cap,0.612,Positive,0.767,Earnings Growth,34,1418,24,3.02,27.42,19.3,1.68
2025-06-03,Tuesday,June,Q2,BHARTIARTL.NSE,Bharti Airtel Ltd,Telecommunications,Large Cap,-0.68,Negative,0.808,Inflation Data,16,782,13,-2.48,8.21,19.3,1.13
2025-06-03,Tuesday,June,Q2,BPCL.NSE,Bharat Petroleum Corporation Ltd,Oil & Gas,Large Cap,-0.045,Neutral,0.427,Refining Margins,27,772,13,-1.31,3.16,19.3,1.4
2025-06-03,Tuesday,June,Q2,BRITANNIA.NSE,Britannia Industries Ltd,FMCG,Large Cap,0.328,Positive,0.597,Rural Demand,14,770,15,0.59,14.45,19.3,0.73
2025-06-03,Tuesday,June,Q2,CIPLA.NSE,Cipla Ltd,Pharmaceuticals,Large Cap,-0.677,Negative,0.806,Inflation Data,16,420,18,-3.52,5.81,19.3,0.14
2025-06-03,Tuesday,June,Q2,COALINDIA.NSE,Coal India Ltd,Mining,Large Cap,-0.018,Neutral,0.411,GDP Data,20,977,12,2.41,-11.5,19.3,1.39
2025-06-03,Tuesday,June,Q2,DIVISLAB.NSE,Divi's Laboratories Ltd,Pharmaceuticals,Large Cap,0.448,Positive,0.669,Regulatory News,23,631,15,0.48,11.7,19.3,0.93
2025-06-03,Tuesday,June,Q2,DMART.NSE,Avenue Supermarts Ltd,Retail,Large Cap,-0.586,Negative,0.752,Earnings Growth,26,859,16,-1.52,18.81,19.3,0.51
2025-06-03,Tuesday,June,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Ltd,Pharmaceuticals,Large Cap,-0.114,Neutral,0.468,Generic Competition,15,351,12,-1.3,13.3,19.3,0.9
2025-06-03,Tuesday,June,Q2,EICHERMOT.NSE,Eicher Motors Ltd,Automobiles,Large Cap,0.467,Positive,0.68,Monsoon Impact,14,484,12,2.47,6.64,19.3,-1.23
2025-06-03,Tuesday,June,Q2,GODREJCP.NSE,Godrej Consumer Products Ltd,FMCG,Large Cap,-0.53,Negative,0.718,Volume Growth,32,883,16,-1.97,19.84,19.3,0.29
2025-06-03,Tuesday,June,Q2,GRASIM.NSE,Grasim Industries Ltd,Textiles,Large Cap,-0.105,Neutral,0.463,Market Rally,13,1052,15,-1.04,5.68,19.3,-0.19
2025-06-03,Tuesday,June,Q2,HCLTECH.NSE,HCL Technologies Ltd,IT Services,Large Cap,0.593,Positive,0.756,Digital Transformation,15,901,25,-0.3,13.31,19.3,0.97
2025-06-03,Tuesday,June,Q2,HDFCBANK.NSE,HDFC Bank Ltd,Banking,Large Cap,-0.474,Negative,0.684,Trade War Concerns,16,898,15,-3.13,1.76,19.3,0.93
2025-06-03,Tuesday,June,Q2,HEROMOTOCO.NSE,Hero MotoCorp Ltd,Automobiles,Large Cap,-0.069,Neutral,0.441,Monsoon Impact,20,971,24,0.09,5.68,19.3,-0.86
2025-06-03,Tuesday,June,Q2,HINDALCO.NSE,Hindalco Industries Ltd,Metals,Large Cap,0.687,Positive,0.812,Technical Breakout,31,548,12,3.0,21.69,19.3,0.8
2025-06-03,Tuesday,June,Q2,HINDUNILVR.NSE,Hindustan Unilever Ltd,FMCG,Large Cap,-0.351,Negative,0.611,Corporate Announcements,25,998,14,-1.41,15.99,19.3,1.08
2025-06-03,Tuesday,June,Q2,ICICIBANK.NSE,ICICI Bank Ltd,Banking,Large Cap,0.173,Neutral,0.504,Credit Growth,17,655,12,0.34,3.55,19.3,1.19
2025-06-03,Tuesday,June,Q2,INDUSINDBK.NSE,IndusInd Bank Ltd,Banking,Large Cap,0.546,Positive,0.728,Credit Growth,29,1366,13,2.36,27.34,19.3,0.77
2025-06-03,Tuesday,June,Q2,INFY.NSE,Infosys Ltd,IT Services,Large Cap,-0.338,Negative,0.603,Currency Fluctuation,19,804,24,-0.47,11.26,19.3,0.19
2025-06-03,Tuesday,June,Q2,ITC.NSE,ITC Ltd,FMCG,Large Cap,-0.113,Neutral,0.468,Input Cost Inflation,17,346,23,1.34,-6.33,19.3,0.33
2025-06-03,Tuesday,June,Q2,JSWSTEEL.NSE,JSW Steel Ltd,Metals,Large Cap,0.346,Positive,0.608,China PMI,20,561,22,1.19,12.9,19.3,0.9
2025-06-03,Tuesday,June,Q2,KOTAKBANK.NSE,Kotak Mahindra Bank Ltd,Banking,Large Cap,-0.528,Negative,0.717,NPA Concerns,33,951,24,-3.65,-1.56,19.3,0.71
2025-06-03,Tuesday,June,Q2,LT.NSE,Larsen & Toubro Ltd,Construction,Large Cap,-0.117,Neutral,0.47,Regulatory News,23,1068,12,0.85,-8.89,19.3,0.3
2025-06-03,Tuesday,June,Q2,LTIM.NSE,LTIMindtree Ltd,IT Services,Large Cap,0.47,Positive,0.682,Digital Transformation,31,596,21,0.57,24.57,19.3,-0.2
2025-06-03,Tuesday,June,Q2,MARUTI.NSE,Maruti Suzuki India Ltd,Automobiles,Large Cap,-0.573,Negative,0.744,EV Transition,16,690,20,-3.14,15.4,19.3,-1.05
2025-06-03,Tuesday,June,Q2,NESTLEIND.NSE,Nestle India Ltd,FMCG,Large Cap,0.01,Neutral,0.406,Input Cost Inflation,14,530,20,-1.92,-4.39,19.3,1.1
2025-06-03,Tuesday,June,Q2,NTPC.NSE,NTPC Ltd,Power,Large Cap,0.571,Positive,0.743,Global Cues,28,928,13,0.12,10.81,19.3,-0.04
2025-06-03,Tuesday,June,Q2,ONGC.NSE,Oil & Natural Gas Corporation Ltd,Oil & Gas,Large Cap,-0.441,Negative,0.665,Monsoon Impact,17,1093,22,-1.98,-0.6,19.3,0.96
